<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83697</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO FIDELIS - RJ (OMM: 83697)
Latitude  (graus) : -21.61
Longitude (graus) : -41.76
Altitude  (metros): 74.23
Esta��o Fechada
Inicio de opera��o: 01/01/1922
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83697;01/03/1973;1200;28;25.2;79;;23;2;0;
83697;01/03/1973;1800;29.4;27;82;;9;2;0;
83697;02/03/1973;0000;27.2;24.4;79;;18;2;0;
83697;02/03/1973;1200;28.2;25;76;;23;2;0;
83697;02/03/1973;1800;29.4;26.2;77;;23;2;0;
83697;03/03/1973;0000;27.4;25;81;;18;2;0;
83697;03/03/1973;1200;28.2;24.8;75;;27;2;0;
83697;03/03/1973;1800;34.2;28;61;;27;2;0;
83697;04/03/1973;0000;25;24.2;94;;23;2;10;
83697;04/03/1973;1200;29.4;26;76;;27;2;0;
83697;04/03/1973;1800;30.2;28.4;87;;27;2;0;
83697;05/03/1973;0000;25;24.2;94;;23;2;10;
83697;05/03/1973;1200;23.6;22.6;92;;27;2;10;
83697;05/03/1973;1800;27.5;26;88;;18;2;10;
83697;06/03/1973;0000;24.4;23;88;;27;2;10;
83697;06/03/1973;1200;24.6;23.4;90;;27;2;10;
83697;06/03/1973;1800;27.2;24;76;;9;2;10;
83697;07/03/1973;0000;24.5;23;87;;9;2;10;
83697;07/03/1973;1200;24.8;22.6;82;;27;2;10;
83697;07/03/1973;1800;28.8;24;65;;9;2;0;
83697;08/03/1973;0000;23.8;22.3;87;;9;2;10;
83697;08/03/1973;1200;25.4;24.2;91;;27;2;0;
83697;08/03/1973;1800;33;27.6;65;;14;5;0;
83697;09/03/1973;0000;27.6;26;88;;18;2;10;
83697;09/03/1973;1200;26;24.2;86;;27;4;10;
83697;09/03/1973;1800;33.4;27.5;62;;27;2;4;
83697;10/03/1973;0000;28.2;24;69;;0;0;10;
83697;10/03/1973;1200;23.8;23.4;97;;0;0;10;
83697;10/03/1973;1800;24;22;83;;27;2;10;
83697;11/03/1973;0000;24;21.6;80;;0;0;10;
83697;11/03/1973;1200;23.2;22.8;96;;0;0;10;
83697;11/03/1973;1800;22;21.4;94;;9;2;10;
83697;12/03/1973;0000;21;20.1;92;;0;0;10;
83697;12/03/1973;1200;23;21.5;87;;0;0;10;
83697;12/03/1973;1800;25.2;23.4;85;;0;0;10;
83697;13/03/1973;0000;24.3;22.1;82;;23;2;10;
83697;13/03/1973;1200;25.1;23.3;85;;0;0;10;
83697;13/03/1973;1800;29.6;26.3;76;;23;2;0;
83697;14/03/1973;0000;24.3;22.4;84;;0;0;10;
83697;14/03/1973;1200;25.2;23.1;83;;0;0;0;
83697;14/03/1973;1800;30;24.8;64;;5;2;0;
83697;15/03/1973;0000;23.4;22.3;90;;23;2;8;
83697;15/03/1973;1200;24.2;23.4;93;;0;0;0;
83697;15/03/1973;1800;30.2;24;58;;27;2;0;
83697;16/03/1973;0000;24.4;23.3;91;;0;0;0;
83697;16/03/1973;1200;25.4;23;81;;0;0;0;
83697;16/03/1973;1800;31.6;25.3;59;;0;0;0;
83697;17/03/1973;0000;25.2;23.3;84;;27;2;0;
83697;17/03/1973;1200;26.4;23.3;76;;9;2;0;
83697;17/03/1973;1800;31.6;27.1;70;;9;2;0;
83697;18/03/1973;0000;25.3;23.2;84;;27;2;4;
83697;18/03/1973;1200;26.7;24.5;83;;18;2;5;
83697;18/03/1973;1800;32.5;25.2;53;;0;0;0;
83697;19/03/1973;0000;25.2;22.1;76;;27;2;5;
83697;19/03/1973;1200;26.4;23.8;79;;0;0;0;
83697;19/03/1973;1800;31.2;25.8;64;;0;0;0;
