<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83698</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMPOS - RJ (OMM: 83698)
Latitude  (graus) : -21.74
Longitude (graus) : -41.33
Altitude  (metros): 11.20
Esta��o Operante
Inicio de opera��o: 17/06/1911
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83698;01/01/1961;1200;26.1;24.2;85;1007.8;5;4;10;
83698;01/01/1961;1800;28.8;24.4;68;1005.1;5;4.3;10;
83698;02/01/1961;0000;24.4;23.2;90;1007.1;5;1.8;10;
83698;02/01/1961;1200;25.2;24.1;91;1007.2;5;4.2;10;
83698;02/01/1961;1800;26.6;25.2;89;1004.2;5;3;10;
83698;03/01/1961;0000;24.4;24.1;98;1005.2;5;2.6;10;
83698;03/01/1961;1200;26.7;25;86;1005.4;36;1;10;
83698;03/01/1961;1800;27.8;24.4;74;1003;5;2.6;10;
83698;04/01/1961;0000;23.8;23;93;1005.4;18;1.8;10;
83698;04/01/1961;1200;24.6;24.2;97;1006.2;0;0;10;
83698;04/01/1961;1800;30.8;26.6;71;1003.4;5;3.3;8;
83698;05/01/1961;0000;24.8;23.6;91;1006;0;0;10;
83698;05/01/1961;1200;26.7;24.8;85;1007.5;5;3.5;10;
83698;05/01/1961;1800;26.8;24.5;82;1005.5;5;2.6;10;
83698;06/01/1961;0000;23.6;23.3;97;1006.8;0;0;10;
83698;06/01/1961;1200;27.6;25.9;87;1006.8;0;0;10;
83698;06/01/1961;1800;26.8;24.8;84;1005.2;36;5.8;10;
83698;07/01/1961;0000;24.4;23.4;92;1004.7;5;2.3;6;
83698;07/01/1961;1200;30;26.2;73;1005.8;36;3.3;10;
83698;07/01/1961;1800;28.6;25.2;75;1005.1;18;5.2;10;
83698;08/01/1961;0000;24.8;23.8;92;1009;14;2.6;10;
83698;08/01/1961;1200;26.4;24.6;86;1009.6;9;1;10;
83698;08/01/1961;1800;28.9;25;72;1007.6;14;4;8;
