<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83700</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO TOME - RJ (OMM: 83700)
Latitude  (graus) : -22.05
Longitude (graus) : -41.05
Altitude  (metros): 4.00
Esta��o Operante
Inicio de opera��o: 01/12/1956
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83700;01/01/2015;0000;26;25;92;;2;3.08664;0;
83700;01/01/2015;0600;25;23;84;;3;4.11552;1.25;
83700;01/01/2015;1800;30;24.2;73;;3;;0;
83700;02/01/2015;0000;27;25;85;;3;7.20216;0;
83700;02/01/2015;0600;24;23;92;;3;5.1444;6.25;
83700;02/01/2015;1200;29;25;72;;2;8.23104;0;
83700;02/01/2015;1800;31;27;73;;3;7.20216;2.5;
83700;03/01/2015;1200;25;24;92;;2;4.11552;2.5;
83700;03/01/2015;1800;29;27;86;;13;3.08664;0;
83700;04/01/2015;0000;26;24;85;;34;3.08664;0;
83700;04/01/2015;0600;26.5;24.5;83;;3;2.05776;2.5;
83700;04/01/2015;1200;29.5;26.5;77;;3;5.1444;3.75;
83700;04/01/2015;1800;31;26;67;;6;7.20216;2.5;
83700;05/01/2015;0000;27;25;85;;3;5.1444;3.75;
83700;05/01/2015;1200;28;26;85;;3;9.25992;2.5;
83700;05/01/2015;1800;31;28;80;;6;8.23104;3.75;
83700;06/01/2015;0000;26;24;85;;7;5.1444;2.5;
83700;06/01/2015;1200;28;27;93;;31;3.08664;7.5;
83700;06/01/2015;1800;29;27;86;;8;7.20216;7.5;
83700;07/01/2015;0000;25;23;83;;6;7.7166;5;
83700;07/01/2015;0600;25;24;92;;3;5.1444;2.5;
83700;07/01/2015;1200;29;25;72;;3;9.25992;6.25;
83700;07/01/2015;1800;31;27;73;;4;10.2888;2.5;
83700;08/01/2015;1200;30;27;79;;3;7.20216;0;
83700;08/01/2015;1800;30;28;86;;3;8.23104;0;
83700;09/01/2015;0000;26;24;85;;5;7.20216;0;
