<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83702</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PONTA PORA - MS (OMM: 83702)
Latitude  (graus) : -22.55
Longitude (graus) : -55.71
Altitude  (metros): 650.00
Esta��o Operante
Inicio de opera��o: 24/11/1941
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83702;01/01/1961;1200;22;21;91;931.2;36;2;10;
83702;01/01/1961;1800;25.4;23.4;84;930.8;27;3;4;
83702;02/01/1961;0000;20.2;19;89;929.1;27;2;6;
83702;02/01/1961;1200;23;21.2;85;932.3;27;4;10;
83702;02/01/1961;1800;27.4;24.4;77;932;32;2;8;
83702;03/01/1961;0000;23.6;21.8;84;930.3;27;2;5;
83702;03/01/1961;1200;25.6;22;73;932;36;3;0;
83702;03/01/1961;1800;30.8;24.6;60;928.8;36;2;7;
83702;04/01/1961;0000;25;23;84;928.3;36;2;5;
83702;04/01/1961;1200;24.8;22.6;82;932.6;27;2;10;
83702;04/01/1961;1800;30.8;25.4;63;930.2;27;3;6;
83702;05/01/1961;0000;23;21;83;930.7;0;0;0;
83702;05/01/1961;1200;24.8;22.8;83;932.8;32;3;5;
83702;05/01/1961;1800;30;25;66;928.4;36;3;8;
83702;06/01/1961;0000;24.6;22.4;82;927.1;36;3;0;
83702;06/01/1961;1200;18.6;18;94;932.8;18;3;10;
83702;06/01/1961;1800;22.4;20;79;933;18;2;6;
83702;07/01/1961;0000;19.4;18;86;932.4;18;2;10;
83702;07/01/1961;1200;21;19.4;85;934.6;36;2;10;
83702;07/01/1961;1800;27.2;23.2;70;933;5;3;8;
83702;08/01/1961;0000;22.4;20.4;83;931.5;9;2;0;
83702;08/01/1961;1200;23;22.4;95;933.6;5;2;10;
83702;08/01/1961;1800;25;22.8;82;932.6;36;2;10;
83702;09/01/1961;0000;22.4;21;88;931.4;36;2;3;
83702;09/01/1961;1200;24.4;22.2;82;933.4;36;2;0;
83702;09/01/1961;1800;31;25;61;930.6;5;2;7;
