<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83707</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PINDAMONHANGABA - SP (OMM: 83707)
Latitude  (graus) : -22.91
Longitude (graus) : -45.5
Altitude  (metros): 560.00
Esta��o Fechada
Inicio de opera��o: 01/01/1952
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83707;01/01/1961;1200;24.5;22.5;83;943.2;0;0;10;
83707;01/01/1961;1800;25.8;23.4;81;941;0;0;10;
83707;02/01/1961;0000;22;21.4;94;943.4;0;0;10;
83707;02/01/1961;1200;22.8;21.9;92;943.2;0;0;10;
83707;02/01/1961;1800;24.4;22.9;87;941.9;0;0;10;
83707;03/01/1961;0000;21.6;21.2;97;941.8;0;0;10;
83707;03/01/1961;1200;24.3;21.7;79;943.4;0;0;9;
83707;03/01/1961;1800;29.2;22.9;57;940.8;23;2;7;
83707;04/01/1961;0000;23.5;21;79;943.4;0;0;10;
83707;04/01/1961;1200;25;22.3;78;944;0;0;10;
83707;04/01/1961;1800;25.6;22.7;77;940.3;36;4;10;
83707;05/01/1961;0000;20.6;20.2;97;944.2;9;2;10;
83707;05/01/1961;1200;25.5;22.3;74;945;0;0;8;
83707;05/01/1961;1800;28.7;23.2;62;942.4;0;0;10;
83707;06/01/1961;0000;21.4;20.9;95;944;9;2;10;
83707;06/01/1961;1200;25.7;22.3;73;943.2;0;0;9;
83707;06/01/1961;1800;28.8;24.4;68;941.2;0;0;8;
83707;07/01/1961;0000;23.7;22.6;91;942.3;0;0;10;
83707;07/01/1961;1200;23.9;22.1;85;945.4;0;0;10;
83707;07/01/1961;1800;24.4;20.8;72;944.4;23;4;10;
83707;08/01/1961;0000;21.5;19.9;85;947.1;0;0;10;
83707;08/01/1961;1200;23.2;20.8;79;947.5;32;2;10;
83707;08/01/1961;1800;26.6;22.2;67;945.6;0;0;10;
83707;09/01/1961;0000;22.4;21.2;90;947.4;0;0;10;
83707;09/01/1961;1200;24.4;22.5;84;947.4;0;0;10;
83707;09/01/1961;1800;31.9;25;56;943.4;0;0;9;
83707;10/01/1961;0000;23.2;22.6;95;945.4;0;0;10;
83707;10/01/1961;1200;27.1;22.9;68;946;0;0;7;
83707;10/01/1961;1800;31.7;23.5;48;942.7;0;0;5;
83707;11/01/1961;0000;21.5;21.4;99;945;0;0;5;
83707;11/01/1961;1200;26.2;22.4;72;946.6;0;0;9;
83707;11/01/1961;1800;27.4;21.4;57;945.5;23;2;9;
83707;12/01/1961;0000;22.7;19.2;72;946.8;0;0;8;
83707;12/01/1961;1200;25.9;21.6;68;947.5;0;0;6;
83707;12/01/1961;1800;26.2;22;69;945.1;23;6;9;
83707;13/01/1961;0000;20.6;20.2;97;948.7;0;0;8;
83707;13/01/1961;1200;25.1;21.6;73;948.8;0;0;5;
83707;13/01/1961;1800;31.3;23.3;49;945.4;0;0;5;
83707;14/01/1961;0000;22;21.2;93;947.5;0;0;10;
83707;14/01/1961;1200;26.8;22.6;68;948.3;0;0;5;
83707;14/01/1961;1800;29.3;21.7;49;946.2;0;0;8;
83707;15/01/1961;0000;20.2;19.6;94;947.5;0;0;6;
83707;15/01/1961;1200;26.4;21.6;65;947.4;0;0;2;
83707;15/01/1961;1800;31.9;24.4;52;945.5;0;0;8;
83707;16/01/1961;0000;20.3;19.8;95;948;0;0;5;
83707;16/01/1961;1200;26.6;21.8;64;948.2;0;0;2;
83707;16/01/1961;1800;28.9;22.7;58;945.6;0;0;8;
83707;17/01/1961;0000;24.2;20.6;72;947.9;5;6;9;
83707;17/01/1961;1200;27.8;21.8;58;950.6;0;0;2;
83707;17/01/1961;1800;32.9;23.3;42;948.4;0;0;6;
