<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83711</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BANDEIRANTES - SP (OMM: 83711)
Latitude  (graus) : -22.6
Longitude (graus) : -44.46
Altitude  (metros): 544.90
Esta��o Desativada
Inicio de opera��o: 01/01/1913
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83711;01/01/1961;1200;25.3;22.6;79;947.9;14;1;9;
83711;01/01/1961;1800;26.4;23.1;75;945.4;5;1;8;
83711;02/01/1961;0000;21.7;20.9;93;948.7;14;2;10;
83711;02/01/1961;1200;23.2;21.9;88;946.6;0;0;10;
83711;02/01/1961;1800;23.1;21.8;88;945.4;18;2;10;
83711;03/01/1961;0000;22.4;21.6;93;946.6;0;0;10;
83711;03/01/1961;1200;25.8;22.3;72;947.1;0;0;9;
83711;03/01/1961;1800;28.4;23.2;64;945.4;14;1;9;
83711;04/01/1961;0000;21.8;21.3;95;949.8;9;1;10;
83711;04/01/1961;1200;25.7;22.9;77;947.8;14;2;4;
83711;04/01/1961;1800;21.4;20.6;93;946.3;14;2;10;
83711;05/01/1961;0000;21.8;21.4;96;949.4;0;0;10;
83711;05/01/1961;1200;24.4;22.1;81;949.2;9;2;9;
83711;05/01/1961;1800;23.1;21.8;88;946.8;0;0;10;
83711;06/01/1961;0000;21.5;20.6;92;949.2;0;0;10;
83711;06/01/1961;1200;26.2;22.7;73;948.3;0;0;8;
83711;06/01/1961;1800;28;23.4;67;945.8;14;1;9;
83711;07/01/1961;0000;22.4;20.9;87;946.3;0;0;8;
83711;07/01/1961;1200;22.7;21.8;92;949.8;18;1;10;
83711;07/01/1961;1800;28.8;23.1;61;947.2;18;2;9;
83711;08/01/1961;0000;21.6;20.8;93;951.6;0;0;10;
83711;08/01/1961;1200;23.2;21.6;86;951.5;0;0;9;
83711;08/01/1961;1800;23.5;21.8;85;949.8;0;0;10;
83711;09/01/1961;0000;21.8;21.3;95;952.5;0;0;10;
