<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83717</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ASSIS  PEDRINHAS  - SP (OMM: 83717)
Latitude  (graus) : -22.65
Longitude (graus) : -50.41
Altitude  (metros): 350.00
Esta��o Desativada
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83717;01/01/1961;1200;23;23;100;965;0;0;10;
83717;01/01/1961;1800;21.2;21.2;100;963.8;0;0;10;
83717;02/01/1961;0000;21.2;21;98;964.2;0;0;10;
83717;02/01/1961;1200;22;22;100;967.2;32;3;10;
83717;02/01/1961;1800;25.2;23.6;87;966.2;32;3;5;
83717;03/01/1961;0000;23;22.5;96;966.7;0;0;2;
83717;03/01/1961;1200;25.4;24;89;967;0;0;9;
83717;03/01/1961;1800;31.2;25.1;61;962.8;32;1;5;
83717;04/01/1961;0000;25.5;24;88;965.1;0;0;0;
83717;04/01/1961;1200;27.5;23.5;70;967.2;0;0;4;
83717;04/01/1961;1800;32.6;25.5;56;964.7;0;0;3;
83717;05/01/1961;0000;24;22.6;88;965.2;0;0;6;
83717;05/01/1961;1200;27.2;24;76;967.9;5;3;10;
83717;05/01/1961;1800;30.4;25;64;964.4;5;1;9;
83717;06/01/1961;0000;26.5;25;88;965.4;0;0;3;
83717;06/01/1961;1200;24;23.1;92;967.5;32;1;10;
83717;06/01/1961;1800;21;21;100;964;0;0;10;
83717;07/01/1961;0000;20.8;20.8;100;965.2;0;0;6;
83717;07/01/1961;1200;25.6;23.2;81;969.1;0;0;10;
83717;07/01/1961;1800;23.2;23.2;100;965.2;0;0;10;
83717;08/01/1961;0000;24.8;23.5;90;966.3;0;0;10;
83717;08/01/1961;1200;23.5;21;79;965.2;9;3;10;
83717;08/01/1961;1800;28.3;24.6;73;962.4;9;3;2;
83717;09/01/1961;0000;25.4;24;89;963.9;9;3;3;
83717;09/01/1961;1200;25.7;22.2;74;968.4;14;3;10;
83717;09/01/1961;1800;29;24.6;69;965.4;14;1;9;
83717;10/01/1961;0000;26.6;25.2;89;967.4;0;0;3;
83717;10/01/1961;1200;26.7;23.6;76;970.2;0;0;8;
83717;10/01/1961;1800;33;26.1;57;966.7;23;1;6;
83717;11/01/1961;0000;24.2;22.8;88;967;0;0;10;
83717;11/01/1961;1200;26;23;76;970.2;9;1;3;
83717;11/01/1961;1800;32.4;25.6;58;967.8;0;0;3;
83717;12/01/1961;0000;23.6;22;86;968.8;0;0;7;
83717;12/01/1961;1200;24.8;20.8;69;969.9;9;1;1;
83717;12/01/1961;1800;31.3;24.6;57;968.6;0;0;8;
83717;13/01/1961;0000;26.1;24.1;84;969.1;0;0;0;
83717;13/01/1961;1200;23.6;21.4;81;969.9;9;3;10;
83717;13/01/1961;1800;31;24.1;56;968;0;0;6;
83717;14/01/1961;0000;28.3;26.5;86;969.1;0;0;0;
83717;14/01/1961;1200;25.5;22.7;78;971.9;0;0;5;
83717;14/01/1961;1800;31;24.2;56;969.6;0;0;5;
83717;15/01/1961;0000;25.2;23.4;85;970.3;0;0;0;
83717;15/01/1961;1200;26.8;23.9;77;971.5;0;0;9;
83717;15/01/1961;1800;30.6;24;57;968.2;27;1;3;
83717;16/01/1961;0000;25.6;24.2;89;970.2;0;0;3;
83717;16/01/1961;1200;22.7;22.7;100;972.4;0;0;10;
83717;16/01/1961;1800;30.5;25.4;65;968.3;0;0;8;
83717;17/01/1961;0000;25.7;23.8;84;970.8;0;0;0;
83717;17/01/1961;1200;27.1;24;76;973.8;36;1;1;
83717;17/01/1961;1800;32.2;25;55;970.6;0;0;5;
83717;18/01/1961;0000;25.6;23.2;81;972;5;1;4;
83717;18/01/1961;1200;26.5;24;80;972.3;5;1;6;
83717;18/01/1961;1800;31.6;25;57;972.3;0;0;9;
83717;19/01/1961;0000;23.2;22.1;90;971;5;3;6;
83717;19/01/1961;1200;26;23.5;80;976.2;9;1;7;
83717;19/01/1961;1800;30.4;26.6;74;973.4;23;1;5;
83717;20/01/1961;0000;25.2;23;82;974.7;0;0;7;
83717;20/01/1961;1200;26.1;23.4;78;975.8;0;0;7;
83717;20/01/1961;1800;33;26;57;970.8;0;0;5;
83717;21/01/1961;0000;27.4;24.7;79;973;0;0;9;
83717;21/01/1961;1200;22.6;22.6;100;973.2;0;0;10;
83717;21/01/1961;1800;29.7;25;68;971.6;23;1;4;
83717;22/01/1961;0000;26.2;24.8;89;972.2;0;0;0;
83717;22/01/1961;1200;27.2;24.3;78;972.2;5;1;0;
83717;22/01/1961;1800;31.5;25.1;59;967;0;0;0;
83717;23/01/1961;0000;25.5;24;88;969.9;0;0;3;
83717;23/01/1961;1200;26;22.6;74;973.4;14;3;1;
83717;23/01/1961;1800;32.1;23.9;49;971.2;18;1;1;
83717;24/01/1961;0000;25.1;23.2;85;967.6;14;1;0;
83717;24/01/1961;1200;23;20.5;79;973.2;18;1;9;
83717;24/01/1961;1800;30.7;23.3;52;969.2;23;1;4;
83717;25/01/1961;0000;24.6;23;87;970.8;0;0;0;
83717;25/01/1961;1200;24.1;20.4;70;971.2;18;1;3;
83717;25/01/1961;1800;30.5;23.4;53;968.7;0;0;9;
83717;26/01/1961;0000;26.9;22;65;969.8;0;0;2;
83717;26/01/1961;1200;23.6;20;72;973.4;14;3;7;
83717;26/01/1961;1800;31.2;23.5;51;971.8;9;1;2;
83717;27/01/1961;0000;21;19;82;972.3;0;0;10;
83717;27/01/1961;1200;19.4;17.1;79;974;18;1;10;
83717;27/01/1961;1800;21.9;19.1;76;972;14;1;10;
83717;28/01/1961;0000;22.4;22.4;100;972.6;14;5;10;
83717;28/01/1961;1200;16.5;16.5;100;975.1;0;0;10;
83717;28/01/1961;1800;18.5;18.5;100;973.5;18;1;10;
83717;29/01/1961;0000;17.2;17.2;100;973.9;0;0;10;
83717;29/01/1961;1200;18.4;18.4;100;973.6;9;1;10;
83717;29/01/1961;1800;26;22.5;74;970.4;0;0;4;
83717;30/01/1961;0000;22.1;20.3;84;971.2;0;0;3;
83717;30/01/1961;1200;20.9;20.1;93;974.7;0;0;0;
83717;30/01/1961;1800;28.6;23;61;971.5;0;0;5;
83717;31/01/1961;0000;22.2;21;89;971.5;0;0;2;
83717;31/01/1961;1200;24.2;22;82;971.8;0;0;0;
83717;31/01/1961;1800;32.3;24.5;52;970;18;1;1;
83717;01/02/1961;0000;25.1;23;83;970.7;0;0;0;
83717;01/03/1961;1200;22.4;20.1;80;974.7;0;0;8;
83717;01/03/1961;1800;26.8;22.5;67;972.4;0;0;10;
83717;02/03/1961;0000;22.3;21.2;91;974;0;0;0;
83717;02/03/1961;1200;23.9;20.1;71;974.3;14;3;10;
83717;02/03/1961;1800;29.6;23.8;61;969.9;9;1;2;
83717;03/03/1961;0000;23.6;21;78;972.6;0;0;0;
83717;03/03/1961;1200;22.5;18;63;974;9;1;0;
83717;03/03/1961;1800;31.6;24.5;55;969.5;0;0;2;
83717;04/03/1961;0000;23.7;22.5;90;972.4;0;0;0;
83717;04/03/1961;1200;23.1;21.1;83;971.1;18;1;10;
83717;04/03/1961;1800;28;22.4;60;968.8;18;1;10;
83717;05/03/1961;0000;21.8;21.8;100;970.7;0;0;10;
83717;05/03/1961;1200;24.9;23.5;89;971.5;0;0;9;
83717;05/03/1961;1800;27.4;24.6;79;970.6;0;0;6;
83717;06/03/1961;0000;23.8;22.5;89;971.2;0;0;8;
83717;06/03/1961;1200;20.6;18.7;83;976.7;0;0;10;
83717;06/03/1961;1800;23.6;20.6;75;973.4;0;0;10;
83717;07/03/1961;0000;21.6;19.4;80;975.2;0;0;6;
83717;07/03/1961;1200;22.9;20;76;974;9;1;8;
83717;07/03/1961;1800;26.2;21.9;68;971.5;9;3;10;
83717;08/03/1961;0000;23.4;20.7;78;973;0;0;3;
83717;08/03/1961;1200;25;21.9;75;970.3;9;1;7;
83717;08/03/1961;1800;28.4;23.5;66;967;0;0;5;
83717;09/03/1961;0000;22;21.1;92;968.8;0;0;5;
83717;09/03/1961;1200;24.6;22.7;85;973.9;0;0;0;
83717;09/03/1961;1800;31.2;24.7;58;970.4;23;3;4;
83717;10/03/1961;0000;24.6;23;87;971.8;0;0;0;
83717;10/03/1961;1200;26.5;23.8;78;975.2;9;1;3;
83717;10/03/1961;1800;33;25.3;53;971.8;32;3;0;
83717;11/03/1961;0000;26.6;24.2;82;973.4;0;0;0;
83717;11/03/1961;1200;28.6;24.8;72;972.2;0;0;2;
83717;11/03/1961;1800;34.8;24.2;40;969.2;27;1;3;
83717;12/03/1961;0000;24.5;22.3;81;971;0;0;0;
83717;12/03/1961;1200;26;23;76;971.1;0;0;3;
83717;12/03/1961;1800;33.1;25.5;53;967.9;0;0;6;
83717;13/03/1961;0000;27.2;23.6;73;969.8;0;0;4;
83717;13/03/1961;1200;24.3;22.1;82;968.7;9;1;6;
83717;13/03/1961;1800;32.5;24.9;53;966.3;27;1;3;
83717;14/03/1961;0000;27;23;70;968.2;0;0;0;
83717;14/03/1961;1200;24.5;23;87;970.8;0;0;9;
83717;14/03/1961;1800;30;25.2;67;969.1;32;1;4;
83717;15/03/1961;0000;24.7;23.5;90;969.8;0;0;4;
83717;15/03/1961;1200;23.2;23.2;100;969.6;0;0;9;
83717;15/03/1961;1800;28.5;24.6;72;968.6;0;0;4;
83717;16/03/1961;0000;21.6;21.5;99;969.1;0;0;3;
83717;16/03/1961;1200;24.1;23.8;97;971.4;0;0;0;
83717;16/03/1961;1800;31.5;25.1;59;969.4;32;3;2;
83717;17/03/1961;0000;24.3;23.4;93;971;0;0;1;
83717;17/03/1961;1200;24.6;23.3;89;973.6;0;0;10;
83717;17/03/1961;1800;22.6;22.6;100;969.5;0;0;10;
83717;18/03/1961;0000;23;23;100;970.6;0;0;10;
83717;18/03/1961;1200;24.1;21.2;76;974.6;0;0;4;
83717;18/03/1961;1800;26.2;26.2;100;971.2;27;1;10;
83717;19/03/1961;0000;24.5;22.3;81;972.8;0;0;5;
83717;19/03/1961;1200;23;20.9;82;971.5;14;1;7;
83717;19/03/1961;1800;27.4;23.2;69;970.6;0;0;7;
83717;20/03/1961;0000;22.8;20;76;972.3;0;0;8;
83717;20/03/1961;1200;21.4;20.6;93;972.7;0;0;10;
83717;20/03/1961;1800;25.2;23.4;85;971.9;0;0;10;
83717;21/03/1961;0000;24.1;24.1;100;971.9;0;0;10;
83717;21/03/1961;1200;22.4;21.1;89;972.7;9;1;9;
83717;21/03/1961;1800;28.3;25;75;970.2;5;3;9;
83717;22/03/1961;0000;22.6;22.4;98;971;0;0;0;
83717;22/03/1961;1200;24.3;22.7;87;976.6;0;0;8;
83717;22/03/1961;1800;31.2;25.7;64;974;0;0;4;
83717;23/03/1961;0000;25.8;24;86;974.7;0;0;5;
83717;23/03/1961;1200;24.5;22.4;82;978;14;1;0;
83717;23/03/1961;1800;31.7;25.8;62;973.9;0;0;4;
83717;24/03/1961;0000;26.7;25;86;975.8;0;0;2;
83717;24/03/1961;1200;22;18;67;974.4;14;1;3;
83717;24/03/1961;1800;30.7;21.8;44;970.8;0;0;7;
83717;25/03/1961;0000;23.5;20;71;972.4;14;1;4;
83717;25/03/1961;1200;25.1;23.3;85;974.7;0;0;0;
83717;25/03/1961;1800;31.9;23.4;47;971.2;0;0;2;
83717;26/03/1961;0000;26;24.2;86;972.8;0;0;3;
83717;26/03/1961;1200;23.5;21.8;85;970.8;0;0;0;
83717;26/03/1961;1800;33;24.8;50;968.2;0;0;3;
83717;27/03/1961;0000;25.8;24;86;973.5;14;1;0;
83717;27/03/1961;1200;22.7;18.8;68;972.4;5;3;3;
83717;27/03/1961;1800;25.1;19.5;58;969.5;9;3;6;
83717;28/03/1961;0000;24.1;19;60;970.8;0;0;6;
83717;28/03/1961;1200;20;16.3;67;976.6;14;3;0;
83717;28/03/1961;1800;25.6;19;52;973.2;14;3;0;
83717;29/03/1961;0000;24.8;20.1;64;974.6;0;0;2;
83717;29/03/1961;1200;20.6;16.4;64;974.4;14;5;2;
83717;29/03/1961;1800;28.5;20.1;44;970.8;14;1;4;
83717;30/03/1961;0000;25.4;19.8;59;972.4;0;0;0;
83717;30/03/1961;1200;19;16.3;75;979.6;9;1;0;
83717;30/03/1961;1800;26.8;24.5;82;975.8;0;0;6;
83717;31/03/1961;0000;24.3;21.2;75;975.4;0;0;0;
83717;31/03/1961;1200;20.8;17.2;70;978.2;0;0;0;
83717;31/03/1961;1800;29;18.9;35;974.2;14;3;0;
83717;01/04/1961;0000;22.5;18;63;976.7;14;1;0;
83717;01/12/1961;1200;27.7;24.3;74;974.6;14;1;7;
83717;01/12/1961;1800;32.3;26.2;61;972.4;5;1;8;
83717;02/12/1961;0000;27.6;25.1;81;972.4;0;0;4;
83717;02/12/1961;1200;26.8;22.1;66;973.2;14;1;2;
83717;02/12/1961;1800;33.3;24.8;49;969.9;23;1;4;
83717;03/12/1961;0000;27.1;23.1;70;969.4;0;0;2;
83717;03/12/1961;1200;28.4;24.2;70;970.3;0;0;7;
83717;03/12/1961;1800;32.8;26.1;58;964.4;32;3;10;
83717;04/12/1961;0000;22.5;21.3;89;970.7;0;0;9;
83717;04/12/1961;1200;23.5;21.5;83;972.3;32;1;10;
83717;04/12/1961;1800;30.1;25.2;66;969.4;23;1;4;
83717;05/12/1961;0000;24.6;22.8;85;970.4;5;1;4;
83717;05/12/1961;1200;26.2;22;69;973.9;14;1;3;
83717;05/12/1961;1800;29.7;24.1;62;970.3;0;0;3;
83717;06/12/1961;0000;25.3;21.1;68;971.2;14;3;2;
83717;06/12/1961;1200;24.4;20.7;71;974.7;14;1;1;
83717;06/12/1961;1800;28.5;23.4;64;970.8;14;1;3;
83717;07/12/1961;0000;25.4;22.8;79;971.2;14;1;3;
83717;07/12/1961;1200;29.3;26.1;77;973.5;14;1;6;
83717;07/12/1961;1800;31;26.5;69;972.2;23;3;9;
83717;08/12/1961;0000;23.7;22.8;92;973.2;0;0;7;
83717;08/12/1961;1200;26.7;24.5;83;969;14;1;3;
83717;08/12/1961;1800;31.2;27.4;73;966.6;0;0;1;
83717;09/12/1961;0000;25.1;23.2;85;967.5;27;1;7;
83717;09/12/1961;1200;28.3;24.3;70;970.3;14;1;7;
83717;09/12/1961;1800;31;24.9;60;967.1;0;0;6;
83717;10/12/1961;0000;22.5;22;95;969;0;0;8;
83717;10/12/1961;1200;23.5;21.9;86;978;14;1;9;
83717;10/12/1961;1800;31.1;27.7;76;967.6;23;1;4;
83717;11/12/1961;0000;25;23.2;86;968.4;23;1;5;
83717;11/12/1961;1200;23.1;20.2;76;972;9;5;6;
83717;11/12/1961;1800;30;24.2;61;969.2;23;3;1;
83717;12/12/1961;0000;24.5;21.8;77;969.4;0;0;2;
83717;12/12/1961;1200;23.2;19.1;68;974.3;18;5;0;
83717;12/12/1961;1800;30.2;23.4;55;970.8;0;0;2;
83717;13/12/1961;0000;24;20.1;70;973.3;23;1;0;
83717;13/12/1961;1200;22.8;19.2;71;974.2;23;5;1;
83717;13/12/1961;1800;31.3;24.6;57;970.4;0;0;3;
83717;14/12/1961;0000;25.8;22.3;73;970.6;14;1;3;
83717;14/12/1961;1200;24.4;22;80;974.2;14;2;1;
83717;14/12/1961;1800;33;27.1;63;969.6;14;1;4;
83717;15/12/1961;0000;26.2;22.9;74;969.1;9;1;3;
83717;15/12/1961;1200;27.2;25.1;84;972.6;14;1;2;
83717;15/12/1961;1800;34.1;29.8;72;968.8;14;1;3;
83717;16/12/1961;0000;27.4;25.1;82;970.2;0;0;5;
83717;16/12/1961;1200;30;28.2;87;971.4;0;0;1;
83717;16/12/1961;1800;35.6;31.3;73;968.4;5;2;3;
83717;17/12/1961;0000;28.6;26;81;971;0;0;7;
83717;17/12/1961;1200;29.3;26.1;77;973.5;14;1;6;
