<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83718</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CORDEIRO - RJ (OMM: 83718)
Latitude  (graus) : -22.02
Longitude (graus) : -42.36
Altitude  (metros): 505.92
Esta��o Operante
Inicio de opera��o: 16/07/1971
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83718;01/08/1971;1200;17.3;16.3;90;966;0;0;8;
83718;01/08/1971;1800;22.4;18.2;66;962.7;0;0;10;
83718;02/08/1971;0000;15.4;14.4;89;963.6;0;0;0;
83718;02/08/1971;1200;17.8;17.3;95;962.6;0;0;5;
83718;02/08/1971;1800;23.6;18.5;60;960.6;14;5;7;
83718;03/08/1971;0000;15.8;14.2;83;963.9;0;0;0;
83718;03/08/1971;1200;16.4;15.4;90;965.6;0;0;1;
83718;03/08/1971;1800;24.8;18.7;54;962.4;9;4;5;
83718;04/08/1971;0000;15.6;14.6;89;963.4;0;0;0;
83718;04/08/1971;1200;17.8;17;92;965;0;0;0;
83718;04/08/1971;1800;27.2;20.7;54;961.5;0;0;0;
83718;05/08/1971;0000;17.2;16.2;90;963;0;0;0;
83718;05/08/1971;1200;19;17.5;85;964.2;0;0;0;
83718;05/08/1971;1800;29.7;19.4;35;960.6;0;0;0;
83718;06/08/1971;0000;17.2;15.8;86;962.4;0;0;0;
83718;06/08/1971;1200;19.2;17.3;81;963.4;0;0;0;
83718;06/08/1971;1800;27.7;18.5;38;960.6;0;0;0;
83718;07/08/1971;0000;17;15.8;88;962;0;0;0;
83718;07/08/1971;1200;18.2;16.2;80;963.2;0;0;0;
83718;07/08/1971;1800;29;20.1;42;960;0;0;1;
83718;08/08/1971;0000;22.8;18.5;65;963.4;0;0;0;
83718;08/08/1971;1200;20;17.6;78;966;0;0;8;
83718;08/08/1971;1800;23.7;18.5;60;963.9;0;0;4;
83718;09/08/1971;0000;16.6;14.5;78;966.2;0;0;0;
83718;09/08/1971;1200;17.1;15.9;88;965.6;0;0;1;
83718;09/08/1971;1800;26.8;20.3;56;961;27;2;10;
83718;10/08/1971;0000;17.6;16.5;89;962;0;0;0;
83718;10/08/1971;1200;19.6;17.9;84;963.4;0;0;6;
83718;10/08/1971;1800;29.2;21.3;48;960.2;0;0;2;
83718;11/08/1971;0000;20.4;18.3;81;963.2;0;0;0;
83718;11/08/1971;1200;19;18.5;95;965.2;0;0;10;
83718;11/08/1971;1800;23.2;19.7;73;963.1;14;9;10;
