<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83720</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PIRACICABA - SP (OMM: 83720)
Latitude  (graus) : -22.71
Longitude (graus) : -47.63
Altitude  (metros): 573.85
Esta��o Desativada
Inicio de opera��o: 01/01/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83720;01/01/1961;1200;22.6;21.1;87;944.7;32;1;10;
83720;01/01/1961;1800;24.6;22.8;85;942.6;32;2;10;
83720;02/01/1961;0000;21.5;20.8;93;943.2;32;9;10;
83720;02/01/1961;1200;21.8;21.2;95;943.8;32;3;10;
83720;02/01/1961;1800;25.2;22;75;941.6;27;10;9;
83720;03/01/1961;0000;20.7;20.6;99;941.9;27;2;10;
83720;03/01/1961;1200;22.8;21.8;91;943.8;0;0;10;
83720;03/01/1961;1800;31.2;24;54;941.9;18;2;3;
83720;04/01/1961;0000;25.5;22.3;74;940.8;0;0;10;
83720;04/01/1961;1200;24.4;22.2;82;944.7;0;0;10;
83720;04/01/1961;1800;28;23.6;68;942.4;23;2;8;
83720;05/01/1961;0000;24.2;22.8;88;941.8;9;2;10;
83720;05/01/1961;1200;23;21.1;84;945;5;2;10;
83720;05/01/1961;1800;29.2;22.9;57;943;0;0;8;
83720;06/01/1961;0000;24;21.7;81;942;9;6;4;
83720;06/01/1961;1200;24.4;22.3;82;943.4;36;7;10;
83720;06/01/1961;1800;28;24.7;75;941;36;1;10;
83720;07/01/1961;0000;22.9;22.6;98;941.5;18;1;10;
83720;07/01/1961;1200;23.6;21.6;83;946;0;0;10;
83720;07/01/1961;1800;26.9;23;71;944.8;14;2;10;
83720;08/01/1961;0000;22.1;19.8;79;945;9;4;10;
83720;08/01/1961;1200;22.6;20.4;81;947.2;9;2;10;
83720;08/01/1961;1800;25.4;23.4;84;945.6;18;4;9;
83720;09/01/1961;0000;22.3;20;80;945.6;14;4;10;
83720;09/01/1961;1200;25.4;22.4;76;946.8;0;0;8;
83720;09/01/1961;1800;29.7;24.4;64;944;18;1;8;
83720;10/01/1961;0000;23.8;21.8;83;943.9;9;5;8;
83720;10/01/1961;1200;25.8;23;78;947.2;0;0;5;
83720;10/01/1961;1800;30.6;25.2;63;944.6;18;1;8;
83720;11/01/1961;0000;23.4;21.4;83;944.6;18;2;10;
83720;11/01/1961;1200;26;22.6;74;946.6;9;3;8;
83720;11/01/1961;1800;30.1;22.9;52;945.5;9;2;4;
83720;12/01/1961;0000;23.4;19.6;70;944.8;14;6;8;
83720;12/01/1961;1200;25.4;20.8;66;947.2;9;5;0;
83720;12/01/1961;1800;32.2;23.4;46;946;14;1;3;
83720;13/01/1961;0000;23.6;20.6;75;946;9;4;3;
83720;13/01/1961;1200;22.4;19.9;78;949.5;5;2;9;
83720;13/01/1961;1800;28.5;23.1;63;946.8;27;1;2;
83720;14/01/1961;0000;24;21.6;80;945.9;0;0;3;
83720;14/01/1961;1200;25.4;21.6;71;949.1;36;3;6;
83720;14/01/1961;1800;29.2;23.2;59;946.7;27;1;4;
83720;15/01/1961;0000;25.4;21.2;68;946.3;0;0;0;
83720;15/01/1961;1200;25.7;22;72;947.6;36;2;5;
83720;15/01/1961;1800;31;23.1;50;945.8;18;1;5;
83720;16/01/1961;0000;25.4;22.7;79;946.2;9;2;10;
83720;16/01/1961;1200;25.4;21.8;72;948.4;36;4;2;
83720;16/01/1961;1800;30;22.4;50;946.6;27;3;3;
83720;17/01/1961;0000;22.8;21.2;87;946.3;9;1;7;
83720;17/01/1961;1200;26.2;21.9;68;950.7;5;3;7;
83720;17/01/1961;1800;24;22;83;950.2;36;1;10;
83720;18/01/1961;0000;21.8;20.4;88;949.2;0;0;2;
83720;18/01/1961;1200;26.2;22.4;72;952.2;0;0;3;
83720;18/01/1961;1800;21;20.2;93;950.3;27;6;10;
83720;19/01/1961;0000;22.8;21.2;87;950.2;9;1;3;
83720;19/01/1961;1200;26;22.5;73;952.4;0;0;8;
83720;19/01/1961;1800;28.8;23;60;950.3;27;5;6;
83720;20/01/1961;0000;22.8;21.2;87;949.8;0;0;10;
83720;20/01/1961;1200;26.2;22.8;74;950.7;5;2;8;
83720;20/01/1961;1800;23.6;22.2;88;949;23;3;10;
83720;21/01/1961;0000;23.2;22.5;94;947.9;0;0;8;
83720;21/01/1961;1200;24.6;22.6;84;949.2;0;0;8;
