<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83721</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMPINAS - SP (OMM: 83721)
Latitude  (graus) : -23
Longitude (graus) : -47.13
Altitude  (metros): 661.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83721;01/01/2015;0000;23.8;;85;939.5;7;2.05776;10;
83721;01/01/2015;0600;22.2;;90;937.7;10;2.05776;6.25;
83721;01/01/2015;1200;27.1;;68;940.1;1;4.11552;3.75;
83721;01/01/2015;1800;31.1;;45;936.9;4;4.11552;8.75;
83721;02/01/2015;0000;24.1;;79;939.3;0;0;10;
83721;02/01/2015;0600;23.2;;81;937;0;0;3.75;
83721;02/01/2015;1200;26.9;;67;940.4;2;4.11552;7.5;
83721;02/01/2015;1800;33.2;;40;937.2;31;6.17328;7.5;
83721;03/01/2015;0000;23.1;;90;940;6;2.5722;10;
83721;03/01/2015;0600;22.1;;94;938.8;13;2.05776;3.75;
83721;03/01/2015;1200;26.7;;69;941.6;12;3.60108;7.5;
83721;03/01/2015;1800;32.3;;42;938.5;25;4.11552;7.5;
83721;04/01/2015;0000;23.7;;78;941.4;13;5.65884;8.75;
83721;04/01/2015;0600;22.6;;88;940.2;22;1.02888;8.75;
83721;04/01/2015;1200;24.6;;77;944;33;3.08664;8.75;
83721;04/01/2015;1800;27.6;;57;940.9;27;3.08664;10;
83721;05/01/2015;0000;23.6;;73;941.2;13;3.60108;6.25;
83721;05/01/2015;0600;21.4;;83;939.9;12;3.08664;5;
83721;05/01/2015;1200;23.8;;75;942.3;12;4.62996;8.75;
83721;05/01/2015;1800;30.2;;45;939.8;32;2.5722;5;
83721;06/01/2015;0000;22.1;;83;942.2;12;3.08664;10;
83721;06/01/2015;0600;20;;97;942.2;9;1.54332;10;
83721;06/01/2015;1200;23.6;;84;943.8;13;3.08664;8.75;
