<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83723</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JAU - SP (OMM: 83723)
Latitude  (graus) : -22.28
Longitude (graus) : -48.56
Altitude  (metros): 580.00
Esta��o Fechada
Inicio de opera��o: 01/01/1942
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83723;01/01/1961;1200;21.8;20.3;87;941.6;36;2.5;10;
83723;01/01/1961;1800;24.1;22.6;87;939.1;27;2;9;
83723;02/01/1961;0000;21.3;20;88;940.8;0;0;10;
83723;02/01/1961;1200;21.5;21.1;96;940.2;32;5.1;10;
83723;02/01/1961;1800;23.6;21.7;84;936.7;27;6.9;10;
83723;03/01/1961;0000;22;21.1;92;939.2;0;0;10;
83723;03/01/1961;1200;23.8;22.1;86;940.3;32;3;7;
83723;03/01/1961;1800;29.2;23.6;62;938.4;27;2.6;5;
83723;04/01/1961;0000;23.3;22.1;90;939;0;0;4;
83723;04/01/1961;1200;21.2;20;89;939.8;9;2;10;
83723;04/01/1961;1800;27.8;23.6;69;938.6;0;0;7;
83723;05/01/1961;0000;22.6;20.7;84;938.8;0;0;5;
83723;05/01/1961;1200;23.8;21.2;79;941.4;0;0;6;
83723;05/01/1961;1800;28.2;22.5;60;938.8;18;2;3;
83723;06/01/1961;0000;25.1;21.4;71;939.5;9;1;0;
83723;06/01/1961;1200;23.1;22.5;95;940.6;36;2.1;8;
83723;06/01/1961;1800;25.6;23.2;81;938.4;27;3.8;10;
83723;07/01/1961;0000;20.8;20;93;940.7;32;2.3;5;
83723;07/01/1961;1200;23.1;21.8;88;941.6;0;0;10;
83723;07/01/1961;1800;25.6;24;87;940.4;14;1;8;
83723;08/01/1961;0000;21.6;20.6;91;941.6;14;6.4;10;
83723;08/01/1961;1200;22;20.8;89;943;14;2;10;
83723;08/01/1961;1800;25.3;22.6;79;941.2;18;5;10;
83723;09/01/1961;0000;22;21;91;942.6;18;2;4;
