<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83728</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : LIMEIRA - SP (OMM: 83728)
Latitude  (graus) : -22.56
Longitude (graus) : -47.41
Altitude  (metros): 689.00
Esta��o Fechada
Inicio de opera��o: 01/01/1941
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83728;01/01/1961;1200;21.4;20.2;89;;36;5;10;
83728;01/01/1961;1800;23;22;91;;0;0;9;
83728;02/01/1961;0000;21;20.2;93;;27;1;10;
83728;02/01/1961;1200;21.1;20.7;96;;36;5;10;
83728;02/01/1961;1800;23.3;21.6;86;;32;6;10;
83728;03/01/1961;0000;20.6;20.1;96;;36;1;10;
83728;03/01/1961;1200;22.2;21.1;90;;23;2;9;
83728;03/01/1961;1800;28.1;23.4;66;;23;1;3;
83728;04/01/1961;0000;24;22;83;;32;2;5;
83728;04/01/1961;1200;21.6;20.7;92;;36;4;10;
83728;04/01/1961;1800;25.7;22.2;73;;0;0;9;
83728;05/01/1961;0000;22.6;21.6;91;;0;0;5;
83728;05/01/1961;1200;21.3;20.4;92;;5;1;10;
83728;05/01/1961;1800;29.3;22.6;55;;27;1;4;
83728;06/01/1961;0000;23;20.6;80;;18;2;1;
83728;06/01/1961;1200;22.6;21.4;89;;5;2;10;
83728;06/01/1961;1800;24.5;22;79;;36;5;8;
83728;07/01/1961;0000;22.2;21.3;91;;36;4;9;
83728;07/01/1961;1200;21.2;20.3;91;;23;1;8;
83728;07/01/1961;1800;24.2;21.8;80;;18;2;8;
83728;08/01/1961;0000;21;19;82;;18;4;3;
83728;08/01/1961;1200;22.6;20.4;81;;18;1;10;
83728;08/01/1961;1800;25.5;22.6;77;;14;2;9;
83728;09/01/1961;0000;21.5;20;86;;18;1;3;
83728;09/01/1961;1200;23.6;21.8;84;;36;1;9;
83728;09/01/1961;1800;27.7;24.2;74;;5;1;5;
83728;10/01/1961;0000;22.4;21.9;95;;9;1;4;
83728;10/01/1961;1200;23.9;22.2;86;;32;2;10;
83728;10/01/1961;1800;30.2;24.6;63;;23;1;4;
83728;11/01/1961;0000;24.1;22.3;84;;14;1;2;
83728;11/01/1961;1200;25.1;22.2;77;;14;1;8;
83728;11/01/1961;1800;23.5;22;87;;14;5;6;
83728;12/01/1961;0000;22;19.2;76;;14;6;0;
83728;12/01/1961;1200;24.4;20.6;71;;18;3;1;
83728;12/01/1961;1800;28.8;22.6;58;;9;1;8;
83728;13/01/1961;0000;21.5;19.4;81;;9;1;2;
83728;13/01/1961;1200;21;19.4;85;;5;2;10;
83728;13/01/1961;1800;25.7;22.4;74;;36;2;6;
83728;14/01/1961;0000;22.3;21.1;90;;0;0;5;
83728;14/01/1961;1200;23.3;20.4;76;;36;2;9;
83728;14/01/1961;1800;28.1;21.6;55;;36;2;2;
83728;15/01/1961;0000;24.1;21.2;76;;0;0;1;
83728;15/01/1961;1200;24.7;21.2;72;;36;3;4;
83728;15/01/1961;1800;30.1;23.4;55;;27;2;5;
83728;16/01/1961;0000;24.8;21.8;75;;5;2;8;
83728;16/01/1961;1200;24.2;21.3;76;;36;4;6;
83728;16/01/1961;1800;29.4;22.5;54;;0;0;8;
83728;17/01/1961;0000;22.4;20.3;82;;36;2;9;
83728;17/01/1961;1200;24.6;20.6;69;;0;0;6;
83728;17/01/1961;1800;26;22.4;73;;36;4;9;
83728;18/01/1961;0000;21.2;19.4;83;;0;0;4;
83728;18/01/1961;1200;25.5;21.8;71;;36;2;3;
83728;18/01/1961;1800;25.4;22.6;78;;5;2;9;
83728;19/01/1961;0000;22.4;20.9;87;;0;0;8;
83728;19/01/1961;1200;25.3;22.4;77;;36;2;8;
83728;19/01/1961;1800;27;22.3;66;;36;3;0;
83728;20/01/1961;0000;21.5;20.5;91;;36;2;10;
83728;20/01/1961;1200;23.9;21.2;78;;32;2;5;
83728;20/01/1961;1800;29.3;23.6;61;;32;2;8;
83728;21/01/1961;0000;23.1;20.8;80;;0;0;6;
83728;21/01/1961;1200;24.6;21.7;76;;32;1;9;
83728;21/01/1961;1800;25.4;21.3;69;;36;3;8;
83728;22/01/1961;0000;22.6;21.4;89;;27;1;1;
83728;22/01/1961;1200;25;21.9;75;;36;4;5;
83728;22/01/1961;1800;29.9;23.4;56;;36;1;7;
83728;23/01/1961;0000;22.4;21.1;89;;36;2;6;
83728;23/01/1961;1200;23.2;21.2;83;;0;0;8;
83728;23/01/1961;1800;28;22.6;62;;23;3;7;
83728;24/01/1961;0000;21.9;20.7;90;;14;2;2;
83728;24/01/1961;1200;23;21;83;;18;2;8;
83728;24/01/1961;1800;30.2;23.2;55;;18;5;6;
83728;25/01/1961;0000;21.9;20.7;90;;14;1;2;
83728;25/01/1961;1200;24.8;21.9;76;;0;0;8;
83728;25/01/1961;1800;28.4;23.8;68;;5;1;9;
83728;26/01/1961;0000;21.4;20.3;90;;14;1;5;
83728;26/01/1961;1200;22.6;19.4;73;;14;2;9;
83728;26/01/1961;1800;23.9;18.8;61;;14;1;10;
83728;27/01/1961;0000;19.7;16.8;74;;18;4;9;
83728;27/01/1961;1200;19.4;17.3;80;;14;2;10;
83728;27/01/1961;1800;21.1;18.2;75;;18;6;10;
83728;28/01/1961;0000;17.7;16.2;85;;14;4;9;
83728;28/01/1961;1200;18.6;17.2;87;;14;2;10;
83728;28/01/1961;1800;22.2;19.2;75;;14;2;10;
83728;29/01/1961;0000;18.8;17.2;85;;14;1;6;
83728;29/01/1961;1200;20.2;19;89;;32;1;10;
83728;29/01/1961;1800;23.8;21;77;;36;1;9;
83728;30/01/1961;0000;18.4;17.7;93;;0;0;10;
83728;30/01/1961;1200;21.8;20.2;86;;32;1;9;
83728;30/01/1961;1800;28.7;22.4;56;;27;1;5;
83728;31/01/1961;0000;22.4;19.7;77;;0;0;7;
83728;31/01/1961;1200;23.3;20.9;80;;27;2;5;
83728;31/01/1961;1800;26.2;22.4;72;;32;1;8;
83728;01/02/1961;0000;21;19.4;85;;36;2;7;
83728;01/02/1961;1200;23.4;20.9;79;;36;2;4;
83728;01/02/1961;1800;23.6;21;78;;0;0;7;
83728;02/02/1961;0000;21.6;20.4;89;;5;1;4;
83728;02/02/1961;1200;24.8;21.6;74;;32;2;0;
83728;02/02/1961;1800;27.8;22.6;63;;27;1;6;
83728;03/02/1961;0000;23.4;20.8;78;;36;2;7;
83728;03/02/1961;1200;24.1;20.4;67;;14;2;4;
83728;03/02/1961;1800;31.6;24.7;53;;36;2;8;
83728;04/02/1961;0000;21.4;20.1;88;;23;2;10;
83728;04/02/1961;1200;22.6;21.2;88;;14;1;10;
83728;04/02/1961;1800;29.8;23.4;57;;18;1;8;
83728;05/02/1961;0000;20.5;20.1;96;;36;1;10;
83728;05/02/1961;1200;22.2;19.8;79;;36;4;8;
