<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83730</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MONTE ALEGRE DO SUL - SP (OMM: 83730)
Latitude  (graus) : -22.68
Longitude (graus) : -46.71
Altitude  (metros): 777.00
Esta��o Fechada
Inicio de opera��o: 01/01/1942
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83730;01/01/1961;1200;22;17.6;64;920.8;36;2.3;10;
83730;01/01/1961;1800;25.4;19.2;56;918.8;32;2.5;10;
83730;02/01/1961;0000;20.6;17.8;75;920.7;0;0;10;
83730;02/01/1961;1200;20.8;17.4;71;920.6;36;2.8;10;
83730;02/01/1961;1800;22.4;18.6;69;918.2;36;3.9;10;
83730;03/01/1961;0000;21.2;17.4;68;918.4;36;2.5;10;
83730;03/01/1961;1200;21.6;18.2;72;920.4;0;0;10;
83730;03/01/1961;1800;28.2;18.8;39;918.3;0;0;2;
83730;04/01/1961;0000;22.2;18;66;919.9;14;2;6;
83730;04/01/1961;1200;23.2;18.6;65;920.6;0;0;10;
83730;04/01/1961;1800;24.6;18.4;54;918.4;32;3;7;
83730;05/01/1961;0000;21;16.8;64;920.7;0;0;6;
83730;05/01/1961;1200;22;17.6;64;921.9;0;0;10;
83730;05/01/1961;1800;28;19.4;43;919.1;27;2;8;
83730;06/01/1961;0000;22;17.8;65;920.4;14;2.4;2;
83730;06/01/1961;1200;22;18.4;70;921;32;2;10;
83730;06/01/1961;1800;23.4;19;65;919.4;0;0;10;
83730;07/01/1961;0000;22.2;18.4;69;919.5;36;3.5;10;
83730;07/01/1961;1200;22.2;17.6;64;922.3;0;0;10;
83730;07/01/1961;1800;25;19.4;59;920.6;18;2.5;9;
83730;08/01/1961;0000;20.6;16.2;63;923.2;14;3.2;10;
83730;08/01/1961;1200;22.4;17.6;62;923.2;14;2.6;10;
83730;08/01/1961;1800;25;18.6;54;921.8;14;2.6;10;
83730;09/01/1961;0000;21.4;16.8;62;923.1;14;3.5;9;
83730;09/01/1961;1200;21.8;18.4;72;923.1;0;0;10;
83730;09/01/1961;1800;22.8;19.4;72;921.6;0;0;10;
83730;10/01/1961;0000;22.2;18.2;68;921.5;0;0;10;
83730;10/01/1961;1200;23.4;19.2;67;922.8;0;0;10;
83730;10/01/1961;1800;29.6;21.5;48;920.3;32;3;4;
