<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83736</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO LOURENCO - MG (OMM: 83736)
Latitude  (graus) : -22.1
Longitude (graus) : -45.01
Altitude  (metros): 953.20
Esta��o Operante
Inicio de opera��o: 04/02/1922
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83736;01/01/1961;1200;21.4;20.6;93;911.6;0;0;10;
83736;01/01/1961;1800;25;21.6;74;910.4;5;2.6;10;
83736;02/01/1961;0000;20.8;20.2;95;911.9;0;0;10;
83736;02/01/1961;1200;21.8;20.6;90;911;0;0;10;
83736;02/01/1961;1800;22;20.8;89;910.6;5;2.3;10;
83736;03/01/1961;0000;21.2;20.6;94;909.9;0;0;10;
83736;03/01/1961;1200;23.4;21.4;84;910.3;0;0;8;
83736;03/01/1961;1800;28.2;23.4;66;908.7;14;2.5;7;
83736;04/01/1961;0000;21.4;20.6;93;909.2;0;0;5;
83736;04/01/1961;1200;24.8;22.2;80;910.4;0;0;10;
83736;04/01/1961;1800;22.2;21;89;909.9;0;0;10;
83736;05/01/1961;0000;22;20.8;89;910.3;0;0;10;
83736;05/01/1961;1200;23.8;21;78;911.8;0;0;8;
83736;05/01/1961;1800;24.6;21;72;909.9;23;3.7;10;
83736;06/01/1961;0000;20.6;20;95;910.4;0;0;10;
83736;06/01/1961;1200;21.8;20.8;91;911.6;9;2.5;10;
83736;06/01/1961;1800;24;22.2;86;910.4;14;2.3;10;
83736;07/01/1961;0000;21.4;20.6;93;911.2;0;0;10;
83736;07/01/1961;1200;22;19.6;80;912.3;0;0;10;
83736;07/01/1961;1800;27.6;23.4;69;911.2;36;2.9;7;
83736;08/01/1961;0000;21.2;20.2;91;912.2;0;0;10;
83736;08/01/1961;1200;22.8;20.8;84;913.8;0;0;10;
83736;08/01/1961;1800;28.2;22;57;912.3;9;2.3;7;
83736;09/01/1961;0000;21.4;20.6;93;913.5;0;0;10;
83736;09/01/1961;1200;25.6;21.9;72;913.8;0;0;10;
83736;09/01/1961;1800;25;22.6;82;911.4;14;2.8;8;
83736;10/01/1961;0000;23;21.6;88;911.6;0;0;10;
83736;10/01/1961;1200;22.4;20.6;86;913.1;0;0;10;
83736;10/01/1961;1800;28.8;23.4;63;910.2;14;2.3;7;
83736;11/01/1961;0000;22.8;20.6;83;911.1;0;0;4;
83736;11/01/1961;1200;24.2;20.6;72;912.7;0;0;5;
83736;11/01/1961;1800;29;22.4;56;911.8;9;2.6;8;
83736;12/01/1961;0000;22;20;83;912.3;0;0;4;
83736;12/01/1961;1200;23.4;20;73;913.9;0;0;6;
83736;12/01/1961;1800;27;22.2;65;913.2;9;2.3;9;
83736;13/01/1961;0000;19;17.8;88;915.5;9;2.3;10;
83736;13/01/1961;1200;19.8;19;93;916.6;0;0;10;
83736;13/01/1961;1800;25.8;21.2;65;913.9;0;0;6;
83736;14/01/1961;0000;21.6;19.6;83;914.6;0;0;10;
83736;14/01/1961;1200;21.9;19.4;79;916;0;0;8;
83736;14/01/1961;1800;26.4;21.8;66;914.2;0;0;7;
83736;15/01/1961;0000;21.4;20.4;91;913.8;0;0;10;
83736;15/01/1961;1200;21.8;18.6;74;915.4;0;0;4;
83736;15/01/1961;1800;28;21.6;56;915.4;5;3;5;
83736;16/01/1961;0000;22.2;19.8;80;915;14;2.3;0;
83736;16/01/1961;1200;20.8;19.2;87;916.8;0;0;10;
83736;16/01/1961;1800;27.2;21.4;58;914.6;0;0;6;
83736;17/01/1961;0000;21.2;19;81;915.6;5;2.9;10;
83736;17/01/1961;1200;23.6;19.6;69;918.4;0;0;0;
83736;17/01/1961;1800;28.4;21;51;917.4;9;2.8;6;
83736;18/01/1961;0000;22.8;20.8;84;917.5;0;0;4;
83736;18/01/1961;1200;23.8;20.6;75;919.8;0;0;0;
83736;18/01/1961;1800;31.2;23;49;917.8;9;2.9;4;
83736;19/01/1961;0000;21.2;19.2;83;918.3;9;2.7;10;
83736;19/01/1961;1200;21.4;20.2;89;919.8;0;0;10;
83736;19/01/1961;1800;27;22;64;918.7;5;2.3;8;
83736;20/01/1961;0000;19.2;18.6;94;918.6;0;0;10;
83736;20/01/1961;1200;19.8;18.8;91;917.9;0;0;10;
83736;20/01/1961;1800;26.8;22.6;69;915.5;0;0;7;
83736;21/01/1961;0000;19.2;18.6;94;916.4;0;0;7;
83736;21/01/1961;1200;19.4;18.6;92;917.1;0;0;10;
83736;21/01/1961;1800;28.2;22.2;58;914.2;9;2.4;5;
83736;22/01/1961;0000;23;20.2;78;913.2;0;0;10;
83736;22/01/1961;1200;22;20.4;87;915.9;0;0;8;
83736;22/01/1961;1800;28.8;22.2;56;914.7;5;2.9;5;
83736;23/01/1961;0000;24.4;22.2;83;913.5;0;0;10;
83736;23/01/1961;1200;20.4;19.6;92;915.5;0;0;10;
83736;23/01/1961;1800;21.6;20.4;89;914.4;0;0;10;
83736;24/01/1961;0000;21;20.4;94;914.2;0;0;10;
83736;24/01/1961;1200;21.4;20.4;91;915.4;0;0;10;
83736;24/01/1961;1800;27.2;23;70;912.8;0;0;8;
83736;25/01/1961;0000;21.4;20.4;91;913.9;0;0;8;
83736;25/01/1961;1200;22;20.6;88;914.6;0;0;10;
83736;25/01/1961;1800;25;22;77;912.6;0;0;10;
83736;26/01/1961;0000;21.2;20.6;94;913;0;0;10;
83736;26/01/1961;1200;21.6;19.4;81;913.2;0;0;10;
83736;26/01/1961;1800;22.2;19.4;77;912.6;0;0;10;
83736;27/01/1961;0000;19.2;15.6;69;913.5;0;0;10;
83736;27/01/1961;1200;18.6;16.4;80;915;0;0;10;
83736;27/01/1961;1800;23.6;19.6;69;914.3;0;0;10;
83736;28/01/1961;0000;18.6;17.8;92;915.9;0;0;10;
83736;28/01/1961;1200;19.4;18.4;90;915.4;0;0;10;
83736;28/01/1961;1800;25.6;21.2;67;913.5;0;0;10;
83736;29/01/1961;0000;20.2;19.4;92;915;0;0;10;
83736;29/01/1961;1200;21;19.4;86;916.3;0;0;10;
83736;29/01/1961;1800;25;21.8;75;915.2;9;2.9;8;
83736;30/01/1961;0000;21.4;20.7;94;915.9;0;0;10;
83736;30/01/1961;1200;21.8;20.2;87;916.3;0;0;10;
83736;30/01/1961;1800;28;22.3;60;914.2;9;2.3;5;
83736;31/01/1961;0000;24;21.4;79;913.9;0;0;8;
83736;31/01/1961;1200;21.6;19.8;85;915.6;0;0;10;
83736;31/01/1961;1800;26.2;21.6;66;914;0;0;10;
83736;01/02/1961;0000;20.4;18.8;86;915.8;0;0;10;
83736;01/02/1961;1200;20.4;19.4;90;916.4;0;0;10;
83736;01/02/1961;1800;26.8;21.4;60;915.6;5;2.8;8;
83736;02/02/1961;0000;21.4;19.2;82;915.8;0;0;0;
83736;02/02/1961;1200;23.2;20.2;76;917.4;0;0;3;
83736;02/02/1961;1800;31;23.4;52;915;0;0;8;
83736;03/02/1961;0000;22.8;20.6;83;916.6;0;0;6;
83736;03/02/1961;1200;22.4;20.4;84;917.8;0;0;4;
83736;03/02/1961;1800;32.2;23.2;46;916.3;9;3;4;
83736;04/02/1961;0000;20.2;19.4;92;917.2;0;0;10;
83736;04/02/1961;1200;20.4;19.4;90;918.3;0;0;5;
83736;04/02/1961;1800;23.4;21.4;84;916.2;0;0;10;
83736;05/02/1961;0000;18.8;17.8;90;917.5;0;0;10;
83736;05/02/1961;1200;18.6;18.2;96;918.7;0;0;10;
83736;05/02/1961;1800;25.4;21.4;69;916.3;0;0;10;
83736;06/02/1961;0000;21.4;20.4;91;916;0;0;10;
83736;06/02/1961;1200;22.8;20.8;84;918;0;0;6;
83736;06/02/1961;1800;29.4;23;57;916.8;9;2.6;5;
83736;07/02/1961;0000;21.6;19.6;83;916.7;0;0;0;
83736;07/02/1961;1200;23.6;20.8;77;919.8;0;0;5;
83736;07/02/1961;1800;24.4;20.6;71;918;27;3.3;10;
83736;08/02/1961;0000;21.2;19.6;86;918.3;0;0;5;
83736;08/02/1961;1200;22.8;20.4;81;918.8;0;0;4;
83736;08/02/1961;1800;27;21;57;917;18;9.5;10;
83736;09/02/1961;0000;22.2;21.2;91;916.6;0;0;6;
83736;09/02/1961;1200;22.4;20.4;84;917.6;0;0;6;
83736;09/02/1961;1800;29.6;23;56;915.2;9;2.3;8;
83736;10/02/1961;0000;22.2;21;89;915.2;0;0;10;
83736;10/02/1961;1200;24.8;21.4;73;917.2;0;0;8;
83736;10/02/1961;1800;28.6;22.6;59;914.6;14;2.6;5;
83736;11/02/1961;0000;22.8;20.8;84;914.4;0;0;0;
83736;11/02/1961;1200;23.6;20.8;77;915.5;0;0;8;
83736;11/02/1961;1800;28;22.2;59;912.6;5;3;10;
83736;12/02/1961;0000;23.4;22;88;910.6;0;0;0;
83736;12/02/1961;1200;20;19.4;94;913.2;0;0;10;
83736;12/02/1961;1800;21.4;20.4;91;911.1;0;0;10;
83736;13/02/1961;0000;21.6;20.6;91;911.2;0;0;10;
83736;13/02/1961;1200;20;19;91;913;0;0;10;
83736;13/02/1961;1800;21.6;19.8;85;912.6;0;0;10;
83736;14/02/1961;0000;19.4;18.6;92;911.8;0;0;10;
83736;14/02/1961;1200;18.8;18.2;94;914.7;0;0;10;
83736;14/02/1961;1800;20;18.8;89;915.2;0;0;10;
