<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83737</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PASSA QUATRO - MG (OMM: 83737)
Latitude  (graus) : -22.38
Longitude (graus) : -44.96
Altitude  (metros): 920.00
Esta��o Operante
Inicio de opera��o: 29/07/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83737;01/01/1961;1200;20.4;19.6;92;908.8;5;5;10;
83737;01/01/1961;1800;22.4;21.2;90;906.4;5;1;10;
83737;02/01/1961;0000;20;19.6;96;908.7;0;0;10;
83737;02/01/1961;1200;20.6;19.6;91;908.2;5;5;10;
83737;02/01/1961;1800;20.4;19.4;90;905.2;5;7;10;
83737;03/01/1961;0000;20.6;20;95;907.1;5;1;10;
83737;03/01/1961;1200;23.6;20.8;77;907.5;5;1;9;
83737;03/01/1961;1800;26.6;22.6;71;905.2;5;1;5;
83737;04/01/1961;0000;22.2;20.2;84;906.6;23;3;10;
83737;04/01/1961;1200;24;21.2;78;907.8;5;1;8;
83737;04/01/1961;1800;22.6;20.6;84;905.9;14;1;10;
83737;05/01/1961;0000;19;18.2;92;908.8;14;3;10;
83737;05/01/1961;1200;23.2;20.2;76;908.6;14;3;9;
83737;05/01/1961;1800;25.6;21.6;70;907.1;5;3;10;
83737;06/01/1961;0000;21;19.2;85;907.8;14;3;10;
83737;06/01/1961;1200;21.4;20.2;89;908.7;5;5;10;
83737;06/01/1961;1800;22.2;21;89;907.2;5;3;10;
83737;07/01/1961;0000;20.8;20;93;908.4;0;0;10;
83737;07/01/1961;1200;21.8;20.2;87;909.5;14;1;10;
83737;07/01/1961;1800;24;21.2;78;908.3;14;3;10;
83737;08/01/1961;0000;21;18.8;81;910.8;23;7;10;
83737;08/01/1961;1200;24;21;76;911.1;5;1;10;
83737;08/01/1961;1800;24.4;21;73;909.4;23;5;10;
83737;09/01/1961;0000;20.8;20;93;911.2;0;0;10;
83737;09/01/1961;1200;23.6;21.2;81;911.4;5;1;10;
