<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83741</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ECOLOGIA AGRICOLA - RJ (OMM: 83741)
Latitude  (graus) : -22.8
Longitude (graus) : -43.68
Altitude  (metros): 33.00
Esta��o Fechada
Inicio de opera��o: 07/02/1939
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83741;01/01/1961;1200;27.6;24.2;75;;36;4;10;
83741;01/01/1961;1800;30.1;25.4;66;;32;1;10;
83741;02/01/1961;0000;25.2;24;90;;32;1;10;
83741;02/01/1961;1200;28.1;24.5;73;;36;3;10;
83741;02/01/1961;1800;29.6;25.2;68;;36;2;10;
83741;03/01/1961;0000;24.4;23.5;93;;5;1;10;
83741;03/01/1961;1200;28;24.9;76;;18;2;8;
83741;03/01/1961;1800;28;24.6;75;;18;5;8;
83741;04/01/1961;0000;24.3;23.3;92;;0;0;7;
83741;04/01/1961;1200;28.2;23.9;68;;0;0;4;
83741;04/01/1961;1800;27.2;23.5;72;;32;3;10;
83741;05/01/1961;0000;24.1;23.5;95;;32;1;10;
83741;05/01/1961;1200;26.6;24.1;81;;0;0;9;
83741;05/01/1961;1800;26.2;23.5;79;;18;2;10;
83741;06/01/1961;0000;23.4;23.1;97;;0;0;10;
83741;06/01/1961;1200;28.2;25.3;78;;5;1;5;
83741;06/01/1961;1800;33.2;26.1;55;;27;3;7;
83741;07/01/1961;0000;27.6;24;73;;36;2;6;
83741;07/01/1961;1200;27.2;24.3;78;;23;5;10;
83741;07/01/1961;1800;25.4;23.9;88;;23;4;10;
83741;08/01/1961;0000;24.4;23.3;91;;14;1;10;
83741;08/01/1961;1200;27;24.2;79;;9;2;10;
83741;08/01/1961;1800;26.6;23.5;76;;18;3;10;
83741;09/01/1961;0000;24.4;23.3;91;;0;0;10;
83741;09/01/1961;1200;26.4;24;81;;9;2;10;
83741;09/01/1961;1800;27.8;24.3;73;;18;4;9;
83741;10/01/1961;0000;25.3;24.1;91;;18;2;10;
83741;10/01/1961;1200;27.6;24.5;77;;0;0;6;
83741;10/01/1961;1800;29.7;25.2;68;;18;3;6;
83741;11/01/1961;0000;25.1;24.2;93;;0;0;10;
83741;11/01/1961;1200;27;24.3;79;;0;0;9;
83741;11/01/1961;1800;28.4;24.3;70;;23;7;9;
83741;12/01/1961;0000;24.4;23.5;93;;0;0;3;
83741;12/01/1961;1200;25.8;23.9;85;;36;1;5;
83741;12/01/1961;1800;24.4;23.1;89;;0;0;10;
83741;13/01/1961;0000;22.4;22.1;97;;9;1;5;
83741;13/01/1961;1200;28;22.2;58;;36;4;4;
83741;13/01/1961;1800;32.6;24.2;48;;9;3;6;
83741;14/01/1961;0000;22.1;21.6;95;;0;0;9;
83741;14/01/1961;1200;28.4;23.3;64;;36;1;3;
83741;14/01/1961;1800;27.2;22.8;67;;27;3;8;
83741;15/01/1961;0000;24;20.5;71;;32;2;2;
83741;15/01/1961;1200;27;20.9;55;;36;6;0;
83741;15/01/1961;1800;33.4;24.3;45;;32;2;3;
83741;16/01/1961;0000;24.2;21.2;76;;32;3;3;
83741;16/01/1961;1200;29.4;22.7;54;;36;6;1;
83741;16/01/1961;1800;34.4;24.9;44;;5;4;3;
83741;17/01/1961;0000;27.2;21.4;57;;36;6;1;
83741;17/01/1961;1200;29.4;23.1;57;;36;6;2;
83741;17/01/1961;1800;35.4;25.5;43;;36;3;2;
83741;18/01/1961;0000;28.2;24.6;74;;0;0;1;
83741;18/01/1961;1200;31.8;24.5;53;;32;3;1;
83741;18/01/1961;1800;35.4;25.1;41;;27;5;5;
83741;19/01/1961;0000;26.8;23.9;77;;0;0;2;
83741;19/01/1961;1200;28.2;23.7;67;;27;1;9;
83741;19/01/1961;1800;29.4;25.5;72;;18;2;7;
83741;20/01/1961;0000;23.6;22.4;90;;32;3;10;
83741;20/01/1961;1200;26;22.7;74;;32;3;9;
83741;20/01/1961;1800;33.2;24.6;47;;36;2;6;
83741;21/01/1961;0000;25.6;23.6;84;;5;1;2;
83741;21/01/1961;1200;29.6;23.1;56;;36;5;2;
83741;21/01/1961;1800;34;24.6;44;;14;2;5;
83741;22/01/1961;0000;25.6;22.6;77;;0;0;3;
83741;22/01/1961;1200;30.6;23.1;51;;36;6;2;
83741;22/01/1961;1800;28.3;22;55;;18;4;6;
83741;23/01/1961;0000;25.4;23.4;84;;23;1;5;
83741;23/01/1961;1200;24.6;23.9;94;;0;0;10;
83741;23/01/1961;1800;28.6;24.7;71;;18;3;8;
83741;24/01/1961;0000;24.9;23.5;89;;14;1;9;
83741;24/01/1961;1200;27.8;24.2;73;;0;0;3;
83741;24/01/1961;1800;30.2;24.7;62;;18;2;3;
83741;25/01/1961;0000;25.6;23.4;82;;0;0;10;
83741;25/01/1961;1200;24.6;23.5;91;;0;0;10;
83741;25/01/1961;1800;25.9;24.1;86;;18;2;10;
83741;26/01/1961;0000;22.6;22.3;97;;18;2;10;
83741;26/01/1961;1200;22.6;22.1;96;;0;0;10;
83741;26/01/1961;1800;26.2;22.1;69;;36;3;10;
83741;27/01/1961;0000;21.9;21.2;94;;0;0;10;
83741;27/01/1961;1200;23;21.9;90;;14;2;10;
83741;27/01/1961;1800;22.6;22;95;;18;3;10;
83741;28/01/1961;0000;21.7;21.5;98;;0;0;10;
83741;28/01/1961;1200;23.2;22.7;96;;0;0;10;
83741;28/01/1961;1800;23.3;22.8;95;;18;2;10;
83741;29/01/1961;0000;22.5;22.3;98;;32;1;10;
83741;29/01/1961;1200;24.8;23.1;86;;32;1;10;
83741;29/01/1961;1800;27;24.1;78;;14;3;10;
83741;30/01/1961;0000;24.2;23.6;95;;0;0;10;
83741;30/01/1961;1200;27.8;24.4;74;;32;2;7;
83741;30/01/1961;1800;26.2;24.5;87;;23;2;8;
83741;31/01/1961;0000;24.5;23.5;92;;0;0;10;
83741;31/01/1961;1200;26.3;23.3;76;;32;3;10;
83741;31/01/1961;1800;29.6;25.6;71;;27;2;9;
83741;01/02/1961;0000;25.2;24.3;92;;32;1;10;
83741;01/02/1961;1200;28.2;24.9;75;;5;1;9;
83741;01/02/1961;1800;28.8;25.3;74;;23;3;6;
83741;02/02/1961;0000;25.2;24.5;94;;0;0;10;
83741;02/02/1961;1200;28.6;23.9;65;;27;1;1;
83741;02/02/1961;1800;32.6;27;63;;0;0;3;
83741;03/02/1961;0000;25.6;24.6;92;;0;0;3;
83741;03/02/1961;1200;28.5;25.6;78;;18;3;4;
83741;03/02/1961;1800;27.6;25.3;82;;27;2;9;
83741;04/02/1961;0000;25.2;24.5;94;;5;1;10;
83741;04/02/1961;1200;26.6;23.9;79;;27;1;8;
