<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83742</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : VASSOURAS - RJ (OMM: 83742)
Latitude  (graus) : -22.4
Longitude (graus) : -43.66
Altitude  (metros): 437.00
Esta��o Desativada
Inicio de opera��o: 16/06/1911
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83742;01/01/1961;1200;21.5;21;95;959.5;5;3;10;
83742;01/01/1961;1800;23.2;22.4;93;957.2;5;3;10;
83742;02/01/1961;0000;22.2;22.2;100;959;5;3;10;
83742;02/01/1961;1200;22.7;22.1;95;959;0;0;10;
83742;02/01/1961;1800;25;23.4;87;956;0;0;10;
83742;03/01/1961;0000;23;22;91;957.1;5;3;10;
83742;03/01/1961;1200;25.2;22.9;81;957.8;5;1;7;
83742;03/01/1961;1800;25.1;23;83;956;14;9;9;
83742;04/01/1961;0000;21.9;21;92;958.8;0;0;7;
83742;04/01/1961;1200;23.9;21.6;81;958.8;0;0;10;
83742;04/01/1961;1800;23.9;22.4;87;956.7;0;0;10;
83742;05/01/1961;0000;21;20.6;95;959.1;0;0;9;
83742;05/01/1961;1200;23.6;22.6;92;960.3;0;0;10;
83742;05/01/1961;1800;26.5;23.2;74;957.6;23;5;10;
83742;06/01/1961;0000;21.8;21;93;959.9;0;0;10;
83742;06/01/1961;1200;25.4;23.2;81;959;5;5;7;
83742;06/01/1961;1800;25.6;23.6;84;957.8;5;5;10;
83742;07/01/1961;0000;23.2;22.2;91;957.9;0;0;0;
83742;07/01/1961;1200;25.6;23.4;82;960.3;5;1;10;
83742;07/01/1961;1800;23.5;22.9;94;959.4;0;0;10;
83742;08/01/1961;0000;22.2;21.4;92;961.6;0;0;10;
83742;08/01/1961;1200;24.3;22.3;83;962.2;0;0;10;
83742;08/01/1961;1800;24.3;22.2;83;960.4;5;4;10;
83742;09/01/1961;0000;22.4;21.9;95;963;32;1;10;
83742;09/01/1961;1200;24.2;22.4;85;963;36;1;10;
83742;09/01/1961;1800;26.6;23.9;80;959.6;32;5;9;
83742;10/01/1961;0000;22.6;21.8;92;961.8;0;0;10;
83742;10/01/1961;1200;25;20.9;68;961;5;1;7;
83742;10/01/1961;1800;26.9;23.8;76;959.5;14;7;7;
83742;11/01/1961;0000;23.2;22.2;91;961.2;0;0;10;
83742;11/01/1961;1200;24;22.2;85;961.6;0;0;10;
83742;11/01/1961;1800;26.2;23.2;77;960.8;23;7;10;
83742;12/01/1961;0000;22.4;21.2;90;962;23;1;9;
83742;12/01/1961;1200;24.9;22.6;82;963.2;0;0;8;
83742;12/01/1961;1800;25;21.6;74;962.7;5;9;10;
83742;13/01/1961;0000;20.8;19.8;91;964.4;5;1;10;
83742;13/01/1961;1200;23.4;21.5;83;965;5;9;4;
83742;13/01/1961;1800;28.4;22.7;61;962;5;3;7;
83742;14/01/1961;0000;22.6;20.8;84;963.6;5;1;7;
83742;14/01/1961;1200;24.4;21.4;75;963.9;5;3;6;
83742;14/01/1961;1800;24.8;22;77;963.4;14;;9;
83742;15/01/1961;0000;18.2;18;98;964;0;0;1;
83742;15/01/1961;1200;21.8;19.6;81;963.9;5;9;4;
83742;15/01/1961;1800;29;27.6;90;962.6;5;1;2;
83742;16/01/1961;0000;22.4;21;88;965.1;0;0;0;
83742;16/01/1961;1200;24.4;21.2;74;964.8;5;9;7;
83742;16/01/1961;1800;26.9;22;65;962.8;5;3;2;
83742;17/01/1961;0000;22.2;19.4;76;964.3;5;1;1;
83742;17/01/1961;1200;24.6;21.6;77;967;5;9;7;
83742;17/01/1961;1800;30.3;24;58;965.1;5;3;3;
83742;18/01/1961;0000;25.4;23.1;82;963.9;0;0;0;
83742;18/01/1961;1200;27.6;23;67;964.2;5;3;4;
83742;18/01/1961;1800;34.4;25.6;48;964.3;5;1;7;
83742;19/01/1961;0000;22.2;21.6;94;966.4;0;0;2;
83742;19/01/1961;1200;25.4;22.5;77;966.6;0;0;9;
83742;19/01/1961;1800;31.6;24.4;54;964.3;14;3;7;
83742;20/01/1961;0000;22;21.2;93;967.2;0;0;10;
83742;20/01/1961;1200;21.6;20.4;89;965.5;0;0;10;
83742;20/01/1961;1800;29.2;24;64;963.1;5;1;7;
83742;21/01/1961;0000;22.2;21;89;964.7;0;0;10;
83742;21/01/1961;1200;24.4;21.3;76;964.8;5;5;6;
83742;21/01/1961;1800;30;23.6;58;961.4;5;3;4;
83742;22/01/1961;0000;24.8;22.2;81;961.8;0;0;7;
83742;22/01/1961;1200;25;21.6;73;963.8;5;7;4;
83742;22/01/1961;1800;31;24;55;960.6;5;3;3;
83742;23/01/1961;0000;23.2;21.6;86;962.4;0;0;8;
83742;23/01/1961;1200;21.7;21.4;97;963.6;0;0;10;
83742;23/01/1961;1800;22.9;22.2;94;962;0;0;10;
83742;24/01/1961;0000;21.2;21;98;963.6;0;0;9;
83742;24/01/1961;1200;24.4;22.4;83;963.5;0;0;7;
83742;24/01/1961;1800;29.3;24.7;68;960.8;5;11;7;
83742;25/01/1961;0000;22.4;21;88;963.4;0;0;7;
83742;25/01/1961;1200;22.7;22.1;95;963;0;0;9;
83742;25/01/1961;1800;25;23.4;87;960.6;0;0;10;
83742;26/01/1961;0000;20.9;20.7;98;962.2;0;0;10;
83742;26/01/1961;1200;21.2;21;98;962.3;0;0;10;
83742;26/01/1961;1800;22;20.6;88;962.7;14;7;10;
83742;27/01/1961;0000;19.6;18.5;90;963.9;0;0;10;
83742;27/01/1961;1200;20.9;20;92;965.2;0;0;10;
83742;27/01/1961;1800;20.9;20.3;94;964.6;0;0;10;
83742;28/01/1961;0000;19.4;19.4;100;965;0;0;10;
83742;28/01/1961;1200;21.2;20.9;97;963.9;0;0;10;
83742;28/01/1961;1800;24.4;22.6;85;963;23;1;10;
83742;29/01/1961;0000;20.6;20.3;97;964.8;0;0;10;
83742;29/01/1961;1200;22.6;21.3;88;964.3;0;0;10;
83742;29/01/1961;1800;26.9;23.9;77;962.4;0;0;10;
83742;30/01/1961;0000;21.9;21.2;94;964.4;0;0;10;
83742;30/01/1961;1200;24.3;22.6;86;964.2;0;0;9;
83742;30/01/1961;1800;27.2;23.2;70;961.8;14;5;9;
83742;31/01/1961;0000;22.2;21.6;94;963.6;0;0;10;
