<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83744</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TERESOPOLIS - RJ (OMM: 83744)
Latitude  (graus) : -22.41
Longitude (graus) : -42.97
Altitude  (metros): 874.16
Esta��o Operante
Inicio de opera��o: 01/01/1913
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83744;01/01/1961;1200;21;19.3;85;912.6;1;3.1;10;
83744;01/01/1961;1800;23.2;21;82;910;1;3.2;10;
83744;02/01/1961;0000;21;20.4;94;912.4;0;0;10;
83744;02/01/1961;1200;20.9;20;92;912;8;2.5;10;
83744;02/01/1961;1800;23.2;21;82;909.4;8;2.8;10;
83744;03/01/1961;0000;20.9;20;92;911;8;2.6;10;
83744;03/01/1961;1200;22.2;21;89;911.2;8;3.6;10;
83744;03/01/1961;1800;20.8;20.2;95;909.9;5;2.9;10;
83744;04/01/1961;0000;19.3;18.8;95;912.2;0;0;10;
83744;04/01/1961;1200;24.2;21.3;77;911.4;8;2.4;6;
83744;04/01/1961;1800;22.6;21.2;88;910.2;5;1.8;10;
83744;05/01/1961;0000;20;19.4;94;912;0;0;10;
83744;05/01/1961;1200;20.8;20.2;95;912.7;0;0;10;
83744;05/01/1961;1800;21.7;20.4;88;911.2;5;1.3;10;
83744;06/01/1961;0000;19.9;19.4;95;912.3;0;0;10;
83744;06/01/1961;1200;22;19.8;81;912.4;1;3.7;9;
83744;06/01/1961;1800;25.6;21.8;71;910.6;8;3.2;8;
83744;07/01/1961;0000;22.2;20.4;85;910.3;8;2.8;9;
83744;07/01/1961;1200;25;22.2;79;912.6;8;2;10;
83744;07/01/1961;1800;21.8;21;93;912.2;0;0;10;
83744;08/01/1961;0000;20;19.2;93;915.8;8;2.9;10;
83744;08/01/1961;1200;20.4;19.4;90;915.1;0;0;10;
83744;08/01/1961;1800;21.2;20.2;91;913.8;5;2.3;10;
83744;09/01/1961;0000;19.6;19;95;915.8;0;0;10;
