<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83745</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : NOVA FRIBURGO - RJ (OMM: 83745)
Latitude  (graus) : -22.25
Longitude (graus) : -42.51
Altitude  (metros): 856.60
Esta��o Fechada
Inicio de opera��o: 01/04/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83745;01/02/1961;1200;21.2;20.2;91;919.6;0;0;5;
83745;01/02/1961;1800;27;22;64;917.6;9;5.1;6;
83745;02/02/1961;0000;19.8;19.4;96;920.6;0;0;10;
83745;02/02/1961;1200;21.6;20.4;89;920.8;0;0;6;
83745;02/02/1961;1800;28;22.4;60;918.6;9;3.1;2;
83745;03/02/1961;0000;20;19.6;96;920.4;0;0;10;
83745;03/02/1961;1200;21.6;20.4;89;921.4;0;0;3;
83745;03/02/1961;1800;22.8;20.4;81;920.3;0;0;10;
83745;04/02/1961;0000;18.4;18;96;921.5;0;0;10;
83745;04/02/1961;1200;21.4;20;87;922;0;0;5;
83745;04/02/1961;1800;21;19.8;89;920.2;0;0;10;
83745;05/02/1961;0000;19.6;19.4;98;920.7;0;0;10;
83745;05/02/1961;1200;21.4;19.2;82;920.8;0;0;3;
83745;05/02/1961;1800;26.8;22;65;919.1;0;0;4;
83745;06/02/1961;0000;22;21.8;98;919.9;0;0;4;
83745;06/02/1961;1200;24;20.2;70;921.2;0;0;3;
83745;06/02/1961;1800;29.4;22.4;54;919.2;0;0;3;
83745;07/02/1961;0000;21.4;20.4;91;920.6;0;0;2;
83745;07/02/1961;1200;22.8;20.8;84;922.7;0;0;1;
83745;07/02/1961;1800;30.8;23;51;918.4;0;0;2;
83745;08/02/1961;0000;22;20.4;87;921.8;0;0;2;
83745;08/02/1961;1200;24;21;76;921.8;0;0;1;
83745;08/02/1961;1800;23;20.8;82;920.4;0;0;10;
83745;09/02/1961;0000;19.2;18;88;921.8;0;0;10;
83745;09/02/1961;1200;22.2;19.4;77;920.3;0;0;4;
83745;09/02/1961;1800;27.8;22.4;61;917.6;0;0;4;
83745;10/02/1961;0000;20.6;19.4;89;919.8;0;0;4;
83745;10/02/1961;1200;23.4;20.2;75;920.4;0;0;2;
83745;10/02/1961;1800;24;21.4;79;918.6;0;0;4;
83745;11/02/1961;0000;20;19.4;94;919.9;0;0;10;
83745;11/02/1961;1200;20.4;19.4;90;918.7;0;0;3;
83745;11/02/1961;1800;27;23.8;76;915.6;0;0;4;
83745;12/02/1961;0000;23.4;21.8;87;916.2;0;0;4;
83745;12/02/1961;1200;19.4;18.4;90;916.3;0;0;10;
83745;12/02/1961;1800;22;20;83;914;0;0;10;
83745;13/02/1961;0000;20.8;20.2;95;917.1;0;0;10;
83745;13/02/1961;1200;20.2;19.2;91;916.4;0;0;10;
83745;13/02/1961;1800;23.4;21;81;915.1;0;0;10;
83745;14/02/1961;0000;19.4;18;86;917.2;0;0;10;
83745;14/02/1961;1200;17.2;17;98;920;0;0;10;
83745;14/02/1961;1800;18;16.4;85;920.2;0;0;10;
83745;15/02/1961;0000;16;15.2;91;923.4;0;0;10;
83745;15/02/1961;1200;16.4;16.2;98;917.2;0;0;10;
83745;15/02/1961;1800;20;18.6;87;916.3;0;0;10;
83745;16/02/1961;0000;18.2;18.2;98;923.1;0;0;10;
83745;16/02/1961;1200;19.4;18.6;92;922.4;0;0;6;
83745;16/02/1961;1800;23.8;20.6;75;920.2;0;0;5;
83745;17/02/1961;0000;18.4;17;86;921.5;0;0;10;
83745;17/02/1961;1200;19.4;18.4;90;922;0;0;10;
83745;17/02/1961;1800;23.2;20;75;920.6;0;0;6;
83745;18/02/1961;0000;20;19.4;94;921.4;0;0;6;
83745;18/02/1961;1200;20;18.4;86;922.4;0;0;6;
83745;18/02/1961;1800;24.6;20;65;921;0;0;6;
83745;19/02/1961;0000;19.4;18.2;88;921.4;0;0;6;
83745;19/02/1961;1200;21.2;18.4;76;920.8;0;0;4;
