<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83747</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CABO FRIO - RJ (OMM: 83747)
Latitude  (graus) : -22.86
Longitude (graus) : -42.01
Altitude  (metros): 2.00
Esta��o Desativada
Inicio de opera��o: 13/11/1915
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83747;01/09/1961;1200;23.8;21.5;81;1017.6;5;1;6;
83747;01/09/1961;1800;23.6;21.6;83;1016.4;5;1;0;
83747;02/09/1961;0000;22.2;20.6;86;1018.2;5;1;0;
83747;02/09/1961;1200;24;21.3;77;1019;5;5;4;
83747;02/09/1961;1800;23.5;20.9;78;1016.7;5;5;0;
83747;03/09/1961;0000;21.7;20.2;87;1018.2;5;9;0;
83747;03/09/1961;1200;23.3;20.2;75;1016;5;9;0;
83747;03/09/1961;1800;24.2;20.7;72;1012.6;5;12;0;
83747;04/09/1961;0000;21.8;20.2;86;1013.1;5;12;0;
83747;04/09/1961;1200;25.3;20.9;65;1012.2;5;5;0;
83747;04/09/1961;1800;24.6;21;71;1009.8;5;7;0;
83747;05/09/1961;0000;22.8;20.3;79;1010.8;5;7;0;
83747;05/09/1961;1200;24.5;22.4;82;1013.9;23;7;4;
83747;05/09/1961;1800;25.9;22;70;1012.2;23;9;0;
83747;06/09/1961;0000;21.6;20.6;91;1013.2;5;1;0;
83747;06/09/1961;1200;22.7;21;85;1014.7;23;1;4;
83747;06/09/1961;1800;25.7;22.3;73;1013.2;23;1;5;
83747;07/09/1961;0000;22.8;21.6;90;1015.6;23;1;10;
83747;07/09/1961;1200;24.1;22.4;85;1019.5;23;1;10;
83747;07/09/1961;1800;21.2;20.3;91;1017.8;14;3;10;
83747;08/09/1961;0000;20.4;19.6;92;1020.7;14;5;10;
83747;08/09/1961;1200;20.7;19;85;1022.3;14;3;10;
83747;08/09/1961;1800;21.4;19.6;84;1019.9;14;1;10;
83747;09/09/1961;0000;20.2;19.5;93;1019.9;5;1;10;
83747;09/09/1961;1200;22.9;21.5;88;1015.4;5;7;7;
83747;09/09/1961;1800;23.2;21.2;83;1012.7;5;5;0;
83747;10/09/1961;0000;23;21;83;1013.9;5;7;10;
83747;10/09/1961;1200;24;21.6;80;1014.8;5;1;6;
83747;10/09/1961;1800;25.4;22.4;76;1010;5;1;6;
83747;11/09/1961;0000;22.4;20.1;80;1012.7;23;1;10;
83747;11/09/1961;1200;23.8;22.2;87;1015.8;23;1;10;
83747;11/09/1961;1800;24.2;22.2;84;1014.2;14;3;10;
83747;12/09/1961;0000;22.2;21.1;90;1015.9;5;1;4;
83747;12/09/1961;1200;23.2;21.5;85;1012.7;5;3;5;
83747;12/09/1961;1800;25.8;21.4;65;1012.4;32;12;6;
83747;13/09/1961;0000;23.8;21;77;1013.1;0;0;6;
83747;13/09/1961;1200;23.3;21.2;83;1017.1;0;0;6;
83747;13/09/1961;1800;23.8;21.6;82;1016;14;3;6;
83747;14/09/1961;0000;22.2;21.2;91;1017.1;5;1;0;
83747;14/09/1961;1200;23;21;83;1018.3;5;7;6;
83747;14/09/1961;1800;23.8;21.4;80;1015.6;5;7;0;
83747;15/09/1961;0000;21.6;20.4;89;1017;5;5;0;
83747;15/09/1961;1200;23.1;21.5;86;1019.5;5;5;10;
83747;15/09/1961;1800;24.2;21.4;77;1014.8;5;5;10;
83747;16/09/1961;0000;21.8;20.6;90;1017.8;5;3;5;
83747;16/09/1961;1200;23.4;20.5;76;1017.4;5;12;7;
83747;16/09/1961;1800;23.5;20.7;77;1014.2;5;7;6;
83747;17/09/1961;0000;22.4;20;79;1015.5;5;9;6;
83747;17/09/1961;1200;22.8;20.8;83;1014.6;5;3;0;
83747;17/09/1961;1800;24.3;21;73;1011.5;5;3;0;
83747;18/09/1961;0000;23;20;75;1012.4;5;5;0;
83747;18/09/1961;1200;24.2;21.5;78;1011;5;5;0;
83747;18/09/1961;1800;25.4;21.8;71;1009.6;5;3;0;
83747;19/09/1961;0000;20.6;19.8;93;1011.9;5;1;10;
83747;19/09/1961;1200;23.8;21.6;82;1015.9;23;1;10;
83747;19/09/1961;1800;25.4;21.8;71;1012.7;23;1;10;
83747;20/09/1961;0000;22.2;21.2;91;1016;0;0;10;
83747;20/09/1961;1200;23.7;21.3;79;1015.9;5;5;0;
83747;20/09/1961;1800;24.8;21.4;72;1011.9;5;5;0;
83747;21/09/1961;0000;23.8;21.2;79;1013.2;5;9;0;
83747;21/09/1961;1200;23.7;21.3;79;1015.5;5;3;0;
83747;21/09/1961;1800;26.2;21.6;65;1010.3;5;3;0;
83747;22/09/1961;0000;23.6;21.6;83;1013.2;5;3;0;
83747;22/09/1961;1200;24.6;22.2;80;1017;23;7;6;
83747;22/09/1961;1800;25.1;22.4;78;1016.8;23;7;6;
83747;23/09/1961;0000;22.2;21.2;91;1019.6;23;1;7;
83747;23/09/1961;1200;22;21.2;93;1020.8;5;3;10;
83747;23/09/1961;1800;23.4;21.2;82;1019.5;5;1;6;
