<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83748</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : AFONSOS - AEROPORTO - RJ (OMM: 83748)
Latitude  (graus) : -22.87
Longitude (graus) : -43.38
Altitude  (metros): 34.00
Esta��o Operante
Inicio de opera��o: 20/06/1950
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83748;01/01/2015;0000;26.4;;79;1009.5;8;3.08664;8.75;
83748;01/01/2015;0600;24.3;;78;1006;5;1.54332;2.5;
83748;01/01/2015;1200;33.5;;44;1007.3;35;2.5722;2.5;
83748;01/01/2015;1800;37.1;;36;1003.5;21;5.1444;1.25;
83748;02/01/2015;0000;29.2;;60;1006.5;8;0.51444;5;
83748;02/01/2015;0600;25.7;;71;1006;24;0.51444;0;
83748;02/01/2015;1200;35.1;;44;1007;28;2.5722;0;
83748;02/01/2015;1800;38.7;;37;1004.5;19;6.17328;5;
83748;03/01/2015;0000;29;;68;1007.6;22;1.02888;1.25;
83748;03/01/2015;0600;28;;72;1009.1;20;2.05776;1.25;
83748;03/01/2015;1200;30;;62;1011.5;33;1.02888;5;
83748;03/01/2015;1800;31.2;;58;1009.3;20;5.65884;7.5;
83748;04/01/2015;0000;27.1;;75;1011.7;20;4.62996;8.75;
83748;04/01/2015;0600;24.9;;77;1010.7;18;1.02888;7.5;
83748;04/01/2015;1200;29.9;;64;1011.9;10;2.05776;5;
83748;04/01/2015;1800;26.5;;81;1010.5;28;7.20216;8.75;
83748;05/01/2015;0000;24.6;;85;1012.7;0;0;6.25;
83748;05/01/2015;0600;22.2;;86;1012.8;0;0;8.75;
83748;05/01/2015;1200;27.4;;74;1012.8;22;2.5722;7.5;
83748;05/01/2015;1800;27.9;;74;1010.9;22;7.7166;10;
83748;06/01/2015;0000;22.4;;93;1014.5;32;1.02888;10;
83748;06/01/2015;0600;22.1;;95;1011.8;21;1.54332;10;
83748;06/01/2015;1200;26.1;;80;1014.7;34;1.02888;8.75;
83748;06/01/2015;1800;32.5;;48;1011.5;10;2.5722;1.25;
83748;07/01/2015;0000;28;;64;1012.5;5;2.05776;3.75;
83748;07/01/2015;0600;23.9;;75;1012.2;16;1.02888;0;
83748;07/01/2015;1200;30;;62;1011.7;4;1.54332;0;
83748;07/01/2015;1800;36.2;;35;1008.7;35;2.05776;1.25;
83748;08/01/2015;0000;30.9;;49;1009.2;10;1.54332;0;
83748;08/01/2015;0600;22.3;;85;1009.5;28;1.02888;0;
83748;08/01/2015;1200;31.5;;50;1011.5;33;1.54332;0;
83748;08/01/2015;1800;37.5;;30;1007.8;19;3.60108;2.5;
83748;09/01/2015;0600;25.2;;73;1010.3;6;2.5722;0;
83748;09/01/2015;1200;33.6;;36;1010.2;35;4.11552;0;
83748;09/01/2015;1800;38.2;;;1007.1;29;3.60108;0;
83748;10/01/2015;0000;27.4;;59;1008.4;27;1.54332;0;
83748;10/01/2015;0600;22.8;;74;1008.1;0;0;0;
83748;10/01/2015;1200;34.2;;33;1009.7;2;2.5722;0;
83748;10/01/2015;1800;36.7;;30;1007;20;5.1444;0;
83748;11/01/2015;0000;29;;55;1008.6;24;1.54332;0;
83748;11/01/2015;0600;24.8;;73;1007.7;20;1.02888;0;
83748;11/01/2015;1200;33;;46;1009.7;32;3.08664;0;
83748;11/01/2015;1800;33.8;;51;1007.6;20;7.20216;0;
83748;12/01/2015;0000;26.7;;68;1009.4;25;2.5722;0;
83748;12/01/2015;0600;24.6;;80;1011;24;1.54332;0;
83748;12/01/2015;1200;34.7;;39;1009.7;2;2.5722;0;
83748;12/01/2015;1800;36.7;;38;1006.4;21;5.65884;1.25;
83748;13/01/2015;0000;29.7;;55;1008.8;19;2.5722;0;
83748;13/01/2015;0600;26.5;;70;1007.5;11;1.54332;0;
83748;13/01/2015;1200;33.6;;38;1009.8;28;6.68772;0;
83748;13/01/2015;1800;34.3;;52;1007.2;19;7.20216;1.25;
83748;14/01/2015;0000;28.9;;61;1008.8;21;1.02888;0;
83748;14/01/2015;0600;25.1;;86;1008.9;28;2.05776;0;
83748;14/01/2015;1200;32.8;;54;1010.6;36;1.02888;0;
83748;14/01/2015;1800;35.5;;43;1008.2;17;5.1444;2.5;
83748;15/01/2015;0000;28.2;;62;1008.4;21;1.02888;0;
83748;15/01/2015;0600;24.8;;83;1007.6;0;0;0;
83748;15/01/2015;1200;34.5;;46;1010.2;28;3.08664;0;
83748;15/01/2015;1800;34.8;;54;1008.6;20;6.68772;0;
83748;16/01/2015;0000;28.3;;75;1011.2;22;3.60108;1.25;
83748;16/01/2015;0600;23.9;;86;1009.9;24;1.54332;0;
83748;16/01/2015;1200;32;;54;1012.4;12;1.02888;3.75;
83748;16/01/2015;1800;32.5;;53;1009.8;20;6.17328;1.25;
83748;17/01/2015;0000;26.1;;67;1010;29;1.02888;0;
83748;17/01/2015;0600;24.7;;77;1010.4;23;2.5722;0;
83748;17/01/2015;1200;31.4;;53;1010.1;4;2.5722;0;
83748;17/01/2015;1800;36.7;;40;1006.6;20;7.20216;0;
83748;18/01/2015;0000;27.3;;57;1007.6;23;1.54332;0;
83748;18/01/2015;0600;23;;72;1006.4;0;0;0;
83748;18/01/2015;1200;33.3;;40;1009.7;26;2.5722;0;
83748;18/01/2015;1800;35;;47;1007.2;20;6.17328;0;
83748;19/01/2015;0000;26.8;;75;1009;25;1.54332;0;
83748;19/01/2015;0600;22.7;;88;1008.4;20;0.51444;0;
83748;19/01/2015;1200;33.5;;48;1010.3;25;0.51444;0;
83748;19/01/2015;1800;34.4;;47;1007.1;20;9.77436;0;
83748;20/01/2015;0000;28.2;;55;1008.6;22;2.05776;0;
83748;20/01/2015;0600;24.2;;65;1007.8;0;0;0;
