<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83749</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MACAE - RJ (OMM: 83749)
Latitude  (graus) : -22.34
Longitude (graus) : -41.76
Altitude  (metros): 2.00
Esta��o Operante
Inicio de opera��o: 01/01/1922
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83749;01/01/2015;0000;26.7;;70;1012.9;3;1.54332;5;
83749;01/01/2015;0600;23.9;;91;1009.6;3;2.5722;0;
83749;01/01/2015;1200;39.2;;38;1011;8;3.08664;0;
83749;01/01/2015;1800;31.3;;58;1007.4;8;7.7166;2.5;
83749;02/01/2015;0000;27.7;;68;1011;4;4.62996;0;
83749;02/01/2015;0600;24;;90;1008.8;7;3.08664;0;
83749;02/01/2015;1200;32.8;;57;1010.4;11;2.5722;3.75;
83749;02/01/2015;1800;39.4;;37;1009.5;14;1.54332;2.5;
83749;03/01/2015;0000;27;;77;1011.2;2;1.54332;0;
83749;03/01/2015;0600;24;;91;1011;28;0.51444;7.5;
83749;03/01/2015;1200;35.3;;56;1013.8;21;4.62996;8.75;
83749;03/01/2015;1800;31.6;;68;1012.8;18;4.62996;2.5;
83749;04/01/2015;0000;26;;93;1015.5;16;1.02888;8.75;
83749;04/01/2015;0600;24.8;;98;1013.8;1;1.02888;7.5;
83749;04/01/2015;1200;32.6;;60;1015.6;10;3.60108;6.25;
83749;04/01/2015;1800;31.5;;60;1012.6;11;5.1444;2.5;
83749;05/01/2015;0000;24.7;;88;1015.8;14;1.54332;7.5;
83749;05/01/2015;0600;23.8;;96;1014.9;12;1.02888;6.25;
83749;05/01/2015;1200;30.8;;65;1015.9;11;4.11552;5;
83749;05/01/2015;1800;30.9;;63;1015;10;5.1444;8.75;
83749;06/01/2015;0000;25.9;;80;1018;8;2.5722;10;
83749;06/01/2015;0600;25;;88;1016.5;5;2.05776;8.75;
83749;06/01/2015;1200;27.7;;78;1018.9;11;4.11552;10;
83749;06/01/2015;1800;29.4;;70;1016.4;11;6.68772;8.75;
83749;07/01/2015;0000;26.1;;81;1018.2;6;4.62996;0;
83749;07/01/2015;0600;21.8;;96;1016.5;2;1.54332;2.5;
83749;07/01/2015;1200;33.2;;46;1016.4;3;5.65884;2.5;
83749;07/01/2015;1800;30.8;;52;1014.1;10;7.20216;2.5;
83749;08/01/2015;0000;25.4;;73;1015.9;4;4.11552;0;
83749;08/01/2015;0600;23.5;;88;1015.2;6;2.5722;0;
83749;08/01/2015;1200;33;;45;1016.6;6;6.68772;0;
83749;08/01/2015;1800;29.4;;60;1013.2;8;7.20216;0;
83749;09/01/2015;0600;22.8;;89;1014.2;4;1.02888;0;
83749;09/01/2015;1200;34.3;;44;1015.2;3;6.17328;0;
83749;09/01/2015;1800;32.3;;47;1011.7;9;6.68772;0;
83749;10/01/2015;0000;26.5;;72;1014.3;4;7.20216;0;
83749;10/01/2015;0600;24.2;;87;1013.3;4;3.60108;0;
83749;10/01/2015;1200;34.1;;48;1014.7;5;7.7166;0;
83749;10/01/2015;1800;32.2;;48;1011.1;10;5.65884;0;
83749;11/01/2015;0000;26.3;;73;1013.9;5;7.20216;0;
83749;11/01/2015;0600;24.1;;88;1012.2;5;4.11552;0;
83749;11/01/2015;1200;34.2;;52;1013.8;5;2.5722;0;
83749;11/01/2015;1800;30.8;;58;1010.7;12;5.65884;1.25;
83749;12/01/2015;0000;27.3;;70;1013.7;8;5.65884;0;
83749;12/01/2015;0600;23.7;;94;1012.1;6;3.60108;0;
83749;12/01/2015;1200;36.2;;45;1013.1;5;2.5722;0;
83749;12/01/2015;1800;32;;54;1011.2;11;5.1444;1.25;
83749;13/01/2015;0000;27.4;;75;1013;5;3.08664;0;
83749;13/01/2015;0600;25.2;;88;1011.7;7;3.60108;0;
83749;13/01/2015;1200;34.5;;54;1012.8;8;4.62996;0;
83749;13/01/2015;1800;31.4;;53;1010.9;10;5.1444;1.25;
83749;14/01/2015;0000;27.1;;69;1014;4;7.20216;0;
83749;14/01/2015;0600;25.1;;83;1013.2;6;5.1444;0;
83749;14/01/2015;1200;33.1;;52;1015;4;5.65884;0;
83749;14/01/2015;1800;29.9;;60;1012.5;9;7.20216;2.5;
83749;15/01/2015;0000;26.2;;78;1015.1;6;4.62996;0;
83749;15/01/2015;0600;23.7;;94;1012.9;5;3.08664;0;
83749;15/01/2015;1200;34.3;;51;1013.7;4;6.68772;0;
83749;15/01/2015;1800;28.7;;64;1012.5;10;5.1444;10;
83749;16/01/2015;0000;27;;69;1014.9;7;5.1444;6.25;
83749;16/01/2015;0600;24.4;;89;1014.2;7;3.08664;0;
83749;16/01/2015;1200;32.9;;48;1016.8;6;5.1444;0;
83749;16/01/2015;1800;28.9;;62;1013.9;11;7.7166;7.5;
83749;17/01/2015;0600;23.5;;92;1014.1;6;3.08664;0;
83749;17/01/2015;1200;33.7;;50;1014.5;6;6.17328;3.75;
83749;17/01/2015;1800;27.3;;64;1011.2;11;6.68772;3.75;
83749;18/01/2015;0000;26.5;;78;1013.4;4;5.1444;0;
83749;18/01/2015;0600;23.9;;93;1012.2;3;1.54332;0;
83749;18/01/2015;1200;34.5;;51;1013.1;7;4.11552;0;
83749;18/01/2015;1800;32.1;;54;1010.5;9;5.65884;0;
