<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83752</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BARREIRINHA - RJ (OMM: 83752)
Latitude  (graus) : -22.45
Longitude (graus) : -44.83
Altitude  (metros): 756.00
Esta��o Desativada
Inicio de opera��o: 18/09/1952
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83752;01/01/1961;1200;20.2;20.2;100;926.4;18;2;10;
83752;01/01/1961;1800;24.8;23.4;89;925.1;14;2;10;
83752;02/01/1961;0000;21;21;100;925.2;18;2;10;
83752;02/01/1961;1200;20.8;20.6;98;925.8;14;2;10;
83752;02/01/1961;1800;21.6;21.6;100;925.1;5;3;10;
83752;03/01/1961;0000;21;21;100;925;18;2;10;
83752;03/01/1961;1200;24;22.4;87;925.2;18;2;7;
83752;03/01/1961;1800;25.4;23.4;85;923.6;5;3;6;
83752;04/01/1961;0000;21;21;100;924.7;18;3;10;
83752;04/01/1961;1200;21.8;20.8;91;926.6;18;1;10;
83752;04/01/1961;1800;23.6;22;87;924.3;32;2;10;
83752;05/01/1961;0000;20;20;100;924.4;18;2;10;
83752;05/01/1961;1200;20.8;20;93;927.2;18;2;10;
83752;05/01/1961;1800;26.4;24.6;87;926;18;3;10;
83752;06/01/1961;0000;19.4;19.4;100;925.8;18;2;8;
83752;06/01/1961;1200;20.6;20;95;926.2;18;2;10;
83752;06/01/1961;1800;23.8;22.8;91;925;36;2;10;
83752;07/01/1961;0000;23;22;91;924.6;5;10;8;
83752;07/01/1961;1200;20.6;20;95;927.2;5;3;10;
83752;07/01/1961;1800;25.8;24;87;926.2;23;6;9;
83752;08/01/1961;0000;19.6;19;95;927.8;36;3;10;
83752;08/01/1961;1200;21.2;20;89;928.4;18;2;10;
83752;08/01/1961;1800;23.9;22;85;928;27;3;10;
83752;09/01/1961;0000;20;20;100;928.6;18;3;10;
83752;09/01/1961;1200;20.4;19.4;90;930;18;3;8;
83752;09/01/1961;1800;27.8;24.8;78;928.6;5;5;7;
