<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83753</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : VOLTA REDONDA - RJ (OMM: 83753)
Latitude  (graus) : -22.51
Longitude (graus) : -44.1
Altitude  (metros): 417.00
Esta��o Desativada
Inicio de opera��o: 19/04/1941
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83753;01/01/1961;1200;24.7;22.5;82;960;5;3;9;
83753;01/01/1961;1800;28.7;24.3;68;957.2;5;1;8;
83753;02/01/1961;0000;23.2;22.2;91;959.9;18;1;10;
83753;02/01/1961;1200;23.6;22.6;92;959.9;0;0;10;
83753;02/01/1961;1800;26.7;23.7;77;956.6;0;0;10;
83753;03/01/1961;0000;23;22.2;93;957.9;0;0;10;
83753;03/01/1961;1200;24.6;22.7;85;959;0;0;7;
83753;03/01/1961;1800;27.6;23.4;68;956.6;9;5;8;
83753;04/01/1961;0000;22.2;21.1;90;960.2;5;1;10;
83753;04/01/1961;1200;25.9;22.1;72;959.9;9;1;4;
83753;04/01/1961;1800;26.9;23.2;72;957.8;5;3;9;
83753;05/01/1961;0000;22;21.1;92;960.3;0;0;10;
83753;05/01/1961;1200;24.1;22.4;85;961.1;0;0;9;
83753;05/01/1961;1800;25.2;22.1;76;959.2;5;3;10;
83753;06/01/1961;0000;22.2;20.9;88;960.4;0;0;10;
83753;06/01/1961;1200;24.8;22.5;81;960.2;0;0;8;
83753;06/01/1961;1800;31.4;24.7;57;957.1;0;0;8;
83753;07/01/1961;0000;24.5;22.6;84;958.2;0;0;6;
83753;07/01/1961;1200;23.9;21.2;78;961.2;27;5;10;
83753;07/01/1961;1800;26.4;23.2;75;961;18;4;10;
83753;08/01/1961;0000;22.8;21.6;90;962.4;0;0;10;
83753;08/01/1961;1200;24.8;21.9;76;963.9;9;2;10;
83753;08/01/1961;1800;25;22.1;79;963.5;9;4;10;
83753;09/01/1961;0000;23;21.6;88;964.7;0;0;10;
83753;09/01/1961;1200;24.6;22.1;80;963.9;0;0;10;
83753;09/01/1961;1800;29.6;24;62;961.8;0;0;10;
83753;10/01/1961;0000;23.4;21.9;87;962.4;0;0;10;
83753;10/01/1961;1200;24.8;22.4;80;962.3;9;1;10;
83753;10/01/1961;1800;28.6;23.8;66;961.2;18;4;10;
83753;11/01/1961;0000;23.8;20.5;73;962.2;0;0;10;
83753;11/01/1961;1200;23.9;22;84;962.7;0;0;7;
83753;11/01/1961;1800;27.2;22.5;66;961.9;18;3;8;
83753;12/01/1961;0000;22.9;20.9;83;963.8;9;1;5;
83753;12/01/1961;1200;23.8;21.5;81;964.6;0;0;10;
83753;12/01/1961;1800;26.7;21.7;64;964;9;6;10;
83753;13/01/1961;0000;21;19.7;88;965.1;0;0;10;
83753;13/01/1961;1200;24.6;21.1;73;965.9;0;0;10;
83753;13/01/1961;1800;30;23;54;963.5;0;0;6;
83753;14/01/1961;0000;21.8;20.9;92;964.6;0;0;10;
83753;14/01/1961;1200;25.6;22.1;74;965.1;9;2;9;
83753;14/01/1961;1800;23.8;21.5;81;964.4;0;0;10;
83753;15/01/1961;0000;20.2;19.5;93;965.6;0;0;6;
83753;15/01/1961;1200;22.8;19.5;72;965.4;0;0;4;
83753;15/01/1961;1800;30;22.2;49;964.4;0;0;9;
83753;16/01/1961;0000;20;19.5;95;965.2;0;0;10;
83753;16/01/1961;1200;23.8;21.5;81;965.8;0;0;5;
83753;16/01/1961;1800;30.8;21.7;43;964.2;9;5;8;
83753;17/01/1961;0000;23;21.5;87;964.8;0;0;10;
83753;17/01/1961;1200;26.2;21.6;66;967.5;5;2;3;
83753;17/01/1961;1800;33.8;23.8;42;966.3;32;2;5;
83753;18/01/1961;0000;26.2;22.6;74;967.2;0;0;3;
83753;18/01/1961;1200;28.2;23.4;66;967.9;0;0;3;
83753;18/01/1961;1800;33.4;23.7;43;966.4;9;2;8;
83753;19/01/1961;0000;24;21.7;81;969;23;1;3;
83753;19/01/1961;1200;25.6;22.8;78;968.8;0;0;8;
83753;19/01/1961;1800;30.6;24.8;62;967.2;0;0;7;
83753;20/01/1961;0000;20.7;20.1;95;969.5;0;0;10;
83753;20/01/1961;1200;23.4;21.3;82;968.2;0;0;10;
83753;20/01/1961;1800;29.2;23.6;62;965;18;2;10;
83753;21/01/1961;0000;21.9;20.5;88;964.8;0;0;7;
83753;21/01/1961;1200;25.1;21.5;72;965.4;0;0;5;
83753;21/01/1961;1800;31;23.2;50;963.8;18;1;7;
83753;22/01/1961;0000;23.6;21.7;84;963.6;0;0;6;
83753;22/01/1961;1200;26;21.9;69;964.8;0;0;5;
83753;22/01/1961;1800;30;23.4;56;963.8;0;0;10;
83753;23/01/1961;0000;22.4;21.5;92;964.6;0;0;10;
83753;23/01/1961;1200;22.4;21.5;92;965;0;0;10;
83753;23/01/1961;1800;27.4;23.4;70;964.4;0;0;10;
