<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83755</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : RIO DE JANEIRO - DECEA - RJ (OMM: 83755)
Latitude  (graus) : -22.91
Longitude (graus) : -43.16
Altitude  (metros): 3.00
Esta��o Operante
Inicio de opera��o: 01/09/1957
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83755;01/01/2015;0000;27;;85;1013;34;4.62996;10;
83755;01/01/2015;1200;30.4;;67;1010.5;36;3.08664;1.25;
83755;01/01/2015;1800;31.5;;62;1007.1;16;7.20216;1.25;
83755;02/01/2015;0000;29;;75;1009.4;15;4.11552;2.5;
83755;02/01/2015;1200;32.4;;65;1010.5;36;2.5722;3.75;
83755;02/01/2015;1800;31;;64;1008.2;16;7.7166;3.75;
83755;03/01/2015;0000;31.2;;68;1010.7;31;2.05776;5;
83755;03/01/2015;1200;31.4;;66;1014.5;13;2.05776;6.25;
83755;03/01/2015;1800;32.3;;64;1012.8;17;6.68772;6.25;
83755;04/01/2015;0000;26.8;;85;1015.2;17;3.08664;8.75;
83755;04/01/2015;1200;29.2;;78;1015.1;15;2.05776;8.75;
83755;04/01/2015;1800;28.4;;78;1012.5;16;7.20216;6.25;
83755;05/01/2015;0000;26.1;;85;1015.4;12;2.5722;8.75;
83755;05/01/2015;1200;28.3;;77;1015.9;3;2.05776;8.75;
83755;05/01/2015;1800;29.7;;73;1014.4;16;6.68772;7.5;
83755;06/01/2015;0000;23.9;;88;1017.6;7;1.02888;8.75;
83755;06/01/2015;1200;26;;81;1017.7;4;1.54332;8.75;
83755;06/01/2015;1800;30.9;;66;1014.8;16;5.65884;3.75;
83755;07/01/2015;0000;27.5;;73;1015.7;8;4.11552;3.75;
83755;07/01/2015;1200;29.5;;64;1014.8;34;3.08664;0;
83755;07/01/2015;1800;32;;60;1012.1;16;5.65884;1.25;
83755;08/01/2015;0000;28.6;;70;1012.5;13;1.54332;0;
83755;08/01/2015;1200;30.1;;61;1014.7;34;3.08664;0;
83755;08/01/2015;1800;33.5;;47;1011.5;16;5.65884;1.25;
83755;09/01/2015;1200;31.4;;56;1013.4;1;3.08664;0;
83755;09/01/2015;1800;36.6;;;1010.5;15;3.08664;0;
83755;10/01/2015;0000;27.8;;80;1011.5;11;1.54332;0;
83755;10/01/2015;1200;32.6;;49;1013;1;2.5722;0;
