<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83762</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : RIO DOURO - RJ (OMM: 83762)
Latitude  (graus) : -22.61
Longitude (graus) : -43.46
Altitude  (metros): 127.00
Esta��o Desativada
Inicio de opera��o: 01/06/1913
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83762;01/01/1961;1200;26.8;22.6;68;993.1;5;10;10;
83762;01/01/1961;1800;29;23.4;60;990.6;5;6;10;
83762;02/01/1961;0000;23.4;23;96;992.8;0;0;10;
83762;02/01/1961;1200;27.3;23.3;70;991.9;5;2;10;
83762;02/01/1961;1800;30.2;24.7;62;989.1;5;6;10;
83762;03/01/1961;0000;23.8;23.2;95;992.3;0;0;10;
83762;03/01/1961;1200;25.8;24.8;92;993.5;0;0;7;
83762;03/01/1961;1800;25.4;24.2;91;991.4;0;0;10;
83762;04/01/1961;0000;22.2;21.4;92;995.2;0;0;4;
83762;04/01/1961;1200;27.8;23.4;67;993.1;0;0;8;
83762;04/01/1961;1800;26.9;24.3;80;992.2;0;0;10;
83762;05/01/1961;0000;22.8;22.4;97;993.8;0;0;10;
83762;05/01/1961;1200;24.6;23.4;90;996.2;0;0;10;
83762;05/01/1961;1800;23.4;22.8;94;994.2;0;0;10;
83762;06/01/1961;0000;22.6;22.4;98;994.2;0;0;10;
83762;06/01/1961;1200;24.9;23.8;91;994.3;0;0;3;
83762;06/01/1961;1800;33.2;25.6;53;990.4;0;0;3;
83762;07/01/1961;0000;27.4;23.4;70;991;5;2;6;
83762;07/01/1961;1200;25.6;24.8;93;993.8;0;0;10;
83762;07/01/1961;1800;25.5;24.2;90;994.2;0;0;10;
83762;08/01/1961;0000;22.8;22.6;99;997;0;0;10;
83762;08/01/1961;1200;24.6;23;87;997.2;0;0;10;
83762;08/01/1961;1800;24.7;23.6;91;996.6;0;0;10;
83762;09/01/1961;0000;22.6;22.2;97;999.1;0;0;10;
83762;09/01/1961;1200;25;23.6;89;997.1;0;0;10;
83762;09/01/1961;1800;28.2;26;84;1005.4;0;0;4;
83762;10/01/1961;0000;23.2;22.4;93;997.2;0;0;10;
83762;10/01/1961;1200;26.4;24.2;83;995.4;5;2;9;
83762;10/01/1961;1800;27.4;24.8;80;994.3;0;0;10;
83762;11/01/1961;0000;23.6;23.2;97;995.9;0;0;9;
83762;11/01/1961;1200;26.6;24.6;85;997.5;0;0;5;
83762;11/01/1961;1800;26.4;24.6;86;997.2;0;0;10;
83762;12/01/1961;0000;22.6;22.4;98;997.5;0;0;10;
83762;12/01/1961;1200;24.8;24;94;996.8;0;0;10;
83762;12/01/1961;1800;25;24.4;95;997;0;0;10;
83762;13/01/1961;0000;21.4;21.2;98;996.4;0;0;7;
83762;13/01/1961;1200;24.8;22.5;81;999.2;0;0;2;
83762;13/01/1961;1800;30.6;24;56;996;5;1;3;
83762;14/01/1961;0000;22.7;22.4;98;998.7;0;0;10;
83762;14/01/1961;1200;27.2;22.2;63;997.4;5;2;3;
83762;14/01/1961;1800;26.6;22.2;67;996.3;9;4;8;
83762;15/01/1961;0000;22.8;21.6;90;997.2;0;0;0;
83762;15/01/1961;1200;26.6;22.4;68;997.2;0;0;0;
83762;15/01/1961;1800;33;23.6;43;995.4;5;2;0;
83762;16/01/1961;0000;27.2;21.3;57;998;5;1;6;
83762;16/01/1961;1200;29.2;21.8;50;997.8;5;;0;
83762;16/01/1961;1800;33.2;24.2;45;995.5;5;1;4;
83762;17/01/1961;0000;28.8;21.4;49;997.4;5;;0;
83762;17/01/1961;1200;29.2;22;51;1001;5;;1;
83762;17/01/1961;1800;34.6;24.6;42;999;5;2;1;
83762;18/01/1961;0000;25;22.8;82;999.9;0;0;0;
83762;18/01/1961;1200;32;24;49;999.9;5;2;0;
83762;18/01/1961;1800;37.8;27.2;42;998;5;2;4;
83762;19/01/1961;0000;24.8;23;85;1002.8;0;0;0;
83762;19/01/1961;1200;30.4;25.6;67;1000.7;0;0;8;
83762;19/01/1961;1800;31.6;26.6;66;998.3;0;0;5;
83762;20/01/1961;0000;23.8;23;93;1000.8;0;0;10;
83762;20/01/1961;1200;26.1;23.8;81;998.3;0;0;10;
83762;20/01/1961;1800;32.4;25.2;54;998.2;5;1;4;
83762;21/01/1961;0000;23.4;22.8;94;997.4;0;0;7;
83762;21/01/1961;1200;28;22.8;62;998.4;0;0;0;
83762;21/01/1961;1800;33.6;24.4;45;995.2;5;1;4;
