<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83764</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : XEREM - RJ (OMM: 83764)
Latitude  (graus) : -22.58
Longitude (graus) : -43.5
Altitude  (metros): 143.00
Esta��o Desativada
Inicio de opera��o: 05/05/1920
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83764;01/01/1961;1200;25.4;24.4;92;990.3;0;0;10;
83764;01/01/1961;1800;26.4;24.8;87;987.9;0;0;10;
83764;02/01/1961;0000;23.2;22.4;93;990.2;0;0;10;
83764;02/01/1961;1200;26.4;25;89;990.3;0;0;10;
83764;02/01/1961;1800;30.2;27.2;79;986.8;0;0;8;
83764;03/01/1961;0000;23;22.6;97;989;0;0;10;
83764;03/01/1961;1200;28;25.4;80;990;0;0;7;
83764;03/01/1961;1800;23.8;23.4;97;991.1;0;0;10;
83764;04/01/1961;0000;22;21.6;96;991.4;0;0;4;
83764;04/01/1961;1200;27.2;24;76;990.2;0;0;4;
83764;04/01/1961;1800;26.6;25;87;989.4;0;0;10;
83764;05/01/1961;0000;22.4;22;96;991.2;0;0;10;
83764;05/01/1961;1200;25.8;23.6;83;993;0;0;10;
83764;05/01/1961;1800;23.8;22.4;88;991.2;0;0;10;
83764;06/01/1961;0000;22.8;22.4;97;992.4;0;0;10;
83764;06/01/1961;1200;27.8;25.8;84;990.7;0;0;4;
83764;06/01/1961;1800;31.1;27.9;77;989;0;0;7;
83764;07/01/1961;0000;23;22.4;95;989.5;0;0;4;
83764;07/01/1961;1200;26.6;25.4;90;992.3;0;0;10;
83764;07/01/1961;1800;26;25;92;991.4;0;0;10;
83764;08/01/1961;0000;22.8;22.4;97;994.4;0;0;10;
83764;08/01/1961;1200;24.2;23.2;92;995.4;0;0;10;
83764;08/01/1961;1800;24.2;23.4;93;994.3;0;0;10;
83764;09/01/1961;0000;22.5;22;95;995.2;0;0;10;
83764;09/01/1961;1200;25.5;24.1;89;996.2;0;0;10;
83764;09/01/1961;1800;26.8;25.4;89;993.5;0;0;7;
83764;10/01/1961;0000;23;22.5;96;994.8;0;0;10;
83764;10/01/1961;1200;26.2;24.4;86;993.5;0;0;10;
83764;10/01/1961;1800;26.8;25.2;88;991.6;0;0;10;
83764;11/01/1961;0000;23.8;23.2;95;992.7;0;0;10;
83764;11/01/1961;1200;26.4;24.3;83;994.4;0;0;6;
83764;11/01/1961;1800;25.2;23.6;87;993.1;0;0;10;
83764;12/01/1961;0000;21.8;21.4;96;995.8;0;0;8;
83764;12/01/1961;1200;25.8;24.4;89;997.4;0;0;10;
83764;12/01/1961;1800;25.6;24.8;93;996.2;0;0;10;
83764;13/01/1961;0000;21;20.6;96;997.2;0;0;10;
83764;13/01/1961;1200;25.4;23;81;995.5;0;0;4;
83764;13/01/1961;1800;31.4;25.2;59;993.4;0;0;7;
83764;14/01/1961;0000;24;23;91;995.9;0;0;10;
83764;14/01/1961;1200;28.4;24.8;74;995.2;23;2;2;
83764;14/01/1961;1800;30;25.6;69;992.8;0;0;10;
83764;15/01/1961;0000;21.8;21.4;96;995.1;0;0;0;
83764;15/01/1961;1200;27.6;23.3;68;996.2;0;0;0;
83764;15/01/1961;1800;33.4;25.2;49;995.4;0;0;4;
83764;16/01/1961;0000;22.9;21.3;86;997.4;0;0;0;
83764;16/01/1961;1200;29.6;23;55;995;0;0;3;
83764;16/01/1961;1800;28.6;24.6;71;993.6;0;0;9;
83764;17/01/1961;0000;24.2;21.8;80;995.1;0;0;3;
83764;17/01/1961;1200;30.8;24.2;56;997.6;0;0;0;
83764;17/01/1961;1800;37.2;26.6;41;995.4;18;2;0;
83764;18/01/1961;0000;25.4;23.2;83;996.8;0;0;0;
83764;18/01/1961;1200;32.6;26.2;59;999.6;0;0;0;
83764;18/01/1961;1800;27.9;25.6;83;998.4;0;0;6;
83764;19/01/1961;0000;23.6;22.8;93;1000;0;0;0;
83764;19/01/1961;1200;29;25.8;76;997.6;0;0;2;
83764;19/01/1961;1800;32.2;26.8;64;995.6;0;0;10;
83764;20/01/1961;0000;23.4;22.6;93;998.6;0;0;10;
