<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83765</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ARARAS - RJ (OMM: 83765)
Latitude  (graus) : -22.51
Longitude (graus) : -43.18
Altitude  (metros): 820.00
Esta��o Desativada
Inicio de opera��o: 31/01/1943
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83765;01/01/1961;1200;21.2;20;89;;9;5;10;
83765;01/01/1961;1800;21.6;21;95;;0;0;10;
83765;02/01/1961;0000;20.3;20.2;99;;0;0;10;
83765;02/01/1961;1200;21;20.2;93;;36;2;10;
83765;02/01/1961;1800;23.2;22;89;;18;4;10;
83765;03/01/1961;0000;20.6;20.2;97;;0;0;10;
83765;03/01/1961;1200;22;21;91;;27;2;10;
83765;03/01/1961;1800;22.8;22.2;95;;0;0;10;
83765;04/01/1961;0000;20;19.2;93;;0;0;7;
83765;04/01/1961;1200;22.1;20.4;86;;0;0;7;
83765;04/01/1961;1800;20.2;19.2;91;;18;2;10;
83765;05/01/1961;0000;20;19;91;;0;0;10;
83765;05/01/1961;1200;20.6;20.4;98;;0;0;10;
83765;05/01/1961;1800;22.4;21;88;;0;0;10;
83765;06/01/1961;0000;20.2;20;98;;0;0;10;
83765;06/01/1961;1200;21.6;20;87;;18;7;10;
83765;06/01/1961;1800;25.4;22.4;77;;18;2;10;
83765;07/01/1961;0000;22.4;20.4;84;;27;2;10;
83765;07/01/1961;1200;24.2;22.2;85;;18;2;10;
83765;07/01/1961;1800;22.4;21.6;93;;0;0;10;
83765;08/01/1961;0000;20.2;19.6;94;;0;0;10;
83765;08/01/1961;1200;22.8;21.4;88;;0;0;10;
83765;08/01/1961;1800;24;21;76;;9;2;10;
83765;09/01/1961;0000;20;19.6;96;;0;0;10;
83765;09/01/1961;1200;24;21.8;82;;0;0;10;
83765;09/01/1961;1800;24.8;22.4;81;;36;2;10;
83765;10/01/1961;0000;21;20.2;93;;0;0;7;
83765;10/01/1961;1200;24.6;22.4;83;;36;1;5;
83765;10/01/1961;1800;24.2;21.2;77;;0;0;10;
83765;11/01/1961;0000;21;17;66;;0;0;;
83765;11/01/1961;1200;24;21;76;;5;2;7;
83765;11/01/1961;1800;23.4;20.2;75;;0;0;7;
83765;12/01/1961;0000;20.6;19.6;91;;0;0;6;
83765;12/01/1961;1200;23.4;21;81;;0;0;10;
83765;12/01/1961;1800;20.2;19;89;;0;0;10;
83765;13/01/1961;0000;19.4;19.2;98;;0;0;10;
83765;13/01/1961;1200;20;19;91;;9;1;10;
83765;13/01/1961;1800;25.2;20.6;66;;18;1;7;
83765;14/01/1961;0000;21.2;20;89;;0;0;10;
83765;14/01/1961;1200;21.6;19.2;80;;27;4;10;
83765;14/01/1961;1800;27;21.6;61;;27;2;10;
83765;15/01/1961;0000;17.2;16.2;90;;0;0;7;
83765;15/01/1961;1200;21.4;18.2;73;;27;5;10;
83765;15/01/1961;1800;27.6;21.2;55;;9;2;5;
83765;16/01/1961;0000;19.6;18.2;87;;27;1;0;
83765;16/01/1961;1200;23.6;20;72;;9;6;10;
83765;16/01/1961;1800;26;21.4;65;;27;2;5;
83765;17/01/1961;0000;20;18;82;;18;1;0;
83765;17/01/1961;1200;23.4;20.2;75;;9;4;5;
83765;17/01/1961;1800;28;21.6;56;;18;2;5;
83765;18/01/1961;0000;20.2;19.2;91;;0;0;;
83765;18/01/1961;1200;26;21;63;;0;0;8;
83765;18/01/1961;1800;24;22;84;;0;0;10;
83765;19/01/1961;0000;20.2;19.2;91;;0;0;0;
83765;19/01/1961;1200;25.4;21.4;69;;27;7;4;
83765;19/01/1961;1800;22.2;20;82;;18;2;10;
83765;20/01/1961;0000;20.2;20;98;;0;0;10;
