<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83768</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : LONDRINA - AEROPORTO - PR (OMM: 83768)
Latitude  (graus) : -23.33
Longitude (graus) : -51.13
Altitude  (metros): 569.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83768;01/01/2015;0000;22.8;;91;946.7;0;;8.75;
83768;01/01/2015;0600;21.7;;95;946.4;25;0.51444;7.5;
83768;01/01/2015;1200;28.1;;72;948.7;36;2.5722;8.75;
83768;01/01/2015;1800;30.8;;50;945.4;31;6.17328;7.5;
83768;02/01/2015;0000;24.9;;74;946.1;26;1.02888;2.5;
83768;02/01/2015;0600;22.2;;87;946.2;23;1.02888;3.75;
83768;02/01/2015;1200;28.9;;61;948.6;32;5.1444;6.25;
83768;02/01/2015;1800;30.6;;61;947.3;26;7.7166;8.75;
83768;03/01/2015;0000;27.8;;65;948.3;29;4.11552;2.5;
83768;03/01/2015;0600;23.7;;87;948.2;14;1.02888;7.5;
83768;03/01/2015;1200;25.6;;78;950.8;13;1.02888;3.75;
83768;03/01/2015;1800;28.8;;63;948.5;11;4.11552;8.75;
83768;04/01/2015;0000;24.6;;83;950;5;2.5722;5;
83768;04/01/2015;0600;22.8;;94;949.6;13;1.54332;7.5;
83768;04/01/2015;1200;22.9;;95;952.8;16;2.05776;8.75;
83768;04/01/2015;1800;20.8;;99;951.9;17;1.54332;10;
83768;05/01/2015;0000;20.6;;99;949.5;20;3.08664;10;
83768;05/01/2015;0600;20.2;;99;949.3;31;1.02888;8.75;
83768;05/01/2015;1200;24.9;;81;951.8;13;3.60108;6.25;
83768;05/01/2015;1800;30.4;;52;949.3;4;3.08664;6.25;
83768;06/01/2015;0000;28.1;;65;948.9;14;1.54332;6.25;
83768;06/01/2015;0600;21.5;;98;950.3;9;3.08664;10;
83768;06/01/2015;1200;23.5;;80;952.7;7;3.60108;8.75;
83768;06/01/2015;1800;27.4;;65;950.8;2;2.05776;8.75;
83768;07/01/2015;0000;25.8;;83;949.8;7;2.05776;6.25;
83768;07/01/2015;0600;22.5;;91;949.5;25;1.02888;7.5;
83768;07/01/2015;1200;25.8;;74;950.9;10;2.5722;8.75;
83768;07/01/2015;1800;28.7;;62;948.4;1;6.17328;2.5;
83768;08/01/2015;0000;23;;84;949.5;15;2.5722;6.25;
83768;08/01/2015;0600;22.3;;91;950;11;1.54332;5;
83768;08/01/2015;1200;23.7;;83;951.4;20;1.02888;8.75;
83768;08/01/2015;1800;30.6;;60;948.8;1;3.08664;8.75;
83768;09/01/2015;0600;22.5;;84;950.2;21;3.60108;8.75;
83768;09/01/2015;1200;24.6;;80;951;18;2.05776;8.75;
83768;09/01/2015;1800;32.5;;50;949.1;32;5.1444;7.5;
83768;10/01/2015;0000;25.1;;79;950;0;;0;
83768;10/01/2015;0600;22.9;;88;949.1;0;;0;
83768;10/01/2015;1200;26.7;;75;951.5;20;1.02888;3.75;
83768;10/01/2015;1800;31.9;;53;948.4;1;3.08664;3.75;
83768;11/01/2015;0000;27.8;;72;949.1;20;3.08664;7.5;
83768;11/01/2015;0600;23.4;;75;948.6;20;2.5722;0;
83768;11/01/2015;1200;27.7;;67;950.7;8;3.60108;3.75;
83768;11/01/2015;1800;;;54;948.8;11;2.05776;3.75;
83768;12/01/2015;0000;24.5;;67;949.3;25;2.5722;3.75;
83768;12/01/2015;0600;23.9;;74;949.1;31;1.54332;5;
83768;12/01/2015;1200;28.1;;67;950.6;18;2.05776;6.25;
83768;12/01/2015;1800;;;39;948.3;10;3.60108;7.5;
83768;13/01/2015;0000;29.4;;60;948.7;24;1.54332;0;
83768;13/01/2015;0600;25.3;;76;948.3;0;;0;
83768;13/01/2015;1200;28.5;;65;950.4;7;1.54332;1.25;
83768;13/01/2015;1800;33.4;;52;947.3;5;3.08664;5;
83768;14/01/2015;0000;25.3;;65;948.7;6;6.17328;8.75;
83768;14/01/2015;0600;22.9;;82;948.1;23;2.05776;5;
83768;14/01/2015;1200;;;89;951.9;25;9.77436;8.75;
83768;14/01/2015;1800;26.5;;56;949;8;3.08664;8.75;
83768;15/01/2015;0000;25.2;;77;950.4;23;2.5722;6.25;
83768;15/01/2015;0600;22;;88;949.7;26;2.05776;0;
83768;15/01/2015;1200;26.8;;67;951.7;20;0.51444;2.5;
83768;15/01/2015;1800;34.1;;39;949.6;16;2.05776;3.75;
83768;16/01/2015;0000;28.4;;59;949.4;23;1.54332;0;
83768;16/01/2015;0600;25;;69;950.6;0;;0;
