<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83769</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JACAREZINHO - PR (OMM: 83769)
Latitude  (graus) : -23.15
Longitude (graus) : -49.96
Altitude  (metros): 470.69
Esta��o Desativada
Inicio de opera��o: 21/04/1941
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83769;01/01/1961;0000;23.2;;91;952.7;0;0;10;
83769;01/01/1961;1200;22.2;20.8;87;953.8;0;0;10;
83769;01/01/1961;1800;24.6;23.2;89;951.2;0;0;10;
83769;02/01/1961;0000;21.7;20.9;93;951.5;0;0;10;
83769;02/01/1961;1200;23.8;21.7;83;952;14;3;10;
83769;02/01/1961;1800;29.4;24;63;949.9;14;1.9;5;
83769;03/01/1961;0000;24.7;23;86;951;0;0;0;
83769;03/01/1961;1200;25.9;23.1;78;953;14;1.2;7;
83769;03/01/1961;1800;33.8;25.8;52;949.8;0;0;5;
83769;04/01/1961;0000;25.9;24.3;87;950.3;0;0;3;
83769;04/01/1961;1200;26.1;22.6;74;952.6;0;0;8;
83769;04/01/1961;1800;32.8;25.6;56;950.7;14;1.3;4;
83769;05/01/1961;0000;25.6;24.2;89;953.6;0;0;3;
83769;05/01/1961;1200;25.8;22.6;75;953.9;14;1.5;10;
83769;05/01/1961;1800;31.7;24.9;56;950.8;0;0;9;
83769;06/01/1961;0000;24.5;22.6;84;951.4;0;0;0;
83769;06/01/1961;1200;23.7;21.9;84;952.7;0;0;10;
83769;06/01/1961;1800;21.9;21.1;93;950.7;0;0;10;
83769;07/01/1961;0000;21.8;21;93;952.4;0;0;10;
83769;07/01/1961;1200;24.4;22.3;82;954.3;14;1.3;9;
83769;07/01/1961;1800;27.1;23.5;72;953.4;0;0;10;
83769;08/01/1961;0000;22.6;20.8;84;954.8;0;0;10;
83769;08/01/1961;1200;22.8;20;76;956.4;14;1.5;8;
83769;08/01/1961;1800;26.4;22.6;72;954.6;14;1.3;10;
83769;09/01/1961;0000;24;21.8;81;955.4;0;0;8;
83769;09/01/1961;1200;23.9;21.2;78;955.9;14;1.8;8;
83769;09/01/1961;1800;32.8;26.4;60;953.5;0;0;8;
83769;10/01/1961;0000;26.3;23.6;79;953;14;1.3;7;
83769;10/01/1961;1200;28.3;23.7;67;955.8;14;1.4;7;
83769;10/01/1961;1800;32.8;26.4;60;952.6;14;1.5;8;
83769;11/01/1961;0000;22.3;21.4;92;954.3;0;0;10;
83769;11/01/1961;1200;26.3;23.3;76;955.5;14;2;7;
83769;11/01/1961;1800;27.7;23.8;71;954;9;1.3;5;
83769;12/01/1961;0000;24.8;23.3;88;955.2;0;0;6;
83769;12/01/1961;1200;26.3;21.1;62;957.1;14;1.5;4;
83769;12/01/1961;1800;32.3;24.6;52;954.7;9;1.3;6;
83769;13/01/1961;0000;26.2;21;62;955.2;14;3.8;7;
83769;13/01/1961;1200;25.2;21.4;71;958.2;5;2.9;7;
83769;13/01/1961;1800;31.8;24.3;53;954.7;0;0;5;
83769;14/01/1961;0000;26.5;23;74;954.8;0;0;6;
83769;14/01/1961;1200;26.2;22.7;74;957.1;5;1.5;7;
83769;14/01/1961;1800;31.7;24.5;54;955;5;1.5;6;
83769;15/01/1961;0000;25.7;23.5;82;954.3;0;0;0;
83769;15/01/1961;1200;27.8;23.9;70;956.8;0;0;7;
83769;15/01/1961;1800;32.2;25.1;56;954.7;32;2;5;
83769;16/01/1961;0000;26.2;23.6;80;954.8;0;0;4;
83769;16/01/1961;1200;27.9;23.5;68;957.5;32;2;4;
83769;16/01/1961;1800;32.7;25.1;53;954.4;0;0;4;
83769;17/01/1961;0000;25.2;23.2;84;955.4;0;0;4;
83769;17/01/1961;1200;27;23.3;72;959.6;14;1.2;7;
83769;17/01/1961;1800;33.9;25;47;956.7;5;1.5;4;
83769;18/01/1961;0000;25.7;23.2;80;959.2;14;1.3;9;
83769;18/01/1961;1200;25.2;23;82;960.7;0;0;9;
83769;18/01/1961;1800;25.4;22.2;75;959.6;32;1.8;10;
83769;19/01/1961;0000;23.6;22;86;960.7;0;0;8;
83769;19/01/1961;1200;28.4;23.6;67;961.8;5;1.3;7;
83769;19/01/1961;1800;32.4;26.6;63;959.2;0;0;7;
83769;20/01/1961;0000;26.2;22.9;75;959.2;0;0;10;
83769;20/01/1961;1200;27.8;24.2;73;959.9;0;0;7;
83769;20/01/1961;1800;31.7;25.2;58;956.4;32;1.2;6;
83769;21/01/1961;0000;21.6;21.1;96;957.9;0;0;10;
83769;21/01/1961;1200;24.9;23.3;87;958.8;0;0;10;
83769;21/01/1961;1800;34.2;26.5;54;955;0;0;4;
83769;22/01/1961;0000;26.6;24.2;82;955.2;0;0;0;
83769;22/01/1961;1200;28.9;23.5;63;957.8;14;1.3;4;
83769;22/01/1961;1800;32.8;25.9;57;955.1;0;0;10;
83769;23/01/1961;0000;26.1;23.8;81;956.4;0;0;10;
83769;23/01/1961;1200;27.2;22.6;67;958;14;2;4;
83769;23/01/1961;1800;31.5;24.7;56;954.8;14;1.8;5;
83769;24/01/1961;0000;25;21.7;74;956.7;0;0;5;
83769;24/01/1961;1200;25.1;20.7;66;959;14;1.8;3;
83769;24/01/1961;1800;34.4;24.8;44;954.8;14;1.5;5;
83769;25/01/1961;0000;25.2;21.9;74;955.2;0;0;0;
83769;25/01/1961;1200;26.9;21.7;63;957.4;14;2;7;
83769;25/01/1961;1800;34;24.8;46;954.7;0;0;7;
83769;26/01/1961;0000;25.1;21.4;71;955.9;14;1.3;7;
83769;26/01/1961;1200;25.3;21;67;958.2;14;1.5;6;
83769;26/01/1961;1800;30.4;22;46;955.5;14;1.8;7;
83769;27/01/1961;0000;21.4;17.7;69;958.3;14;3.8;9;
83769;27/01/1961;1200;22;18;67;959.9;14;7.6;10;
83769;27/01/1961;1800;23.6;18.9;63;959.1;14;3.8;9;
83769;28/01/1961;0000;19.5;16.4;72;959.1;14;2.9;10;
83769;28/01/1961;1200;18.3;17.1;88;959.9;14;2.6;10;
83769;28/01/1961;1800;20.1;19.3;92;959.1;0;0;10;
83769;29/01/1961;0000;18;16.9;89;960.2;0;0;10;
83769;29/01/1961;1200;21.7;19.5;80;959.9;0;0;10;
83769;29/01/1961;1800;28.9;23.1;61;956.8;14;1.2;6;
83769;30/01/1961;0000;23.1;21.4;85;957.5;0;0;8;
83769;30/01/1961;1200;22.7;21;85;959;0;0;10;
83769;30/01/1961;1800;31;21.9;42;956;0;0;4;
83769;31/01/1961;0000;22.9;20.6;81;956.4;0;0;3;
83769;31/01/1961;1200;28.2;23.5;67;958;0;0;0;
83769;31/01/1961;1800;32.8;23.9;46;954.7;0;0;7;
83769;01/02/1961;0000;24.4;22.2;82;955.6;0;0;0;
83769;01/02/1961;1200;27.6;22.9;66;958.7;0;0;4;
83769;01/02/1961;1800;32.8;24.4;49;955.2;0;0;7;
83769;02/02/1961;0000;25;22;76;956.6;0;0;3;
83769;02/02/1961;1200;28.8;23.8;65;959.2;0;0;0;
83769;02/02/1961;1800;33.8;25;48;956.2;0;0;6;
83769;03/02/1961;0000;26.6;23.4;75;957.5;0;0;8;
83769;03/02/1961;1200;28.4;23.6;67;960.2;0;0;0;
83769;03/02/1961;1800;28.9;23;60;958.7;32;3.4;10;
83769;04/02/1961;0000;23.5;20.6;76;959;0;0;10;
83769;04/02/1961;1200;25.8;22.4;73;960.6;0;0;5;
83769;04/02/1961;1800;33.9;25;47;956.4;0;0;4;
83769;05/02/1961;0000;22;21.2;93;957.5;0;0;10;
83769;05/02/1961;1200;21;20.4;94;958;0;0;10;
83769;05/02/1961;1800;27.8;23.7;69;956.8;0;0;7;
83769;06/02/1961;0000;24;22.8;89;957;0;0;7;
83769;06/02/1961;1200;26.3;22.4;71;958.6;0;0;8;
83769;06/02/1961;1800;32.9;24.8;50;956.8;32;1.3;5;
83769;07/02/1961;0000;23.6;22.4;90;959.1;0;0;10;
83769;07/02/1961;1200;25.4;23;81;961.9;0;0;3;
83769;07/02/1961;1800;34.4;25.2;46;958.7;0;0;6;
83769;08/02/1961;0000;26.2;23.8;81;959.8;0;0;0;
83769;08/02/1961;1200;26.5;23.5;76;961.5;0;0;8;
83769;08/02/1961;1800;36.2;26.4;45;957.8;0;0;7;
83769;09/02/1961;0000;25.4;23.6;86;959.6;0;0;8;
83769;09/02/1961;1200;27.4;23.2;69;959.8;0;0;6;
83769;09/02/1961;1800;32;26.5;63;956.6;0;0;6;
83769;10/02/1961;0000;23.6;22.2;88;958.8;9;1.3;10;
83769;10/02/1961;1200;24.3;21.5;77;959.9;0;0;8;
83769;10/02/1961;1800;33.8;25;48;955.5;0;0;3;
83769;11/02/1961;0000;27;23.6;74;955.9;0;0;7;
83769;11/02/1961;1200;26;23;76;957.5;0;0;10;
83769;11/02/1961;1800;33.8;25.2;49;953.1;0;0;7;
83769;12/02/1961;0000;26.5;23.3;75;953.6;0;0;8;
83769;12/02/1961;1200;24.5;22.3;81;954.3;0;0;10;
83769;12/02/1961;1800;33;25.5;54;951.4;0;0;7;
83769;13/02/1961;0000;23;21.6;88;953.4;0;0;10;
83769;13/02/1961;1200;26.6;21.6;63;955;14;2.4;5;
83769;13/02/1961;1800;32.5;23.1;43;952.8;0;0;4;
83769;14/02/1961;0000;25.4;21.4;69;954.7;0;0;8;
83769;14/02/1961;1200;26;20.2;58;959.5;14;2.5;0;
83769;14/02/1961;1800;32.8;22.3;38;957.9;14;2.9;4;
83769;15/02/1961;0000;23.2;18;59;960.3;14;2.9;0;
83769;15/02/1961;1200;24.1;19.3;62;962.3;14;3;0;
83769;15/02/1961;1800;29.7;21.3;45;959.4;14;3.3;10;
83769;16/02/1961;0000;22;18.3;69;961;0;0;10;
83769;16/02/1961;1200;24.8;20.4;65;960.3;14;3.4;10;
83769;16/02/1961;1800;29.5;23.1;57;957.5;14;2;7;
83769;17/02/1961;0000;22.2;20.4;84;958.2;0;0;10;
83769;17/02/1961;1200;21.7;20.4;88;959.6;0;0;10;
83769;17/02/1961;1800;30.6;23.3;53;956.3;0;0;7;
83769;18/02/1961;0000;23.7;21.8;83;957.4;0;0;10;
83769;18/02/1961;1200;24.4;21.4;75;959.6;0;0;10;
83769;18/02/1961;1800;27.6;24;73;956.4;0;0;7;
83769;19/02/1961;0000;23;21.4;86;958;0;0;8;
83769;19/02/1961;1200;24.8;22;77;958.2;0;0;9;
83769;19/02/1961;1800;29.2;24;64;954.8;0;0;6;
83769;20/02/1961;0000;24;21.4;78;956.4;0;0;6;
83769;20/02/1961;1200;26.3;22.2;70;957.1;0;0;7;
83769;20/02/1961;1800;31.5;24.2;53;953.8;0;0;5;
83769;21/02/1961;0000;22.8;22.2;95;955.1;0;0;10;
83769;21/02/1961;1200;22.9;21.4;87;957.1;0;0;10;
83769;21/02/1961;1800;29.8;23.9;60;953.9;0;0;7;
83769;22/02/1961;0000;25.6;23.5;83;954.4;0;0;7;
83769;22/02/1961;1200;24.8;22.5;81;957.5;9;1.4;10;
83769;22/02/1961;1800;27.9;24;71;955;0;0;10;
83769;23/02/1961;0000;24.1;22.7;88;955.8;0;0;10;
83769;23/02/1961;1200;20.7;20.3;96;957.9;0;0;10;
83769;23/02/1961;1800;26.3;23.5;78;955.6;0;0;10;
83769;24/02/1961;0000;23;22.4;95;956.8;0;0;10;
83769;24/02/1961;1200;22.4;21.8;94;957.8;0;0;10;
83769;24/02/1961;1800;25.6;23;82;954.4;0;0;10;
83769;25/02/1961;0000;22.6;21.4;89;955.4;0;0;10;
83769;25/02/1961;1200;22;21.6;96;957.6;0;0;10;
83769;25/02/1961;1800;25.3;23.8;88;955.2;0;0;10;
83769;26/02/1961;0000;23.8;23;93;957.6;0;0;10;
83769;26/02/1961;1200;23;22.6;97;958.2;0;0;10;
83769;26/02/1961;1800;23.9;23.2;94;956;0;0;10;
83769;27/02/1961;0000;23.2;22.7;96;957.2;0;0;10;
83769;27/02/1961;1200;22.6;22.1;96;960;0;0;10;
83769;27/02/1961;1800;23.7;22.6;91;957.2;0;0;10;
83769;28/02/1961;0000;22.8;22.4;97;959.8;0;0;10;
83769;28/02/1961;1200;20.8;20.5;97;960;14;1.3;10;
83769;28/02/1961;1800;25.7;22.6;76;958.8;0;0;10;
83769;01/03/1961;0000;21.4;19.4;82;960.3;0;0;8;
83769;01/03/1961;1200;21.6;19.9;85;960.8;0;0;10;
83769;01/03/1961;1800;26;21.8;68;958.4;9;1.6;10;
83769;02/03/1961;0000;21.8;19.9;83;959;14;1.5;6;
83769;02/03/1961;1200;24.2;19.7;66;960;14;1.9;4;
83769;02/03/1961;1800;30.4;24.1;59;957.2;0;0;4;
83769;03/03/1961;0000;22.2;19.4;76;958.6;0;0;0;
83769;03/03/1961;1200;24.8;20;63;959.8;0;0;0;
83769;03/03/1961;1800;32.4;24.8;53;955.8;0;0;5;
83769;04/03/1961;0000;25;22.9;83;956.2;0;0;0;
83769;04/03/1961;1200;28.2;22.2;58;958.2;0;0;3;
83769;04/03/1961;1800;33.4;22.7;38;954.6;5;1.4;7;
83769;05/03/1961;0000;25;22.4;79;956.7;0;0;10;
83769;05/03/1961;1200;25.1;22.8;81;957.6;0;0;10;
83769;05/03/1961;1800;30.4;23.4;54;955;0;0;9;
83769;06/03/1961;0000;25;21;69;957.2;0;0;10;
83769;06/03/1961;1200;21;18.2;76;960.8;14;3.3;10;
83769;06/03/1961;1800;24;20.5;72;959.1;14;1.5;10;
83769;07/03/1961;0000;21.2;18.9;79;959.5;14;3;10;
83769;07/03/1961;1200;21.7;19.2;78;959.8;14;2.9;10;
83769;07/03/1961;1800;24.6;21.6;76;957;14;2.5;10;
83769;08/03/1961;0000;22.3;20.2;82;956.7;14;2;10;
83769;08/03/1961;1200;24.3;21;73;957.6;0;0;10;
83769;08/03/1961;1800;29.2;23.4;60;953.9;0;0;10;
