<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83774</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ITAPEVA - SP (OMM: 83774)
Latitude  (graus) : -23.95
Longitude (graus) : -48.88
Altitude  (metros): 707.00
Esta��o Desativada
Inicio de opera��o: 01/09/1969
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83774;01/01/1961;1200;20;19.6;96;934.2;14;3;10;
83774;01/01/1961;1800;24.9;21.4;73;932.3;14;3;10;
83774;02/01/1961;0000;21.2;20.8;96;933.2;18;1;10;
83774;02/01/1961;1200;20.6;20.2;97;933;0;0;9;
83774;02/01/1961;1800;24.4;21.8;78;932;32;3;10;
83774;03/01/1961;0000;21;19.9;90;933.1;0;0;10;
83774;03/01/1961;1200;22.2;20.8;87;934.3;0;0;10;
83774;03/01/1961;1800;29.7;22.8;54;932.8;0;0;6;
83774;04/01/1961;0000;22.4;20.8;86;933;0;0;3;
83774;04/01/1961;1200;20.6;18.2;78;934.7;0;0;10;
83774;04/01/1961;1800;28;22.6;62;932.4;14;3;9;
83774;05/01/1961;0000;21.4;19.8;85;933.9;0;0;0;
83774;05/01/1961;1200;22;18.8;72;935.4;14;1;4;
83774;05/01/1961;1800;29.4;22.2;52;933.2;14;3;6;
83774;06/01/1961;0000;22.2;20;81;933.5;0;0;0;
83774;06/01/1961;1200;21;19.8;89;933.4;14;1;10;
83774;06/01/1961;1800;25;22;76;931.5;23;5;10;
83774;07/01/1961;0000;20.8;19.9;92;933.5;0;0;10;
83774;07/01/1961;1200;20;19.6;96;935.4;0;0;10;
83774;07/01/1961;1800;24.4;19.8;65;935.1;14;3;10;
83774;08/01/1961;0000;19.2;17.4;82;936.2;14;1;10;
83774;08/01/1961;1200;17.4;16.8;94;937;14;5;10;
83774;08/01/1961;1800;25;20.8;68;935.6;14;7;10;
83774;09/01/1961;0000;19.4;18;86;936.7;14;5;10;
83774;09/01/1961;1200;22;19.4;77;936.3;14;3;7;
83774;09/01/1961;1800;27;22.4;66;935.5;14;3;10;
83774;10/01/1961;0000;21.2;19.8;87;936.3;0;0;10;
83774;10/01/1961;1200;23.6;21.4;81;936.3;14;1;2;
83774;10/01/1961;1800;30;23;54;934;0;0;10;
83774;11/01/1961;0000;22.2;20;81;935.9;0;0;10;
83774;11/01/1961;1200;23.8;21;74;936.2;14;5;5;
83774;11/01/1961;1800;27.8;22;59;935.5;14;5;7;
83774;12/01/1961;0000;21.4;18.8;77;937.8;14;3;0;
83774;12/01/1961;1200;22.4;18.2;66;937.9;32;3;8;
83774;12/01/1961;1800;29.6;21.2;46;935.8;14;3;4;
83774;13/01/1961;0000;21;18.8;80;938;5;3;0;
83774;13/01/1961;1200;24;20.4;71;938.4;14;3;4;
83774;13/01/1961;1800;29.7;21.5;46;935.8;14;3;6;
83774;14/01/1961;0000;22.4;20;79;937.1;0;0;0;
83774;14/01/1961;1200;22.2;20.6;86;938.1;0;0;10;
83774;14/01/1961;1800;30.8;22.2;46;935.8;14;1;7;
83774;15/01/1961;0000;24;21.1;77;936.7;14;3;10;
83774;15/01/1961;1200;23.2;21.2;83;937.5;0;0;10;
83774;15/01/1961;1800;31;23.4;51;934.2;0;0;9;
83774;16/01/1961;0000;22.2;18.8;71;937.1;14;3;10;
83774;16/01/1961;1200;23;21.4;86;937.4;0;0;5;
83774;16/01/1961;1800;29.8;22;49;935.6;0;0;7;
83774;17/01/1961;0000;24.2;20;68;937;0;0;10;
83774;17/01/1961;1200;23;21.4;86;938.7;0;0;8;
83774;17/01/1961;1800;30;22.4;50;937.9;14;3;10;
83774;18/01/1961;0000;24;21.8;81;939.8;0;0;10;
83774;18/01/1961;1200;22;21;91;940.3;0;0;9;
83774;18/01/1961;1800;23.6;22;86;939.4;5;3;10;
83774;19/01/1961;0000;21.2;20.2;91;940.6;0;0;10;
83774;19/01/1961;1200;21;20.2;93;941.6;0;0;10;
83774;19/01/1961;1800;25.1;22.8;81;940.6;0;0;10;
83774;20/01/1961;0000;22;20;82;940.4;0;0;10;
83774;20/01/1961;1200;20.8;20.2;95;940.2;0;0;6;
