<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83775</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GUAIRA - PR (OMM: 83775)
Latitude  (graus) : -24.08
Longitude (graus) : -54.25
Altitude  (metros): 230.11
Esta��o Fechada
Inicio de opera��o: 01/06/1962
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83775;01/02/1963;1200;24.4;22.2;82;982;5;4.1;8;
83775;01/02/1963;1800;29;24;64;978.7;36;2.1;8;
83775;02/02/1963;0000;23;21;83;979.8;23;1.5;3;
83775;02/02/1963;1200;25.4;22.6;78;980.8;36;3.1;4;
83775;02/02/1963;1800;29.8;23.9;59;977.6;36;1;7;
83775;03/02/1963;0000;22.9;21.7;90;978.8;0;0;4;
83775;03/02/1963;1200;30.6;25.8;67;984.2;5;5.1;8;
83775;03/02/1963;1800;31.4;25.5;61;979.5;32;1;7;
83775;04/02/1963;0000;22.8;21.8;91;980;0;0;4;
83775;04/02/1963;1200;24.8;23.4;89;983.1;9;1.5;8;
83775;04/02/1963;1800;30.4;25.2;64;979.8;0;0;4;
83775;05/02/1963;0000;24.9;22.9;84;980;23;1.5;8;
83775;05/02/1963;1200;25.3;23.4;85;981;23;1.5;8;
83775;05/02/1963;1800;27.3;24.6;80;978.6;0;0;7;
83775;06/02/1963;0000;25.8;24;86;979.2;0;0;2;
83775;06/02/1963;1200;24.2;22.1;83;982.2;14;3.1;3;
83775;06/02/1963;1800;31.8;24.6;54;979.8;23;1.5;4;
83775;07/02/1963;0000;24;21.5;79;979.9;0;0;1;
83775;07/02/1963;1200;24;21.2;77;983.4;5;6.7;3;
83775;07/02/1963;1800;29.9;23.6;57;981.1;36;2.3;5;
83775;08/02/1963;0000;24.1;22;82;980;0;0;1;
83775;08/02/1963;1200;23.2;20;74;985.2;5;5.7;7;
83775;08/02/1963;1800;30.1;22.8;51;981.9;5;3.1;3;
83775;09/02/1963;0000;23.6;22.8;93;980.6;0;0;1;
83775;09/02/1963;1200;23.2;19.8;71;984.7;5;5.1;3;
83775;09/02/1963;1800;29.6;22.2;50;981.5;5;3.1;2;
83775;10/02/1963;0000;23.4;21.2;82;980.2;0;0;0;
83775;10/02/1963;1200;23;19.5;71;983.1;9;6.2;7;
83775;10/02/1963;1800;31.2;22.4;44;980.2;5;2.6;7;
83775;11/02/1963;0000;23.5;21.4;82;979.2;0;0;8;
83775;11/02/1963;1200;23.2;20.2;75;981.1;9;5.1;10;
83775;11/02/1963;1800;28.9;23.6;63;979.9;32;1;10;
83775;12/02/1963;0000;25.4;22.8;79;979.9;0;0;8;
83775;12/02/1963;1200;24.4;22.1;81;981.8;9;3.1;10;
83775;12/02/1963;1800;31.8;24.8;55;979.8;5;1;8;
83775;13/02/1963;0000;24.8;23.1;86;980.8;0;0;8;
83775;13/02/1963;1200;24.8;22.5;81;982;9;2.6;8;
83775;13/02/1963;1800;33;25;50;979.6;5;1;8;
83775;14/02/1963;0000;25.8;23.6;83;979.4;0;0;4;
83775;14/02/1963;1200;26.4;23.1;75;982;9;6.2;10;
83775;14/02/1963;1800;32.7;25.3;53;979.4;36;2.6;8;
83775;15/02/1963;0000;26.9;24.2;80;979;0;0;4;
83775;15/02/1963;1200;26.7;23;72;981.5;9;3.1;9;
83775;15/02/1963;1800;32.4;25.5;56;977.9;36;2.6;7;
83775;16/02/1963;0000;24.7;21.9;77;981;9;6.7;10;
83775;16/02/1963;1200;24.6;22.7;85;982.3;9;3.6;10;
83775;16/02/1963;1800;30.8;25.3;63;980.7;9;1.5;7;
83775;17/02/1963;0000;25.1;23.4;86;980.8;0;0;4;
83775;17/02/1963;1200;25.6;23.7;85;982.8;5;3.1;9;
83775;17/02/1963;1800;25.6;24.1;88;981.4;23;2.1;8;
83775;18/02/1963;0000;24.7;23.5;90;982;9;2.6;10;
83775;18/02/1963;1200;26.2;23.8;81;983.5;5;3.6;6;
83775;18/02/1963;1800;22.6;22.6;100;981.2;0;0;10;
83775;19/02/1963;0000;23.5;23.2;97;980.8;0;0;10;
83775;19/02/1963;1200;25.4;23.6;86;983.4;5;2.6;9;
83775;19/02/1963;1800;32.8;25.4;53;979.5;27;5.1;10;
83775;20/02/1963;0000;26.9;24.1;79;980.6;18;6.7;3;
83775;20/02/1963;1200;25.8;23.8;84;982.2;23;2.6;9;
83775;20/02/1963;1800;29.8;25.6;70;979.4;23;3.6;9;
83775;21/02/1963;0000;23;22.9;99;980;0;0;8;
83775;21/02/1963;1200;22.2;20.9;88;982.7;23;3.6;9;
83775;21/02/1963;1800;29;21.4;48;980;23;4.6;8;
83775;22/02/1963;0000;21.2;19.8;87;980.6;23;1;3;
83775;22/02/1963;1200;23.2;20.3;76;983.2;9;6.2;9;
83775;22/02/1963;1800;25.7;21.5;67;981.9;9;3.1;10;
83775;23/02/1963;0000;22.2;20.8;87;981.9;5;3.1;10;
83775;23/02/1963;1200;21.9;20.4;87;984;9;2.6;10;
83775;23/02/1963;1800;23.2;22.4;93;981;14;3.1;10;
83775;24/02/1963;0000;23.5;21.9;86;981.1;14;2.1;8;
83775;24/02/1963;1200;22.4;22.2;98;984.6;9;1;10;
83775;24/02/1963;1800;24.1;23.4;94;981.5;18;1;9;
83775;25/02/1963;0000;23.7;23.4;97;982;18;1;9;
83775;25/02/1963;1200;23.8;22.1;86;984.4;9;3.1;9;
83775;25/02/1963;1800;25.8;24.1;87;982.2;23;1.5;8;
83775;26/02/1963;0000;21.7;21.7;100;983.4;0;0;10;
83775;26/02/1963;1200;24.4;22.6;85;984.7;9;1;9;
83775;26/02/1963;1800;30.4;25.2;64;981.5;36;1;6;
83775;27/02/1963;0000;22.8;22.8;100;984.3;27;2.1;10;
83775;27/02/1963;1200;23.8;23.2;95;985.1;5;2.6;9;
83775;27/02/1963;1800;28.8;25.3;74;982.3;5;2.1;8;
83775;28/02/1963;0000;23.4;23.1;97;983;36;1;10;
83775;28/02/1963;1200;24.6;24;95;984.8;9;0.5;9;
83775;28/02/1963;1800;27;25.4;87;980.7;18;1.5;10;
83775;01/03/1963;0000;24;23.5;96;981.5;0;0;10;
83775;01/03/1963;1200;24.8;23.9;93;983.1;36;1;9;
83775;01/03/1963;1800;28.8;24.6;70;981.8;18;3.1;10;
83775;02/03/1963;0000;23.6;23;95;981.9;0;0;4;
83775;02/03/1963;1200;24.8;23.8;92;983.1;32;1;9;
83775;02/03/1963;1800;31;25.2;61;980.7;5;1;7;
83775;03/03/1963;0000;23.3;22.4;92;981.4;5;1;3;
83775;03/03/1963;1200;25.9;23.6;82;984;32;1.5;8;
83775;03/03/1963;1800;30.8;25.7;65;981.2;0;0;4;
83775;04/03/1963;0000;24.4;22.3;82;982.3;23;4.6;10;
83775;04/03/1963;1200;24.8;22.8;83;983.6;5;1.5;8;
83775;04/03/1963;1800;31.8;26;62;981.9;32;1.5;7;
83775;05/03/1963;0000;22.1;22;99;982.2;0;0;7;
83775;05/03/1963;1200;24.1;23.3;93;983.6;5;3.6;4;
83775;05/03/1963;1800;31.1;25.5;62;980.3;9;1;6;
83775;06/03/1963;0000;25.5;23.8;86;980.2;0;0;;
83775;06/03/1963;1200;26.5;23.9;79;982.8;5;4.1;3;
83775;06/03/1963;1800;31.6;25.4;59;981.9;5;4.6;4;
83775;07/03/1963;0000;24.3;23.2;91;983.2;36;1;3;
83775;07/03/1963;1200;26.9;24.6;83;985;9;2.6;8;
83775;07/03/1963;1800;33.4;25.2;49;982.6;36;0.5;4;
83775;08/03/1963;0000;26.6;24.8;86;981.6;0;0;4;
83775;08/03/1963;1200;27.2;24.6;81;983.1;36;4.1;7;
83775;08/03/1963;1800;31.9;26.2;62;980.3;5;2.1;7;
83775;09/03/1963;0000;23.4;22.8;94;983.8;5;3.1;10;
83775;09/03/1963;1200;24.4;22.4;83;983.6;5;3.1;10;
83775;09/03/1963;1800;25.6;24.8;93;983.6;0;0;10;
83775;10/03/1963;0000;21.1;21.1;100;984.4;5;1.5;10;
83775;10/03/1963;1200;21.9;21.7;98;984.6;14;2.1;10;
