<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83777</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TIETE - SP (OMM: 83777)
Latitude  (graus) : -23.11
Longitude (graus) : -47.71
Altitude  (metros): 538.00
Esta��o Fechada
Inicio de opera��o: 01/01/1939
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83777;01/01/1961;1200;22.5;21.4;90;947.9;32;1;10;
83777;01/01/1961;1800;27.1;23;69;945.2;32;1;10;
83777;02/01/1961;0000;22;21.6;96;946.8;32;1;10;
83777;02/01/1961;1200;22.4;21.8;94;946.6;32;3;10;
83777;02/01/1961;1800;25.4;22.8;79;944.6;32;5;10;
83777;03/01/1961;0000;21.8;21.4;96;946.2;32;1;10;
83777;03/01/1961;1200;23.7;22.3;88;947.2;32;1;8;
83777;03/01/1961;1800;30.6;23.5;54;945.2;32;1;4;
83777;04/01/1961;0000;25.5;22.3;74;945.4;14;1;4;
83777;04/01/1961;1200;24.9;21.7;75;947;36;1;7;
83777;04/01/1961;1800;29.2;23.9;63;945.1;36;1;8;
83777;05/01/1961;0000;24.1;22.2;84;946.6;14;1;10;
83777;05/01/1961;1200;25.2;21.9;74;948.4;9;1;8;
83777;05/01/1961;1800;30.1;23.6;57;945.6;32;1;8;
83777;06/01/1961;0000;23.2;20.7;79;946.7;14;3;0;
83777;06/01/1961;1200;24.5;22.6;84;947.1;32;1;10;
83777;06/01/1961;1800;28.7;24;67;944.3;32;1;10;
83777;07/01/1961;0000;22.2;21.4;92;945.5;32;1;10;
83777;07/01/1961;1200;23;21.4;86;949;14;1;10;
83777;07/01/1961;1800;26.8;22.4;66;947.6;14;1;10;
83777;08/01/1961;0000;21.4;19;79;949.4;14;1;8;
83777;08/01/1961;1200;22.5;20.1;79;950.2;32;1;9;
83777;08/01/1961;1800;25.1;22;75;948.7;23;3;10;
83777;09/01/1961;0000;22.2;19.8;79;950.2;14;3;10;
83777;09/01/1961;1200;24.8;22;77;950;18;1;10;
83777;09/01/1961;1800;30.8;24.5;59;947.4;23;1;7;
83777;10/01/1961;0000;24.2;21.8;80;947.9;14;3;10;
83777;10/01/1961;1200;23.8;21.9;84;949.8;32;1;9;
83777;10/01/1961;1800;30.7;24.7;60;947;23;1;8;
83777;11/01/1961;0000;25.3;23.2;84;948.3;14;1;7;
83777;11/01/1961;1200;24.7;21.7;76;949.5;14;3;9;
83777;11/01/1961;1800;30.7;23.6;54;948.2;14;1;7;
83777;12/01/1961;0000;22.8;19.8;74;949.5;14;3;2;
83777;12/01/1961;1200;25.3;20.8;66;950.6;14;3;0;
83777;12/01/1961;1800;31.2;23.5;51;947.2;14;1;7;
83777;13/01/1961;0000;23.2;20.4;76;950.4;14;3;2;
83777;13/01/1961;1200;24.9;20.5;67;950.8;5;1;3;
83777;13/01/1961;1800;29.1;23.3;60;949.6;36;3;9;
83777;14/01/1961;0000;24.5;21.9;78;949.2;36;3;5;
83777;14/01/1961;1200;24;21.9;82;951.6;32;1;6;
83777;14/01/1961;1800;30.4;23.9;57;949.6;32;1;7;
83777;15/01/1961;0000;25.3;22.1;75;949;5;1;3;
83777;15/01/1961;1200;24.7;21.9;77;950.6;5;1;6;
83777;15/01/1961;1800;32;24.2;51;949;32;1;8;
83777;16/01/1961;0000;25.9;22.7;75;949.9;5;1;4;
83777;16/01/1961;1200;25.8;22;71;951.5;32;3;4;
83777;16/01/1961;1800;31.1;23.5;51;949;32;3;6;
83777;17/01/1961;0000;24;21.9;82;950.2;32;1;3;
83777;17/01/1961;1200;26;22;70;953.6;32;1;7;
83777;17/01/1961;1800;25.8;21.9;70;952.6;5;1;9;
83777;18/01/1961;0000;22.8;20.7;83;953.4;0;0;3;
83777;18/01/1961;1200;25.9;22.6;75;955.1;32;1;2;
83777;18/01/1961;1800;32.8;24.6;50;952.8;32;3;5;
83777;19/01/1961;0000;22.7;21.1;86;954.2;5;1;5;
83777;19/01/1961;1200;25.6;22.5;76;955.1;5;1;8;
83777;19/01/1961;1800;31.6;24.6;56;952.8;32;1;7;
83777;20/01/1961;0000;23.7;21.8;83;953.4;0;0;5;
83777;20/01/1961;1200;24.4;22.2;82;954.3;5;1;7;
83777;20/01/1961;1800;29.6;24.3;64;951.6;32;1;8;
83777;21/01/1961;0000;22.4;21.3;90;951.5;5;1;3;
83777;21/01/1961;1200;23.3;22;89;953;32;1;10;
83777;21/01/1961;1800;31.4;23.6;51;948.7;23;1;5;
83777;22/01/1961;0000;26;20.9;62;949.2;14;1;3;
83777;22/01/1961;1200;25.8;23.2;80;949.2;5;1;9;
83777;22/01/1961;1800;33;24.8;50;948;32;1;6;
83777;23/01/1961;0000;22.3;21.2;91;950.4;14;3;10;
83777;23/01/1961;1200;23.1;21.5;86;952;14;1;10;
83777;23/01/1961;1800;29.3;23.5;60;950.4;23;3;7;
83777;24/01/1961;0000;22.9;20.6;81;951;14;3;6;
83777;24/01/1961;1200;25.2;21.6;73;953.1;23;3;3;
83777;24/01/1961;1800;31.3;24;53;950.6;18;3;4;
83777;25/01/1961;0000;23.7;21.2;79;950.2;18;3;0;
83777;25/01/1961;1200;24.1;21.3;76;950.4;5;3;8;
83777;25/01/1961;1800;30.5;24.1;58;948.2;23;1;9;
83777;26/01/1961;0000;22.3;19.4;75;950.4;14;3;4;
83777;26/01/1961;1200;22;19.6;79;951.8;23;3;10;
83777;26/01/1961;1800;26.6;20.5;56;949.6;14;3;10;
83777;27/01/1961;0000;20.2;17.7;77;951.8;14;3;3;
83777;27/01/1961;1200;21;17.7;72;953.2;14;5;10;
83777;27/01/1961;1800;23.2;17.5;55;952.7;14;5;10;
83777;28/01/1961;0000;18.6;16.5;80;953.8;14;3;10;
83777;28/01/1961;1200;19.5;17.8;83;952.8;14;3;10;
83777;28/01/1961;1800;23.7;20;71;951.6;14;3;10;
83777;29/01/1961;0000;19.3;18.8;95;952.6;14;1;10;
83777;29/01/1961;1200;20.1;19.2;92;951.9;32;1;10;
83777;29/01/1961;1800;26.9;23;71;951.1;32;1;8;
83777;30/01/1961;0000;20.2;19.8;96;950.7;32;1;10;
83777;30/01/1961;1200;22.1;21;90;952.3;32;1;9;
83777;30/01/1961;1800;29.2;22.5;55;948.8;32;1;8;
83777;31/01/1961;0000;22.8;20.8;83;950;32;1;5;
83777;31/01/1961;1200;25;22.3;78;952.4;32;1;2;
83777;31/01/1961;1800;32.1;23.1;45;949.1;27;1;3;
83777;01/02/1961;0000;23.2;21;81;951.2;36;1;9;
83777;01/02/1961;1200;26;22.5;73;952.8;32;1;1;
83777;01/02/1961;1800;31.9;23.7;48;949.5;32;3;4;
83777;02/02/1961;0000;23;19.8;73;951.1;9;1;6;
83777;02/02/1961;1200;25.7;22.4;74;953.2;36;1;0;
83777;02/02/1961;1800;33.5;24.2;45;950.6;36;3;4;
83777;03/02/1961;0000;26.7;23;72;952;32;1;10;
83777;03/02/1961;1200;24.8;21.5;73;954.7;36;1;4;
83777;03/02/1961;1800;32.6;23.3;44;952.3;32;1;3;
83777;04/02/1961;0000;21.1;19.9;89;954;14;3;10;
83777;04/02/1961;1200;23.1;21.5;86;954.7;5;1;9;
83777;04/02/1961;1800;29.8;24.2;62;951.5;14;1;8;
83777;05/02/1961;0000;23.5;20.5;75;951.6;14;3;3;
83777;05/02/1961;1200;22.1;20.4;85;952.8;5;1;9;
83777;05/02/1961;1800;27.5;23.2;68;951.4;32;1;10;
83777;06/02/1961;0000;22.3;21;89;951.5;5;1;10;
83777;06/02/1961;1200;24.7;22.4;81;953.5;36;1;7;
83777;06/02/1961;1800;31.6;24.3;54;951.5;5;3;7;
83777;07/02/1961;0000;21;20.5;95;953;5;1;10;
83777;07/02/1961;1200;24.7;22.1;79;955.4;5;1;2;
83777;07/02/1961;1800;33.1;24.2;47;953;32;1;3;
83777;08/02/1961;0000;26;22.8;75;953.1;0;0;6;
83777;08/02/1961;1200;26.4;22.7;73;955.4;32;1;2;
83777;08/02/1961;1800;33.5;24.6;47;952;32;1;4;
83777;09/02/1961;0000;23.9;21.7;82;953.6;14;1;10;
83777;09/02/1961;1200;26.1;22.7;73;954.4;36;1;4;
83777;09/02/1961;1800;31.8;23.8;50;951.5;23;1;6;
83777;10/02/1961;0000;23.2;21.1;82;952.4;14;1;2;
83777;10/02/1961;1200;25.7;22.3;73;953.1;36;1;6;
83777;10/02/1961;1800;31.7;23.9;50;950.2;23;1;6;
83777;11/02/1961;0000;23.8;21.4;80;950.3;14;1;6;
83777;11/02/1961;1200;24.6;22.6;84;950.8;32;1;9;
83777;11/02/1961;1800;29.3;23.3;59;947.2;32;1;8;
83777;12/02/1961;0000;23.6;22.8;93;948.3;23;1;10;
83777;12/02/1961;1200;22.8;21.9;92;948.3;32;1;10;
83777;12/02/1961;1800;27;23.6;74;946.4;32;1;10;
83777;13/02/1961;0000;21.1;20.7;96;948;5;1;10;
83777;13/02/1961;1200;20.5;19.8;93;949;14;1;10;
83777;13/02/1961;1800;23.6;21.5;82;948.3;5;1;8;
83777;14/02/1961;0000;21.1;19.6;86;949.4;5;1;2;
83777;14/02/1961;1200;22.4;19;71;952.2;14;3;3;
83777;14/02/1961;1800;28;20.3;48;951.9;14;3;5;
83777;15/02/1961;0000;20;17.6;78;954.3;14;3;0;
83777;15/02/1961;1200;22.7;18.3;64;956.2;14;3;1;
83777;15/02/1961;1800;26.1;21.5;65;954.8;14;1;10;
83777;16/02/1961;0000;20.4;18.8;85;954.7;14;3;5;
83777;16/02/1961;1200;21.4;19.4;82;955.1;9;1;9;
83777;16/02/1961;1800;26.6;22.2;67;953.1;14;3;9;
83777;17/02/1961;0000;20.4;19.6;92;952.6;14;1;3;
83777;17/02/1961;1200;21.9;20.6;89;954.3;5;1;10;
83777;17/02/1961;1800;22.5;21.3;89;952.2;27;1;10;
83777;18/02/1961;0000;21.6;20.7;92;952;32;1;10;
83777;18/02/1961;1200;20.7;20;94;954.4;32;1;10;
83777;18/02/1961;1800;24.9;21.9;76;952.2;5;1;9;
83777;19/02/1961;0000;20.3;19.8;95;952.3;14;1;10;
83777;19/02/1961;1200;22.4;20.8;86;952;5;1;10;
83777;19/02/1961;1800;25.6;22.2;74;950;14;1;10;
83777;20/02/1961;0000;22.4;21.4;91;949.9;5;1;10;
83777;20/02/1961;1200;23.9;20.9;75;952;32;1;3;
83777;20/02/1961;1800;29.3;23.1;58;949.1;32;1;4;
83777;21/02/1961;0000;24;21.3;77;949.4;14;3;7;
83777;21/02/1961;1200;24.7;21.9;77;951.9;5;3;5;
83777;21/02/1961;1800;28.9;23.1;61;949.4;27;3;5;
83777;22/02/1961;0000;22.6;21.2;88;949.8;14;3;10;
83777;22/02/1961;1200;25.3;22.9;81;952.2;36;1;7;
83777;22/02/1961;1800;26.5;22.9;73;950;32;1;9;
83777;23/02/1961;0000;22.4;21.5;92;950.6;14;3;10;
83777;23/02/1961;1200;22.9;21.7;90;952.6;5;5;10;
83777;23/02/1961;1800;21.6;21;95;951.6;32;1;10;
83777;24/02/1961;0000;21.8;20.7;91;951.8;5;1;10;
83777;24/02/1961;1200;21.9;20.5;88;953;5;3;10;
83777;24/02/1961;1800;26.3;22.8;73;950.3;32;3;9;
83777;25/02/1961;0000;22.4;20.6;85;949.8;0;0;3;
83777;25/02/1961;1200;24.4;21.4;75;952.2;32;1;5;
83777;25/02/1961;1800;29.3;23.4;59;949.5;32;3;8;
83777;26/02/1961;0000;24.1;22.2;84;950.2;32;1;3;
83777;26/02/1961;1200;25.4;22.7;79;951.5;32;1;9;
83777;26/02/1961;1800;26.8;23.8;76;948.6;32;1;10;
