<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83778</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GUARULHOS - AEROPORTO - SP (OMM: 83778)
Latitude  (graus) : -23.43
Longitude (graus) : -46.47
Altitude  (metros): 750.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83778;01/01/2015;0000;25.4;;68;930;31;1.54332;6.25;
83778;01/01/2015;0600;22.4;;85;928.3;7;2.05776;6.25;
83778;01/01/2015;1200;28.3;;61;929.7;34;3.60108;2.5;
83778;01/01/2015;1800;31;;53;927.5;31;5.1444;7.5;
83778;02/01/2015;0000;24.1;;77;929.9;30;1.54332;6.25;
83778;02/01/2015;0600;23.5;;82;927.2;16;1.54332;7.5;
83778;02/01/2015;1200;28.8;;60;930.5;31;3.60108;8.75;
83778;02/01/2015;1800;33.2;;49;927.6;30;5.1444;8.75;
83778;03/01/2015;0000;23.2;;93;931.4;23;0.51444;8.75;
83778;03/01/2015;0600;22.3;;93;929.7;15;1.54332;8.75;
83778;03/01/2015;1200;26.4;;77;932.2;6;2.05776;6.25;
83778;03/01/2015;1800;23.2;;96;930.5;18;3.08664;8.75;
83778;04/01/2015;0000;22.2;;94;932.9;11;2.5722;10;
83778;04/01/2015;0600;20.7;;100;930.9;18;1.02888;5;
83778;04/01/2015;1200;24.2;;83;933.6;33;1.54332;10;
83778;04/01/2015;1800;27.3;;63;931.3;29;4.62996;10;
83778;05/01/2015;0000;22.3;;83;932.6;13;2.05776;10;
83778;05/01/2015;0600;20.8;;96;930.9;7;2.5722;10;
83778;05/01/2015;1200;24.1;;80;933.3;7;3.08664;10;
83778;05/01/2015;1800;19.3;;99;932.1;19;5.1444;8.75;
83778;06/01/2015;0000;21.3;;95;933.2;7;3.08664;10;
83778;06/01/2015;0600;19.3;;97;932.4;18;1.02888;8.75;
83778;06/01/2015;1200;22.7;;83;934.6;7;3.60108;6.25;
83778;06/01/2015;1800;29.4;;53;931.6;32;3.60108;6.25;
83778;07/01/2015;0000;21.7;;86;932.9;4;2.5722;6.25;
83778;07/01/2015;0600;18.3;;100;931.5;0;0;3.75;
83778;07/01/2015;1200;25.4;;76;932.3;7;2.05776;0;
83778;07/01/2015;1800;30.8;;46;928.9;20;1.54332;6.25;
83778;08/01/2015;0000;20.5;;92;931.9;17;1.54332;7.5;
83778;08/01/2015;0600;17;;100;931.8;0;0;0;
83778;08/01/2015;1200;26;;71;932.5;7;1.54332;0;
83778;08/01/2015;1800;31.9;;43;929.7;30;2.5722;6.25;
83778;09/01/2015;0600;20;;98;930.2;0;0;0;
83778;09/01/2015;1200;28.2;;62;931.7;1;3.08664;0;
83778;09/01/2015;1800;33.4;;43;929.2;32;3.08664;6.25;
83778;10/01/2015;0000;27;;74;930.1;0;0;3.75;
83778;10/01/2015;0600;23.1;;90;929.6;9;1.02888;0;
83778;10/01/2015;1200;29.6;;58;932.1;27;2.05776;0;
83778;10/01/2015;1800;;;38;929;31;3.60108;6.25;
83778;11/01/2015;0000;24.8;;77;931.4;14;1.02888;8.75;
83778;11/01/2015;0600;22.6;;88;930.4;0;0;0;
83778;11/01/2015;1200;28.1;;67;931.3;8;3.60108;0;
83778;11/01/2015;1800;;;44;929;29;4.11552;6.25;
83778;12/01/2015;0000;23.6;;86;931.6;8;2.5722;10;
83778;12/01/2015;0600;20.1;;97;929.8;0;0;0;
83778;12/01/2015;1200;26.2;;68;932.4;29;3.08664;8.75;
83778;12/01/2015;1800;32.8;;42;928.6;32;2.05776;7.5;
83778;13/01/2015;0000;20.3;;93;930.7;0;0;3.75;
83778;13/01/2015;0600;20.2;;88;930.1;18;1.54332;3.75;
83778;13/01/2015;1200;27.2;;57;933.1;35;1.02888;0;
83778;13/01/2015;1800;33.3;;42;928.7;32;2.5722;3.75;
83778;14/01/2015;0000;22.8;;82;930.7;6;1.54332;7.5;
83778;14/01/2015;0600;21.3;;100;930;0;0;3.75;
83778;14/01/2015;1200;22.5;;85;933.2;10;2.05776;10;
