<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83782</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTOS - SP (OMM: 83782)
Latitude  (graus) : -23.93
Longitude (graus) : -46.33
Altitude  (metros): 13.51
Esta��o Desativada
Inicio de opera��o: 01/01/1909
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83782;01/01/1961;1200;25.9;24.6;90;1004.7;0;0;10;
83782;01/01/1961;1800;27.6;24.9;79;1002;14;1.2;9;
83782;02/01/1961;0000;24.5;23.1;88;1004.6;0;0;10;
83782;02/01/1961;1200;26;24;84;1004;0;0;10;
83782;02/01/1961;1800;24;23.5;96;1003.1;27;3;10;
83782;03/01/1961;0000;23.6;23.1;96;1004;0;0;9;
83782;03/01/1961;1200;26.8;22.6;68;1005.5;27;1.3;2;
83782;03/01/1961;1800;27.1;23.8;74;1004.7;18;2.2;4;
83782;04/01/1961;0000;24.6;23.2;89;1005.8;0;0;4;
83782;04/01/1961;1200;26.2;23.5;79;1006.6;0;0;10;
83782;04/01/1961;1800;26.1;23.3;77;1004.7;14;1.2;10;
83782;05/01/1961;0000;24.6;23.2;89;1006.8;0;0;3;
83782;05/01/1961;1200;23.2;23;98;1008.3;0;0;10;
83782;05/01/1961;1800;24.4;23.4;92;1006.7;0;0;10;
83782;06/01/1961;0000;24.3;23.1;90;1007.5;0;0;8;
83782;06/01/1961;1200;26.8;23.9;77;1005;14;2;7;
83782;06/01/1961;1800;29.1;25.7;75;1001.6;9;2.5;9;
83782;07/01/1961;0000;26.4;25;89;1001.8;0;0;9;
83782;07/01/1961;1200;24.2;22.8;88;1008.7;27;2.7;10;
83782;07/01/1961;1800;23.8;22.8;91;1008.7;23;4.1;10;
83782;08/01/1961;0000;24.5;22.4;82;1010.6;18;3.5;10;
83782;08/01/1961;1200;23;22.7;98;1010.7;0;0;10;
83782;08/01/1961;1800;23.4;22.6;93;1009.9;18;3.7;10;
83782;09/01/1961;0000;23.4;22.8;94;1010.6;0;0;10;
83782;09/01/1961;1200;24.8;24.4;97;1010.3;0;0;10;
83782;09/01/1961;1800;26.4;24;81;1008.3;14;6.6;10;
83782;10/01/1961;0000;25.1;23.8;89;1008.4;9;6.6;9;
83782;10/01/1961;1200;26.2;24.5;87;1008.7;0;0;6;
83782;10/01/1961;1800;26.4;24.2;83;1007.4;14;3;10;
83782;11/01/1961;0000;25.4;23.9;88;1008.3;0;0;9;
83782;11/01/1961;1200;26.4;23.6;78;1009.5;14;3.5;8;
83782;11/01/1961;1800;26.8;23.8;76;1009.4;14;5.5;8;
83782;12/01/1961;0000;25.2;23.4;85;1010.4;0;0;8;
83782;12/01/1961;1200;26.8;24.2;80;1011.1;14;2;9;
83782;12/01/1961;1800;27.2;24.6;81;1009.6;14;4.1;9;
83782;13/01/1961;0000;26;24;84;1011;9;7.1;8;
83782;13/01/1961;1200;28.7;24;66;1011.1;0;0;4;
83782;13/01/1961;1800;27.8;24.8;77;1008.7;9;3;4;
83782;14/01/1961;0000;26.6;24;80;1009.9;9;2.8;2;
83782;14/01/1961;1200;28.9;23.7;63;1010.3;0;0;2;
83782;14/01/1961;1800;27.8;24;71;1008.8;14;2.2;8;
83782;15/01/1961;0000;26;24.6;89;1009.2;0;0;1;
83782;15/01/1961;1200;28.8;25.1;73;1009.5;0;0;3;
83782;15/01/1961;1800;28.5;24.8;73;1008.2;14;4.1;5;
83782;16/01/1961;0000;25.8;23.6;83;1009.5;5;1.5;2;
83782;16/01/1961;1200;29.4;23.8;61;1009.5;0;0;5;
83782;16/01/1961;1800;30.1;23.6;56;1007.5;9;2.4;5;
83782;17/01/1961;0000;27.2;23.7;74;1008.6;0;0;4;
83782;17/01/1961;1200;31.8;23.2;46;1010.7;36;5.2;6;
83782;17/01/1961;1800;31;24;54;1009.1;14;7.1;2;
83782;18/01/1961;0000;26.2;24.2;85;1010.4;0;0;1;
83782;18/01/1961;1200;30.6;24.5;59;1012.3;0;0;8;
83782;18/01/1961;1800;29.3;26.2;77;1011.5;18;2;9;
83782;19/01/1961;0000;23;22.6;97;1014.6;0;0;10;
83782;19/01/1961;1200;28.6;25.2;75;1014;0;0;4;
83782;19/01/1961;1800;27.7;25.6;84;1011.8;14;1.2;10;
83782;20/01/1961;0000;26.7;25.5;90;1012.2;0;0;10;
83782;20/01/1961;1200;29.4;24;62;1011.2;27;1.5;2;
83782;20/01/1961;1800;28.2;25.4;79;1009.8;14;4.8;5;
83782;21/01/1961;0000;26.6;24.8;86;1010.3;0;0;4;
83782;21/01/1961;1200;28.5;24.5;71;1010.8;27;1.4;4;
83782;21/01/1961;1800;28.7;25.4;75;1007.9;14;2.5;4;
83782;22/01/1961;0000;26.9;24.9;84;1009;0;0;4;
83782;22/01/1961;1200;28.5;25;74;1009.6;27;1.2;4;
83782;22/01/1961;1800;27.8;24.6;76;1008.6;18;4.1;9;
83782;23/01/1961;0000;25.7;24.8;92;1010;0;0;7;
83782;23/01/1961;1200;28.3;24.8;74;1010.7;14;4.8;10;
83782;23/01/1961;1800;23.4;23;96;1010.2;0;0;10;
83782;24/01/1961;0000;25;23.6;89;1010.8;14;4.8;10;
83782;24/01/1961;1200;23.2;23;98;1011.9;0;0;10;
83782;24/01/1961;1800;27.2;24.4;79;1009.6;27;2;6;
83782;25/01/1961;0000;25.4;23.8;87;1010.6;9;3.3;9;
83782;25/01/1961;1200;27.2;24.4;79;1010.6;0;0;8;
83782;25/01/1961;1800;26.6;24;80;1009.6;14;1.2;10;
83782;26/01/1961;0000;26.3;23.7;80;1010.7;14;7.6;9;
83782;26/01/1961;1200;26.2;22;68;1011.4;14;5.8;6;
83782;26/01/1961;1800;26.4;21.2;61;1011.1;9;5;9;
83782;27/01/1961;0000;22;21.6;96;1012.6;14;9.1;10;
83782;27/01/1961;1200;24.3;20.7;71;1014.2;14;9.1;10;
83782;27/01/1961;1800;24.5;20.3;66;1013.6;14;7.6;10;
83782;28/01/1961;0000;22.2;20.8;87;1014.8;9;5.2;10;
83782;28/01/1961;1200;23;21.4;86;1013.4;0;0;10;
83782;28/01/1961;1800;21.5;21;95;1012.3;0;0;10;
83782;29/01/1961;0000;21.3;21;97;1013.4;0;0;10;
83782;29/01/1961;1200;22.7;22.1;95;1011.9;27;1.4;10;
83782;29/01/1961;1800;24.6;23;87;1010.6;23;3.3;10;
83782;30/01/1961;0000;23.4;23;96;1011.6;0;0;10;
83782;30/01/1961;1200;25.1;23.6;88;1011.1;0;0;7;
83782;30/01/1961;1800;26.4;23.8;79;1009.8;18;1.5;9;
83782;31/01/1961;0000;24.8;23.6;91;1010.3;0;0;8;
83782;31/01/1961;1200;27.4;23.2;69;1011.5;27;1.2;2;
83782;31/01/1961;1800;26.6;24.3;82;1009.1;14;1.5;6;
83782;01/02/1961;0000;25.3;24.2;92;1010.7;0;0;9;
83782;01/02/1961;1200;28.4;25.3;77;1010.8;0;0;2;
83782;01/02/1961;1800;29.5;25.2;69;1008.8;9;3.6;4;
83782;02/02/1961;0000;25.8;24.4;89;1010.3;0;0;8;
83782;02/02/1961;1200;28.8;24.5;69;1011.5;0;0;0;
83782;02/02/1961;1800;29.7;25.7;72;1008.8;14;1.7;4;
83782;03/02/1961;0000;28.6;22.4;56;1010.3;36;3.3;6;
83782;03/02/1961;1200;28.2;24.2;71;1013.1;23;1.2;6;
83782;03/02/1961;1800;27.8;25.2;80;1012.4;23;2.6;10;
83782;04/02/1961;0000;26.8;24.7;84;1013.8;0;0;10;
83782;04/02/1961;1200;26.2;24.6;88;1014;0;0;10;
83782;04/02/1961;1800;28;24.6;75;1011.4;18;2.2;8;
83782;05/02/1961;0000;25;24.2;94;1012.3;0;0;6;
83782;05/02/1961;1200;27;24.1;78;1010.8;0;0;9;
83782;05/02/1961;1800;29;24.9;70;1009.1;18;2.7;9;
83782;06/02/1961;0000;25.4;23.8;87;1010.6;0;0;10;
83782;06/02/1961;1200;28.4;24;69;1010.8;0;0;6;
83782;06/02/1961;1800;28.6;25.1;74;1010.3;14;1.2;8;
83782;07/02/1961;0000;26;24.2;86;1010.8;0;0;9;
83782;07/02/1961;1200;29.6;25.7;72;1012.7;0;0;2;
83782;07/02/1961;1800;29.4;25.8;74;1010.8;14;4.8;3;
83782;08/02/1961;0000;27.6;26.5;91;1012;0;0;5;
83782;08/02/1961;1200;28.2;24.9;75;1013.6;27;2;9;
83782;08/02/1961;1800;28.3;25.4;78;1011.6;18;2.5;9;
83782;09/02/1961;0000;27.5;25.2;82;1013.8;0;0;3;
83782;09/02/1961;1200;25.4;24.4;92;1013.2;0;0;10;
83782;09/02/1961;1800;25.4;24.2;91;1012;23;1.2;10;
83782;10/02/1961;0000;23.7;23.2;96;1012.8;0;0;10;
83782;10/02/1961;1200;24.9;23.7;91;1013.1;0;0;10;
83782;10/02/1961;1800;27.1;24.4;79;1010.7;9;6.2;9;
83782;11/02/1961;0000;26.2;24;83;1010.7;9;8.3;9;
83782;11/02/1961;1200;27.5;24.8;79;1009;0;0;9;
83782;11/02/1961;1800;28.1;24.6;74;1005.1;14;1.7;9;
83782;12/02/1961;0000;26.2;25;90;1005.6;0;0;8;
