<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83783</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMPO MOURAO - PR (OMM: 83783)
Latitude  (graus) : -24.05
Longitude (graus) : -52.36
Altitude  (metros): 616.40
Esta��o Operante
Inicio de opera��o: 02/04/1958
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83783;02/01/1961;1200;24.1;22.1;83;939;27;1.3;8;
83783;02/01/1961;1800;31.5;23.9;51;937.1;23;3;6;
83783;03/01/1961;0000;24.3;22.8;87;936.8;0;0;1;
83783;03/01/1961;1200;22.7;22;94;939;0;0;8;
83783;03/01/1961;1800;30.8;24.4;58;937.2;36;2;6;
83783;04/01/1961;0000;25;22.9;83;936.6;0;0;2;
83783;04/01/1961;1200;24.1;20.5;71;939.2;14;4;0;
83783;04/01/1961;1800;31.5;24.4;54;938;32;1;6;
83783;05/01/1961;0000;26.8;22.9;70;936.2;0;0;3;
83783;05/01/1961;1200;24.6;22.1;80;940.8;9;5;8;
83783;05/01/1961;1800;29.2;24.2;66;937.5;5;4;7;
83783;06/01/1961;0000;24.7;22.5;82;936;5;1;7;
83783;06/01/1961;1200;22.5;21;87;937.8;32;7;10;
83783;06/01/1961;1800;23.9;21.4;79;936.7;23;4;9;
83783;07/01/1961;0000;20.3;19.8;95;937.9;23;1;8;
83783;07/01/1961;1200;21.8;20.3;87;940.4;14;1;10;
83783;07/01/1961;1800;25.8;21.8;69;940.2;5;1;10;
83783;08/01/1961;0000;24;22;83;939;0;0;9;
83783;08/01/1961;1200;20.5;19.5;90;941.5;9;5;10;
83783;08/01/1961;1800;21;19.3;84;939.1;5;1;8;
83783;09/01/1961;0000;21.9;21.2;94;939;14;1;4;
83783;09/01/1961;1200;24;21.2;77;941.9;5;7;6;
83783;09/01/1961;1800;28.2;23.6;68;941;0;0;7;
83783;10/01/1961;0000;24.5;23.7;94;939.5;0;0;6;
83783;10/01/1961;1200;24.9;22.2;79;943;5;4;8;
83783;10/01/1961;1800;31.9;24.5;53;940.3;23;5;8;
83783;11/01/1961;0000;20.5;18.8;84;940.7;14;1;2;
83783;11/01/1961;1200;25.1;21.1;69;942;14;4;2;
83783;11/01/1961;1800;31.8;24.7;55;941.2;5;2;8;
83783;12/01/1961;0000;25;22.4;79;940.6;5;1;2;
83783;12/01/1961;1200;24.7;20.8;70;944.8;9;9;4;
83783;12/01/1961;1800;31.4;22.4;44;941.4;5;5;4;
83783;13/01/1961;0000;24.9;21.6;74;940.4;0;0;0;
83783;13/01/1961;1200;24.5;20.5;69;943.6;9;8;1;
83783;13/01/1961;1800;29.5;22.6;54;941.8;5;5;6;
83783;14/01/1961;0000;23.9;21.4;79;941.6;0;0;1;
83783;14/01/1961;1200;23.4;22.3;90;943.6;5;5;9;
83783;14/01/1961;1800;30.8;24.6;60;941.1;36;5;7;
83783;15/01/1961;0000;25.1;22.7;81;940;0;0;2;
83783;15/01/1961;1200;26.2;23.1;76;942.3;5;4;7;
83783;15/01/1961;1800;26.1;24.3;85;942.8;5;2;8;
83783;16/01/1961;0000;25.1;23.5;87;941.2;9;1;1;
83783;16/01/1961;1200;25.5;23.3;82;943.5;36;3;5;
83783;16/01/1961;1800;22.9;21.4;87;941.5;36;5;8;
83783;17/01/1961;0000;22.3;21.8;95;941.9;14;1;2;
83783;17/01/1961;1200;24;22.5;87;944.7;5;1;6;
83783;17/01/1961;1800;32.3;24.4;51;943;36;3;8;
83783;18/01/1961;0000;21.3;21.2;99;944.8;27;1;9;
83783;18/01/1961;1200;22.7;21.7;91;945.6;14;1;9;
