<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83784</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TAUBATE - SP (OMM: 83784)
Latitude  (graus) : -23.03
Longitude (graus) : -45.55
Altitude  (metros): 577.00
Esta��o Operante
Inicio de opera��o: 01/01/1943
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83784;01/01/1961;1200;23.8;22.2;87;941.6;0;0;8;
83784;01/01/1961;1800;29.2;23.3;60;939.4;0;0;7;
83784;02/01/1961;0000;22.6;21.4;89;940.8;0;0;10;
83784;02/01/1961;1200;22.6;21.8;93;941.1;0;0;10;
83784;02/01/1961;1800;24.8;23;85;939.9;0;0;10;
83784;03/01/1961;0000;22.3;21.6;94;940.4;0;0;10;
83784;03/01/1961;1200;24.8;22.2;79;942;0;0;8;
83784;03/01/1961;1800;31;23.3;51;939.5;0;0;3;
83784;04/01/1961;0000;23.4;20.8;78;941.6;0;0;6;
83784;04/01/1961;1200;24.7;21.8;76;942;0;0;5;
83784;04/01/1961;1800;27.6;24;73;939;36;1.4;10;
83784;05/01/1961;0000;21.6;21;95;941.6;0;0;10;
83784;05/01/1961;1200;23.8;21.4;80;943.4;0;0;7;
83784;05/01/1961;1800;29.2;23.4;60;940.3;0;0;8;
83784;06/01/1961;0000;22.4;21.4;91;941.8;0;0;8;
83784;06/01/1961;1200;25.1;22.1;76;941.6;14;1.6;7;
83784;06/01/1961;1800;26.6;23.8;78;939.9;0;0;10;
83784;07/01/1961;0000;24.6;23.6;92;940.2;0;0;10;
83784;07/01/1961;1200;23.8;22.4;88;943.1;0;0;8;
83784;07/01/1961;1800;24.8;21.4;72;942;0;0;10;
83784;08/01/1961;0000;21.8;20.2;86;944.3;0;0;7;
83784;08/01/1961;1200;22.8;21;85;944.8;0;0;10;
83784;08/01/1961;1800;26.8;22.6;68;943.4;0;0;10;
83784;09/01/1961;0000;22.8;21;85;944;0;0;10;
83784;09/01/1961;1200;24.8;22.2;79;944.4;0;0;8;
83784;09/01/1961;1800;29.8;24.2;62;941.9;14;1.2;7;
83784;10/01/1961;0000;23.4;21.4;83;943.2;0;0;10;
83784;10/01/1961;1200;25.2;22.2;77;944.2;0;0;5;
83784;10/01/1961;1800;32.5;24;48;941.5;0;0;5;
83784;11/01/1961;0000;23.9;21.3;78;943;0;0;7;
83784;11/01/1961;1200;25.4;21.3;69;944.3;0;0;8;
83784;11/01/1961;1800;27.9;21.6;56;942.8;14;1.1;7;
83784;12/01/1961;0000;22.4;19.3;73;944.3;0;0;1;
83784;12/01/1961;1200;25.8;21.6;68;945.6;0;0;4;
83784;12/01/1961;1800;23.3;21;81;943.8;0;0;10;
83784;13/01/1961;0000;21.3;20;88;945.5;0;0;10;
83784;13/01/1961;1200;25;21.4;72;946.6;0;0;2;
83784;13/01/1961;1800;31.8;24;51;943.1;0;0;5;
83784;14/01/1961;0000;23.8;20.8;75;944.7;0;0;8;
83784;14/01/1961;1200;24.5;21.6;76;945.6;0;0;3;
83784;14/01/1961;1800;29.3;22.6;55;943.9;0;0;5;
83784;15/01/1961;0000;21.8;20.6;90;944.4;0;0;7;
83784;15/01/1961;1200;25.2;21.2;70;945.1;0;0;1;
83784;15/01/1961;1800;32;23.2;46;943.2;0;0;6;
83784;16/01/1961;0000;22.2;20.2;83;944.7;0;0;1;
83784;16/01/1961;1200;26;21;63;945.6;14;1.2;1;
83784;16/01/1961;1800;33.3;24.8;49;943.9;0;0;5;
83784;17/01/1961;0000;25;21.4;72;945;0;0;7;
83784;17/01/1961;1200;27.2;22;63;947.9;0;0;3;
83784;17/01/1961;1800;33.4;23.4;41;945.5;32;1.2;3;
83784;18/01/1961;0000;26.7;21.8;64;946;0;0;0;
83784;18/01/1961;1200;27.1;23.1;71;948.3;36;1.2;4;
83784;18/01/1961;1800;30.3;22.8;51;946;36;1.4;6;
