<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83786</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : UBATUBA - SP (OMM: 83786)
Latitude  (graus) : -23.45
Longitude (graus) : -45.06
Altitude  (metros): 8.00
Esta��o Fechada
Inicio de opera��o: 01/01/1920
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83786;01/01/1961;1200;25.2;24;90;;14;1;10;
83786;01/01/1961;1800;28.7;25.7;78;;14;1;6;
83786;02/01/1961;0000;24;23.5;96;;5;1;10;
83786;02/01/1961;1200;24.6;24;95;;5;1;10;
83786;02/01/1961;1800;26;25.1;93;;5;1;10;
83786;03/01/1961;0000;23.8;23.6;99;;9;1;10;
83786;03/01/1961;1200;28.5;24.7;72;;5;1;7;
83786;03/01/1961;1800;27.6;24.4;76;;5;1;8;
83786;04/01/1961;0000;24.4;23.8;95;;5;1;10;
83786;04/01/1961;1200;26.3;24.2;84;;0;0;10;
83786;04/01/1961;1800;24.4;23.6;94;;5;2;10;
83786;05/01/1961;0000;22.5;22.2;97;;5;2;10;
83786;05/01/1961;1200;23.4;22.7;94;;5;2;10;
83786;05/01/1961;1800;26.4;23.7;79;;0;0;10;
83786;06/01/1961;0000;22.9;22.4;96;;0;0;10;
83786;06/01/1961;1200;27.2;24;76;;32;2;6;
83786;06/01/1961;1800;27.4;25.4;84;;9;4;10;
83786;07/01/1961;0000;24.6;24.2;97;;0;0;10;
83786;07/01/1961;1200;27;24.3;79;;0;0;10;
83786;07/01/1961;1800;27.4;23.7;72;;0;0;10;
83786;08/01/1961;0000;23.4;22.8;94;;0;0;10;
83786;08/01/1961;1200;26.4;23.1;75;;0;0;10;
83786;08/01/1961;1800;26.6;24.1;81;;5;2;10;
83786;09/01/1961;0000;23.4;23;96;;0;0;10;
83786;09/01/1961;1200;27.4;24.6;79;;5;2;8;
83786;09/01/1961;1800;25.6;24.5;91;;0;0;10;
83786;10/01/1961;0000;23.7;23.4;97;;0;0;10;
83786;10/01/1961;1200;27.3;24.8;81;;0;0;8;
83786;10/01/1961;1800;26;24.7;90;;0;0;10;
83786;11/01/1961;0000;23;22.8;98;;0;0;5;
83786;11/01/1961;1200;25.2;23.8;88;;0;0;10;
83786;11/01/1961;1800;27.1;24.8;82;;0;0;9;
83786;12/01/1961;0000;23;22.4;95;;0;0;5;
83786;12/01/1961;1200;26.6;24.3;82;;0;0;7;
