<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83796</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JARDIM BOTANICO - RJ (OMM: 83796)
Latitude  (graus) : -22.96
Longitude (graus) : -43.21
Altitude  (metros): 5.00
Esta��o Fechada
Inicio de opera��o: 01/10/1919
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83796;01/01/1961;1200;26;24.8;90;;0;0;9;
83796;01/01/1961;1800;28.2;26.6;88;;0;0;10;
83796;02/01/1961;0000;25.6;24.6;92;;0;0;10;
83796;02/01/1961;1200;28.6;23.6;64;;5;2;10;
83796;02/01/1961;1800;30.2;25;64;;0;0;9;
83796;03/01/1961;0000;25.1;24.2;93;;0;0;10;
83796;03/01/1961;1200;27.4;24;74;;0;0;8;
83796;03/01/1961;1800;26.4;23.2;75;;0;0;10;
83796;04/01/1961;0000;23.5;22.4;90;;0;0;3;
83796;04/01/1961;1200;28;23.6;68;;0;0;5;
83796;04/01/1961;1800;27.2;24;76;;0;0;8;
83796;05/01/1961;0000;24.4;23;88;;0;0;10;
83796;05/01/1961;1200;26.6;24.2;82;;0;0;10;
83796;05/01/1961;1800;28;24;70;;0;0;10;
83796;06/01/1961;0000;24.2;23.6;95;;0;0;7;
83796;06/01/1961;1200;28.2;24.8;75;;0;0;1;
83796;06/01/1961;1800;31;26;66;;0;0;4;
83796;07/01/1961;0000;26.4;24.2;83;;0;0;8;
83796;07/01/1961;1200;30.4;25.4;65;;0;0;10;
83796;07/01/1961;1800;27;24.2;79;;0;0;9;
83796;08/01/1961;0000;26.2;23;75;;0;0;9;
83796;08/01/1961;1200;26.6;23.6;77;;0;0;10;
83796;08/01/1961;1800;26.8;23.8;76;;0;0;10;
83796;09/01/1961;0000;30.4;23.6;55;;0;0;10;
83796;09/01/1961;1200;26.4;24.2;83;;0;0;9;
83796;09/01/1961;1800;27.4;24.6;79;;0;0;9;
83796;10/01/1961;0000;25;24.6;97;;0;0;10;
83796;10/01/1961;1200;28.2;25;76;;0;0;7;
83796;10/01/1961;1800;29;25.4;73;;0;0;8;
83796;11/01/1961;0000;25.8;24.4;89;;0;0;4;
83796;11/01/1961;1200;26.4;24.2;83;;0;0;9;
83796;11/01/1961;1800;28.4;25;75;;0;0;9;
83796;12/01/1961;0000;25.2;24.2;92;;0;0;6;
83796;12/01/1961;1200;28.6;25;73;;0;0;5;
83796;12/01/1961;1800;25.2;24;90;;0;0;8;
83796;13/01/1961;0000;24.4;23.4;92;;0;0;4;
83796;13/01/1961;1200;28.6;23.6;64;;0;0;0;
83796;13/01/1961;1800;31;25;60;;0;0;0;
83796;14/01/1961;0000;26;24;84;;0;0;2;
83796;14/01/1961;1200;30.6;24.2;57;;0;0;0;
83796;14/01/1961;1800;31;25.2;61;;0;0;0;
83796;15/01/1961;0000;26;22.8;75;;0;0;0;
83796;15/01/1961;1200;28.6;23.6;64;;0;0;0;
83796;15/01/1961;1800;28.8;23.8;64;;0;0;0;
83796;16/01/1961;0000;27.2;23;69;;0;0;0;
83796;16/01/1961;1200;30;23;53;;0;0;0;
83796;16/01/1961;1800;32.8;25;51;;0;0;4;
83796;17/01/1961;0000;26.8;24.2;80;;0;0;0;
83796;17/01/1961;1200;30.4;24;57;;0;0;0;
83796;17/01/1961;1800;32.8;25.8;56;;0;0;0;
83796;18/01/1961;0000;26.4;23.7;79;;0;0;0;
83796;18/01/1961;1200;33.4;24;43;;0;0;0;
83796;18/01/1961;1800;32.8;25.4;53;;0;0;2;
83796;19/01/1961;0000;27;24;77;;0;0;0;
83796;19/01/1961;1200;28.6;25;73;;0;0;8;
83796;19/01/1961;1800;27.6;25;80;;0;0;10;
83796;20/01/1961;0000;27;25;84;;0;0;6;
83796;20/01/1961;1200;25.7;23.2;80;;0;0;6;
83796;20/01/1961;1800;30.2;24.2;59;;0;0;2;
83796;21/01/1961;0000;26.9;24.1;79;;0;0;4;
83796;21/01/1961;1200;28;24;70;;0;0;8;
83796;21/01/1961;1800;31.6;25;57;;0;0;1;
83796;22/01/1961;0000;26;24;84;;14;1;0;
83796;22/01/1961;1200;29.7;24.2;62;;9;1;0;
83796;22/01/1961;1800;31.6;24.8;56;;0;0;2;
83796;23/01/1961;0000;25.2;23;82;;0;0;7;
83796;23/01/1961;1200;26;25;92;;0;0;9;
83796;23/01/1961;1800;27.2;24.8;82;;0;0;10;
83796;24/01/1961;0000;24.2;22.2;84;;0;0;9;
83796;24/01/1961;1200;27.8;25;78;;0;0;9;
83796;24/01/1961;1800;28.2;25.2;78;;0;0;7;
83796;25/01/1961;0000;26.2;24.2;85;;0;0;10;
83796;25/01/1961;1200;28;25;77;;0;0;10;
83796;25/01/1961;1800;26.2;24.8;89;;0;0;10;
83796;26/01/1961;0000;23.8;22.6;90;;0;0;10;
83796;26/01/1961;1200;24;23.2;93;;0;0;10;
83796;26/01/1961;1800;24.6;22.4;82;;0;0;10;
83796;27/01/1961;0000;24.2;22.2;84;;0;0;10;
83796;27/01/1961;1200;22.4;22;96;;0;0;10;
83796;27/01/1961;1800;22.6;22;95;;0;0;10;
83796;28/01/1961;0000;22.5;22;95;;23;1;10;
83796;28/01/1961;1200;23.2;23;98;;0;0;10;
83796;28/01/1961;1800;25.4;23.6;86;;0;0;10;
83796;29/01/1961;0000;25;24;92;;23;1;10;
83796;29/01/1961;1200;24.2;23.7;96;;0;0;9;
83796;29/01/1961;1800;25.6;23.6;84;;18;3;10;
83796;30/01/1961;0000;24;22.2;85;;0;0;10;
83796;30/01/1961;1200;27;24;77;;0;0;9;
83796;30/01/1961;1800;25;24.6;97;;0;0;10;
83796;31/01/1961;0000;23.4;23;96;;0;0;9;
83796;31/01/1961;1200;25;24;92;;0;0;9;
83796;31/01/1961;1800;27.4;24.8;80;;0;0;10;
83796;01/02/1961;0000;24.2;23.4;93;;0;0;10;
83796;01/02/1961;1200;26.2;24.8;89;;0;0;8;
83796;01/02/1961;1800;28;25.4;80;;0;0;8;
83796;02/02/1961;0000;24.8;24.2;96;;0;0;10;
83796;02/02/1961;1200;28.2;24.6;74;;0;0;1;
83796;02/02/1961;1800;29.8;26;73;;0;0;8;
83796;03/02/1961;0000;24.8;23.8;92;;0;0;1;
83796;03/02/1961;1200;28.4;25.8;80;;0;0;10;
83796;03/02/1961;1800;29.4;25.6;73;;0;0;10;
83796;04/02/1961;0000;25.4;23.9;88;;0;0;5;
83796;04/02/1961;1200;24.8;24.6;99;;0;0;10;
83796;04/02/1961;1800;28.6;25.2;75;;0;0;8;
83796;05/02/1961;0000;24.3;23.3;92;;0;0;10;
83796;05/02/1961;1200;26;24.4;87;;0;0;10;
83796;05/02/1961;1800;26.8;24.8;84;;0;0;10;
83796;06/02/1961;0000;24.8;23.2;87;;0;0;0;
83796;06/02/1961;1200;28.4;24.1;69;;0;0;8;
83796;06/02/1961;1800;32;26.8;65;;0;0;9;
83796;07/02/1961;0000;25.5;23.9;87;;0;0;0;
83796;07/02/1961;1200;29.8;26.8;78;;0;0;0;
83796;07/02/1961;1800;32;25.6;59;;0;0;9;
83796;08/02/1961;0000;27;24.4;80;;0;0;8;
83796;08/02/1961;1200;30.3;26;70;;0;0;0;
83796;08/02/1961;1800;31;26;66;;0;0;9;
83796;09/02/1961;0000;25.8;24.2;88;;0;0;1;
83796;09/02/1961;1200;27.7;25.6;84;;0;0;10;
83796;09/02/1961;1800;28;24;70;;0;0;9;
83796;10/02/1961;0000;26.5;24.8;86;;0;0;8;
83796;10/02/1961;1200;26.4;24.7;87;;0;0;8;
83796;10/02/1961;1800;28.2;24.8;75;;0;0;8;
83796;11/02/1961;0000;26;23.6;81;;18;1;7;
83796;11/02/1961;1200;27.8;24.8;77;;0;0;0;
83796;11/02/1961;1800;31.8;26.8;66;;0;0;9;
83796;12/02/1961;0000;26.7;25;86;;0;0;3;
83796;12/02/1961;1200;26.8;23;71;;0;0;10;
83796;12/02/1961;1800;29.8;24.6;64;;0;0;6;
83796;13/02/1961;0000;23.8;22.5;89;;0;0;10;
83796;13/02/1961;1200;25;24.7;98;;0;0;10;
83796;13/02/1961;1800;23.8;22.6;90;;0;0;10;
83796;14/02/1961;0000;21;20.3;93;;0;0;10;
83796;14/02/1961;1200;21.2;20.9;97;;0;0;10;
83796;14/02/1961;1800;22.6;21.2;88;;0;0;10;
83796;15/02/1961;0000;20.4;20;96;;0;0;10;
83796;15/02/1961;1200;21.8;21.3;95;;0;0;10;
83796;15/02/1961;1800;23.8;21.4;80;;0;0;10;
83796;16/02/1961;0000;21.8;21.3;95;;0;0;10;
83796;16/02/1961;1200;24;22.6;88;;0;0;10;
83796;16/02/1961;1800;27.1;23.7;74;;0;0;10;
83796;17/02/1961;0000;23.2;23;98;;0;0;10;
83796;17/02/1961;1200;23.8;23;93;;0;0;10;
83796;17/02/1961;1800;26.2;24.2;85;;0;0;10;
83796;18/02/1961;0000;24.1;23.2;92;;0;0;9;
83796;18/02/1961;1200;25;23.6;89;;0;0;10;
83796;18/02/1961;1800;28.4;24.7;73;;0;0;8;
83796;19/02/1961;0000;24;23;91;;0;0;3;
83796;19/02/1961;1200;27;23.7;75;;0;0;0;
83796;19/02/1961;1800;27.8;24.4;74;;0;0;8;
83796;20/02/1961;0000;23;21.8;89;;0;0;0;
83796;20/02/1961;1200;25.4;23.4;84;;0;0;9;
83796;20/02/1961;1800;29;24.8;70;;0;0;3;
83796;21/02/1961;0000;24.4;22.4;83;;0;0;8;
83796;21/02/1961;1200;28.2;23.8;68;;0;0;10;
83796;21/02/1961;1800;31.6;25.4;59;;0;0;0;
83796;22/02/1961;0000;26.6;23.8;78;;0;0;1;
83796;22/02/1961;1200;27.6;24;73;;0;0;10;
83796;22/02/1961;1800;30.6;25.6;66;;0;0;5;
83796;23/02/1961;0000;26;23.6;81;;0;0;0;
83796;23/02/1961;1200;27.4;25;81;;0;0;0;
83796;23/02/1961;1800;30.4;24.7;61;;0;0;8;
83796;24/02/1961;0000;22.9;22.1;93;;23;1;10;
83796;24/02/1961;1200;24;23.2;93;;0;0;8;
83796;24/02/1961;1800;27.6;24.2;75;;0;0;10;
83796;25/02/1961;0000;24.8;23.6;91;;0;0;5;
83796;25/02/1961;1200;27.6;24.6;78;;0;0;9;
83796;25/02/1961;1800;31.8;25.8;61;;0;0;1;
83796;26/02/1961;0000;27;24.2;79;;0;0;8;
83796;26/02/1961;1200;29.6;23.8;60;;0;0;0;
83796;26/02/1961;1800;31.2;25.4;61;;0;0;9;
