<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83798</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTA TERESA - RJ (OMM: 83798)
Latitude  (graus) : -22.91
Longitude (graus) : -43.18
Altitude  (metros): 180.00
Esta��o Desativada
Inicio de opera��o: 01/01/1946
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83798;01/01/1961;1200;25.7;24.5;90;;32;1;9;
83798;01/01/1961;1800;30.4;26.2;71;;36;1;8;
83798;02/01/1961;0000;26.5;24.8;86;;0;0;10;
83798;02/01/1961;1200;26.3;24.7;88;;5;1;9;
83798;02/01/1961;1800;28.8;25.4;74;;32;2;9;
83798;03/01/1961;0000;25.1;24.1;92;;0;0;10;
83798;03/01/1961;1200;26.3;24.8;88;;5;1;10;
83798;03/01/1961;1800;27.4;24.2;76;;36;1;9;
83798;04/01/1961;0000;24.7;23.5;90;;0;0;6;
83798;04/01/1961;1200;25.8;24.2;88;;5;1;8;
83798;04/01/1961;1800;28.6;24.8;72;;32;1;8;
83798;05/01/1961;0000;24.3;22.8;87;;0;0;7;
83798;05/01/1961;1200;26;24.1;85;;5;1;9;
83798;05/01/1961;1800;28.6;25.1;74;;36;2;9;
83798;06/01/1961;0000;24.6;23.4;90;;32;1;7;
83798;06/01/1961;1200;26.1;24.1;84;;32;1;4;
83798;06/01/1961;1800;34.8;29;64;;36;2;5;
83798;07/01/1961;0000;26.2;23.8;81;;5;1;7;
83798;07/01/1961;1200;26.6;25.6;92;;32;2;10;
83798;07/01/1961;1800;27.5;24.3;75;;32;2;9;
83798;08/01/1961;0000;25.3;22.7;80;;23;1;8;
83798;08/01/1961;1200;26.2;24.1;84;;5;1;9;
83798;08/01/1961;1800;28.7;24.7;71;;36;1;9;
83798;09/01/1961;0000;24.7;23.9;93;;32;2;10;
83798;09/01/1961;1200;24.6;23.7;93;;36;2;10;
83798;09/01/1961;1800;27.7;25;79;;32;2;7;
83798;10/01/1961;0000;25.2;23.6;87;;27;1;8;
