<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83799</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PAO DE ACUCAR - RJ (OMM: 83799)
Latitude  (graus) : -22.96
Longitude (graus) : -43.25
Altitude  (metros): 400.00
Esta��o Desativada
Inicio de opera��o: 01/05/1932
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83799;01/01/1961;1200;23.9;22.1;85;;36;2.5;7;
83799;01/01/1961;1800;28.5;24.8;73;;36;2;5;
83799;02/01/1961;0000;25;23.1;85;;36;1;8;
83799;02/01/1961;1200;25.7;23.8;84;;32;4.5;10;
83799;02/01/1961;1800;27.1;23.8;74;;32;3.5;10;
83799;03/01/1961;0000;24.1;22.4;85;;32;1.5;10;
83799;03/01/1961;1200;25.4;24;89;;18;2;6;
83799;03/01/1961;1800;27.6;24;73;;23;2.5;8;
83799;04/01/1961;0000;22.2;21.7;95;;36;1;5;
83799;04/01/1961;1200;25.7;23.2;80;;23;1;5;
83799;04/01/1961;1800;25.1;23;83;;23;1.5;9;
83799;05/01/1961;0000;22.3;21.2;91;;23;1;10;
83799;05/01/1961;1200;24.9;23.9;92;;14;1.5;8;
83799;05/01/1961;1800;26.6;23.8;78;;14;2;8;
83799;06/01/1961;0000;22;21.1;92;;18;1;6;
83799;06/01/1961;1200;25.9;24;85;;9;1;4;
83799;06/01/1961;1800;27.7;24.8;78;;9;2;5;
83799;07/01/1961;0000;26.1;22.2;71;;32;6.5;9;
83799;07/01/1961;1200;26.8;23.5;74;;23;4;9;
83799;07/01/1961;1800;26.5;23.4;75;;23;6.5;10;
83799;08/01/1961;0000;22.7;21.4;88;;23;6;10;
83799;08/01/1961;1200;23.5;22.2;89;;23;1;9;
83799;08/01/1961;1800;24.3;22;81;;23;5.5;9;
83799;09/01/1961;0000;22.9;22.4;96;;32;1.5;10;
83799;09/01/1961;1200;23.5;22.8;93;;0;0;10;
83799;09/01/1961;1800;26.1;24;83;;23;2.5;9;
83799;10/01/1961;0000;23.1;22.4;94;;36;1;10;
83799;10/01/1961;1200;25.7;23.8;84;;0;0;0;
83799;10/01/1961;1800;26.4;24.2;83;;18;2;10;
83799;11/01/1961;0000;23.5;23;95;;36;1;6;
83799;11/01/1961;1200;24.3;22.9;88;;0;0;6;
83799;11/01/1961;1800;26.9;24.2;80;;23;4.5;10;
83799;12/01/1961;0000;22.9;22.4;96;;9;1.5;10;
83799;12/01/1961;1200;26.1;23.6;80;;9;1;8;
83799;12/01/1961;1800;23.3;22.6;94;;36;1;9;
