<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83803</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : NITEROI - RJ (OMM: 83803)
Latitude  (graus) : -22.9
Longitude (graus) : -43.11
Altitude  (metros): 14.00
Esta��o Desativada
Inicio de opera��o: 01/01/1919
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83803;01/01/1961;1200;27.2;25;83;1003.6;0;0;9;
83803;01/01/1961;1800;31.8;25.7;60;1003.4;0;0;10;
83803;02/01/1961;0000;28;25;77;1002.6;0;0;10;
83803;02/01/1961;1200;27.2;24.4;79;1004.3;0;0;8;
83803;02/01/1961;1800;31.2;26;65;1000.3;0;0;10;
83803;03/01/1961;0000;26;23;76;1002.6;0;0;10;
83803;03/01/1961;1200;26.8;24;78;1004.3;0;0;10;
83803;03/01/1961;1800;27.8;24.6;76;1002.6;0;0;10;
83803;04/01/1961;0000;25.3;23;82;1006;0;0;7;
83803;04/01/1961;1200;27.8;24;71;1005.6;0;0;8;
83803;04/01/1961;1800;28.8;23.8;64;1003.1;0;0;7;
83803;05/01/1961;0000;25.6;23.3;81;1005.4;0;0;5;
83803;05/01/1961;1200;26.4;24;81;1006.7;0;0;10;
83803;05/01/1961;1800;28.2;23.6;67;1005.2;0;0;10;
83803;06/01/1961;0000;25;23.4;87;1006.7;0;0;10;
83803;06/01/1961;1200;28.6;25;73;1005.1;0;0;3;
83803;06/01/1961;1800;36.4;26;41;1001;0;0;4;
83803;07/01/1961;0000;26.9;24.4;81;1002.2;0;0;7;
83803;07/01/1961;1200;30;24.4;61;1005.4;0;0;10;
83803;07/01/1961;1800;27.2;24;76;1003.9;0;0;10;
83803;08/01/1961;0000;26.1;22.7;73;1008.7;0;0;8;
83803;08/01/1961;1200;26.6;23.4;75;1008.3;0;0;10;
83803;08/01/1961;1800;27;23.2;71;1007.5;0;0;10;
83803;09/01/1961;0000;25.4;23.2;83;1009.6;0;0;10;
