<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83806</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TERESOPOLIS - P NACIONAL - RJ (OMM: 83806)
Latitude  (graus) : -22.45
Longitude (graus) : -42.93
Altitude  (metros): 959.00
Esta��o Desativada
Inicio de opera��o: 13/11/1942
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83806;01/01/1961;1200;20.2;19;89;;14;1.5;10;
83806;01/01/1961;1800;22;20.4;87;;0;0;10;
83806;02/01/1961;0000;19.8;19.6;98;;0;0;10;
83806;02/01/1961;1200;20;19.6;96;;0;0;10;
83806;02/01/1961;1800;22.3;20.4;85;;0;0;10;
83806;03/01/1961;0000;19.4;19.2;98;;14;1.4;10;
83806;03/01/1961;1200;20.9;20.4;95;;9;1.7;10;
83806;03/01/1961;1800;19.4;19.1;97;;0;0;10;
83806;04/01/1961;0000;18.4;18;96;;0;0;10;
83806;04/01/1961;1200;23.6;21.6;84;;0;0;10;
83806;04/01/1961;1800;21.5;20.6;92;;0;0;10;
83806;05/01/1961;0000;18.6;18.4;98;;0;0;10;
83806;05/01/1961;1200;19.8;18.3;87;;0;0;10;
83806;05/01/1961;1800;20.4;19.6;92;;0;0;10;
83806;06/01/1961;0000;18.8;18.6;98;;0;0;10;
83806;06/01/1961;1200;21.7;20.2;88;;5;2.3;10;
83806;06/01/1961;1800;25.2;22.6;81;;9;1.5;10;
83806;07/01/1961;0000;20.8;20.2;95;;9;1.6;10;
83806;07/01/1961;1200;23.6;21.8;85;;0;0;10;
83806;07/01/1961;1800;20.8;19.6;89;;0;0;10;
83806;08/01/1961;0000;19.8;18.6;89;;0;0;10;
83806;08/01/1961;1200;19.6;19;95;;0;0;10;
83806;08/01/1961;1800;19.4;19.2;98;;0;0;10;
83806;09/01/1961;0000;18.4;18.2;98;;0;0;10;
83806;09/01/1961;1200;22.2;21;89;;0;0;10;
83806;09/01/1961;1800;20.4;20.2;98;;14;1.4;10;
83806;10/01/1961;0000;19.2;18.8;96;;14;1.5;10;
83806;10/01/1961;1200;22.8;21.4;88;;0;0;10;
83806;10/01/1961;1800;21.4;20.3;90;;0;0;10;
83806;11/01/1961;0000;19.4;19.2;98;;0;0;10;
83806;11/01/1961;1200;23;20.8;82;;0;0;10;
83806;11/01/1961;1800;21.2;21;98;;14;1.4;10;
83806;12/01/1961;0000;18.8;18.4;96;;0;0;10;
83806;12/01/1961;1200;20.6;19.6;91;;0;0;10;
83806;12/01/1961;1800;19.4;18.4;90;;14;1.4;10;
83806;13/01/1961;0000;18.4;17.2;88;;0;0;10;
83806;13/01/1961;1200;20.2;18.2;81;;36;1.5;9;
83806;13/01/1961;1800;23.4;21.2;83;;0;0;10;
83806;14/01/1961;0000;18;17.8;98;;0;0;10;
83806;14/01/1961;1200;23;20;76;;36;1.9;5;
83806;14/01/1961;1800;25;21.8;75;;0;0;6;
83806;15/01/1961;0000;16;15.6;96;;0;0;0;
83806;15/01/1961;1200;20.8;17.8;74;;27;2.5;7;
83806;15/01/1961;1800;26.8;22;65;;0;0;2;
83806;16/01/1961;0000;19;17.8;88;;0;0;0;
83806;16/01/1961;1200;23.4;20;73;;9;2.5;4;
83806;16/01/1961;1800;26.8;23.5;75;;9;2.9;3;
83806;17/01/1961;0000;20.4;17.6;76;;27;4.1;3;
83806;17/01/1961;1200;23.6;20.6;76;;36;3.9;1;
83806;17/01/1961;1800;29.4;23.6;61;;9;1.5;0;
83806;18/01/1961;0000;19.6;19;95;;0;0;0;
83806;18/01/1961;1200;25.8;23.6;84;;9;1.9;1;
83806;18/01/1961;1800;23.2;22;89;;0;0;8;
83806;19/01/1961;0000;19.9;19.6;97;;0;0;0;
83806;19/01/1961;1200;23;20.6;81;;9;2;3;
83806;19/01/1961;1800;19.6;19.4;98;;0;0;10;
83806;20/01/1961;0000;17.6;17;94;;0;0;0;
83806;20/01/1961;1200;20.8;19;85;;9;1.7;10;
83806;20/01/1961;1800;24.1;21.8;81;;0;0;10;
83806;21/01/1961;0000;17.8;17.4;96;;0;0;0;
83806;21/01/1961;1200;22.6;19.6;76;;9;1.8;4;
