<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83807</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CARMO - RJ (OMM: 83807)
Latitude  (graus) : -21.93
Longitude (graus) : -42.6
Altitude  (metros): 342.19
Esta��o Operante
Inicio de opera��o: 27/12/1913
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83807;01/01/1961;1200;23.6;22.8;93;970.7;0;0;10;
83807;01/01/1961;1800;27.8;23.8;70;967.8;0;0;10;
83807;02/01/1961;0000;22;21.8;98;970.3;0;0;10;
83807;02/01/1961;1200;24.2;22.2;84;969.1;0;0;10;
83807;02/01/1961;1800;27.6;24.8;79;967.4;0;0;10;
83807;03/01/1961;0000;22;21.8;98;969.1;0;0;10;
83807;03/01/1961;1200;26.2;23.6;80;967.9;0;0;9;
83807;03/01/1961;1800;27;24.6;82;967.2;0;0;10;
83807;04/01/1961;0000;21.6;21.4;98;968.8;36;3;10;
83807;04/01/1961;1200;24.6;23.4;90;973.1;0;0;10;
83807;04/01/1961;1800;25.4;24;89;974;36;1;10;
83807;05/01/1961;0000;22.6;22.4;98;970;0;0;10;
83807;05/01/1961;1200;24.4;23;88;969.4;0;0;10;
83807;05/01/1961;1800;24.6;24.4;98;969.1;0;0;10;
83807;06/01/1961;0000;22.4;22.2;98;969.9;0;0;10;
83807;06/01/1961;1200;25.4;23.4;84;969.1;0;0;10;
83807;06/01/1961;1800;25.8;24.2;88;967.6;27;1;9;
83807;07/01/1961;0000;23.6;23.2;97;968.4;0;0;10;
83807;07/01/1961;1200;26.2;23.8;81;970.7;0;0;10;
83807;07/01/1961;1800;27.2;25.8;89;969.6;0;0;10;
83807;08/01/1961;0000;23;22.8;98;971.2;0;0;10;
83807;08/01/1961;1200;23.2;23;98;971.6;0;0;10;
83807;08/01/1961;1800;26.2;24.6;88;970.7;0;0;9;
83807;09/01/1961;0000;22.2;22;98;975;32;1;10;
83807;09/01/1961;1200;25.6;23.6;84;974.7;0;0;10;
83807;09/01/1961;1800;32.8;26;58;968.4;0;0;5;
83807;10/01/1961;0000;21.4;21.2;98;971.4;5;1;10;
83807;10/01/1961;1200;26.1;23.9;82;972.3;0;0;8;
83807;10/01/1961;1800;32.4;26.4;62;967.9;0;0;6;
83807;11/01/1961;0000;22.2;22;98;971.1;0;0;8;
83807;11/01/1961;1200;24.8;22.8;83;971.5;0;0;9;
83807;11/01/1961;1800;31.4;25;59;970.6;0;0;5;
83807;12/01/1961;0000;24;22.6;88;972.2;5;1;10;
83807;12/01/1961;1200;25.8;23.6;83;973.8;0;0;10;
83807;12/01/1961;1800;26.6;25.4;90;973.6;0;0;10;
83807;13/01/1961;0000;20.6;20.4;98;968.7;0;0;10;
83807;13/01/1961;1200;22;21;91;976.8;0;0;10;
83807;13/01/1961;1800;22.6;21.8;93;973.4;0;0;10;
83807;14/01/1961;0000;22;21;91;968;5;1;10;
83807;14/01/1961;1200;23.8;22;85;974.3;0;0;9;
