<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83812</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TATUI - SP (OMM: 83812)
Latitude  (graus) : -23.35
Longitude (graus) : -47.85
Altitude  (metros): 590.00
Esta��o Desativada
Inicio de opera��o: 01/01/1908
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83812;01/01/1961;1200;23.1;21.2;83;;36;3;10;
83812;01/01/1961;1800;27.3;22.9;67;;36;3;10;
83812;02/01/1961;0000;21.5;20.9;94;;0;0;10;
83812;02/01/1961;1200;22.2;21.4;92;;36;3;10;
83812;02/01/1961;1800;24.8;23.5;90;;36;3;10;
83812;03/01/1961;0000;21.3;20.7;95;;14;1;10;
83812;03/01/1961;1200;21.8;21;93;;0;0;10;
83812;03/01/1961;1800;30;22;48;;14;1;4;
83812;04/01/1961;0000;23.5;20.8;77;;9;1;0;
83812;04/01/1961;1200;24.5;20.8;71;;9;1;10;
83812;04/01/1961;1800;29.7;23.4;57;;36;1;6;
83812;05/01/1961;0000;23;21.3;85;;0;0;10;
83812;05/01/1961;1200;24.4;20.5;70;;9;3;10;
83812;05/01/1961;1800;28.5;21;49;;0;0;8;
83812;06/01/1961;0000;21.8;19.7;82;;9;3;0;
83812;06/01/1961;1200;24.4;22;80;;36;3;10;
83812;06/01/1961;1800;24;22.5;87;;36;1;10;
83812;07/01/1961;0000;22.2;21.3;91;;32;1;10;
83812;07/01/1961;1200;21.5;20.5;91;;14;1;10;
83812;07/01/1961;1800;24.6;20.5;68;;14;3;10;
83812;08/01/1961;0000;20.3;18.4;83;;9;3;0;
83812;08/01/1961;1200;23.2;19.9;73;;14;3;8;
83812;08/01/1961;1800;24;20.6;72;;14;1;6;
83812;09/01/1961;0000;21.2;19;80;;14;1;0;
83812;09/01/1961;1200;24.9;21.2;72;;14;3;10;
83812;09/01/1961;1800;27.8;23;66;;14;3;6;
83812;10/01/1961;0000;23;20.6;80;;14;3;0;
83812;10/01/1961;1200;25.4;22;73;;0;0;10;
83812;10/01/1961;1800;30;23.2;55;;0;0;8;
83812;11/01/1961;0000;24.3;22.4;84;;0;0;6;
83812;11/01/1961;1200;25;21.4;72;;9;1;8;
