<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83814</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JAGUARIAIVA - PR (OMM: 83814)
Latitude  (graus) : -24.25
Longitude (graus) : -49.7
Altitude  (metros): 923.00
Esta��o Desativada
Inicio de opera��o: 01/01/1917
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83814;01/01/1961;0000;20;;94;909.2;0;0;10;
83814;01/01/1961;1200;18.8;18.7;99;909.4;0;0;10;
83814;01/01/1961;1800;22.8;20.9;85;907.1;32;2.6;10;
83814;02/01/1961;0000;20;19.6;96;908;0;0;10;
83814;02/01/1961;1200;19.6;19.4;98;907.5;0;0;10;
83814;02/01/1961;1800;26;22.7;75;906.3;23;2.7;7;
83814;03/01/1961;0000;22.6;20.4;82;907.2;0;0;4;
83814;03/01/1961;1200;21;19.9;90;909;0;0;8;
83814;03/01/1961;1800;28.4;22.4;58;907.4;5;2.2;7;
83814;04/01/1961;0000;22.2;21;89;907.2;0;0;4;
83814;04/01/1961;1200;19.4;18;86;908.8;14;2;8;
83814;04/01/1961;1800;27.8;21.8;58;907.1;27;1.5;7;
83814;05/01/1961;0000;23.2;20.2;76;907.5;0;0;7;
83814;05/01/1961;1200;20.8;18.8;83;910.4;0;0;10;
83814;05/01/1961;1800;27.2;21;56;908.2;5;2.5;7;
83814;06/01/1961;0000;23;20;76;908.4;0;0;4;
83814;06/01/1961;1200;18.8;18.4;96;908.6;5;2;10;
83814;06/01/1961;1800;22;20.4;87;905.6;23;2.6;10;
83814;07/01/1961;0000;20;19;91;907.8;0;0;10;
83814;07/01/1961;1200;21;18.6;80;910.6;14;2.3;8;
83814;07/01/1961;1800;20.2;18.8;87;910.6;5;2.2;10;
83814;08/01/1961;0000;20;18;82;911.5;0;0;2;
83814;08/01/1961;1200;18.6;16.4;80;912.4;14;2;9;
83814;08/01/1961;1800;23.2;19.8;73;911.6;0;0;10;
83814;09/01/1961;0000;20.4;18.2;81;912.4;0;0;8;
