<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83816</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TATUI  IAC  - SP (OMM: 83816)
Latitude  (graus) : -23.36
Longitude (graus) : -47.86
Altitude  (metros): 600.00
Esta��o Fechada
Inicio de opera��o: 01/01/1953
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83816;01/01/1961;1200;22.4;21.4;91;;27;3;10;
83816;01/01/1961;1800;26;22.8;75;;27;1;8;
83816;02/01/1961;0000;20;19.6;96;;27;1;10;
83816;02/01/1961;1200;22.4;21.8;94;;32;3;10;
83816;02/01/1961;1800;23.6;22.8;93;;27;1;10;
83816;03/01/1961;0000;21.8;21;93;;0;0;10;
83816;03/01/1961;1200;23.6;22.4;90;;0;0;7;
83816;03/01/1961;1800;30.6;23.8;56;;18;1;5;
83816;04/01/1961;0000;23.8;21;77;;18;3;3;
83816;04/01/1961;1200;24.4;21.2;74;;18;1;6;
83816;04/01/1961;1800;30.8;24.6;60;;0;0;5;
83816;05/01/1961;0000;24;21.8;81;;0;0;4;
83816;05/01/1961;1200;24;21;75;;0;0;4;
83816;05/01/1961;1800;30;22.8;53;;0;0;5;
83816;06/01/1961;0000;24.2;21.6;79;;0;0;4;
83816;06/01/1961;1200;25;22.3;78;;36;3;9;
83816;06/01/1961;1800;28.4;24.4;71;;36;1;8;
83816;07/01/1961;0000;22.6;21.8;93;;36;1;4;
83816;07/01/1961;1200;21.4;20;87;;18;1;10;
83816;07/01/1961;1800;26.2;21.8;67;;18;3;5;
83816;08/01/1961;0000;20.4;18.8;85;;18;1;5;
83816;08/01/1961;1200;23.6;20.4;73;;18;1;7;
83816;08/01/1961;1800;24;21.4;78;;18;1;6;
83816;09/01/1961;0000;21.4;19.6;84;;18;1;4;
83816;09/01/1961;1200;25.8;22;71;;14;1;5;
83816;09/01/1961;1800;30;23.8;59;;18;3;5;
83816;10/01/1961;0000;23.4;21.2;82;;18;1;4;
83816;10/01/1961;1200;25.2;22.2;77;;18;1;7;
83816;10/01/1961;1800;30;22.8;53;;0;0;5;
83816;11/01/1961;0000;24.6;22.8;85;;0;0;5;
83816;11/01/1961;1200;24.6;21.6;76;;18;3;5;
83816;11/01/1961;1800;29.6;22.7;54;;18;3;5;
83816;12/01/1961;0000;22;19.6;79;;18;1;2;
83816;12/01/1961;1200;24.4;20.8;72;;14;1;4;
83816;12/01/1961;1800;30.6;22.5;48;;9;1;4;
83816;13/01/1961;0000;22.6;20;78;;18;3;4;
83816;13/01/1961;1200;24.8;20.8;69;;14;1;4;
83816;13/01/1961;1800;29.8;22.6;53;;36;1;5;
