<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83824</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ITU - SP (OMM: 83824)
Latitude  (graus) : -23.26
Longitude (graus) : -47.28
Altitude  (metros): 616.00
Esta��o Fechada
Inicio de opera��o: 01/01/1913
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83824;01/01/1961;1200;22.2;20.7;87;;0;0;10;
83824;01/01/1961;1800;25.6;22.2;74;;36;1;10;
83824;02/01/1961;0000;20.4;20;96;;36;1;10;
83824;02/01/1961;1200;21.8;20.4;88;;36;1;10;
83824;02/01/1961;1800;25.5;20.8;65;;36;1;10;
83824;03/01/1961;0000;20;19.7;97;;0;0;10;
83824;03/01/1961;1200;22.4;21.2;90;;0;0;5;
83824;03/01/1961;1800;29.4;23.5;60;;0;0;7;
83824;04/01/1961;0000;23;21;83;;0;0;10;
83824;04/01/1961;1200;22.6;22;95;;0;0;10;
83824;04/01/1961;1800;28.8;23.4;62;;0;0;9;
83824;05/01/1961;0000;21.5;20.7;93;;0;0;5;
83824;05/01/1961;1200;22.4;20.6;85;;0;0;10;
83824;05/01/1961;1800;29.7;22.2;50;;0;0;8;
83824;06/01/1961;0000;23;21;83;;0;0;2;
83824;06/01/1961;1200;23.3;21.4;84;;36;1;10;
83824;06/01/1961;1800;26.5;22.8;71;;0;0;10;
83824;07/01/1961;0000;20.7;20;94;;0;0;10;
83824;07/01/1961;1200;21;20;91;;0;0;10;
83824;07/01/1961;1800;24;21.7;81;;14;5;10;
83824;08/01/1961;0000;21.4;20.2;89;;14;5;2;
83824;08/01/1961;1200;22.2;20.4;84;;14;9;9;
83824;08/01/1961;1800;24.7;21.2;73;;0;0;9;
83824;09/01/1961;0000;20.7;20;94;;14;5;2;
83824;09/01/1961;1200;24.4;20.5;70;;0;0;10;
83824;09/01/1961;1800;27.7;21.8;58;;0;0;8;
83824;10/01/1961;0000;22.6;20.7;84;;0;0;9;
