<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83826</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FOZ DO IGUACU - PR (OMM: 83826)
Latitude  (graus) : -25.55
Longitude (graus) : -54.56
Altitude  (metros): 154.00
Esta��o Desativada
Inicio de opera��o: 01/01/1938
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83826;01/01/1961;1200;23.1;22.4;94;983.4;5;1;10;
83826;01/01/1961;1800;29.8;24.4;62;982.7;5;1;6;
83826;02/01/1961;0000;25.1;23.4;86;982.8;36;1;0;
83826;02/01/1961;1200;24.4;22.6;85;984.8;36;1;0;
83826;02/01/1961;1800;33.9;25.4;48;982.8;23;1;6;
83826;03/01/1961;0000;29.2;25.3;72;983.4;0;0;0;
83826;03/01/1961;1200;25.5;24.1;89;984;32;1;0;
83826;03/01/1961;1800;35.8;25.7;43;981.9;32;1;5;
83826;04/01/1961;0000;26.1;24.2;85;981.9;23;1;10;
83826;04/01/1961;1200;21.1;20.9;98;985.9;36;1;7;
83826;04/01/1961;1800;30.1;20.2;36;983.1;23;2;4;
83826;05/01/1961;0000;22.9;22.4;96;984.4;5;1;0;
83826;05/01/1961;1200;23.1;21.9;89;984.6;5;1;3;
83826;05/01/1961;1800;32.2;25.9;59;982;36;1;7;
83826;06/01/1961;0000;26.1;24.7;89;980.8;9;1;10;
83826;06/01/1961;1200;19.6;19.1;96;981.5;5;1;10;
83826;06/01/1961;1800;26.5;22.7;71;984.4;18;1;10;
83826;07/01/1961;0000;22.9;21.7;90;985.4;23;1;10;
83826;07/01/1961;1200;21.3;20.2;90;987.8;18;1;3;
83826;07/01/1961;1800;29.9;23.5;56;986;27;1;6;
83826;08/01/1961;0000;23.8;22.8;91;985.5;5;1;0;
83826;08/01/1961;1200;24.1;22.6;87;987.5;5;1;10;
83826;08/01/1961;1800;30.1;25.4;66;986;9;1;10;
83826;09/01/1961;0000;26.8;24.8;84;985.4;5;1;0;
83826;09/01/1961;1200;24.9;23.1;86;987.6;5;3;8;
83826;09/01/1961;1800;31.6;25.7;61;985.9;5;5;6;
83826;10/01/1961;0000;27.3;25.2;84;984.6;0;0;0;
83826;10/01/1961;1200;26.1;24.3;85;987.4;32;1;10;
83826;10/01/1961;1800;30.8;27.2;74;987.4;0;0;10;
83826;11/01/1961;0000;20.9;20.7;98;988.8;23;1;10;
83826;11/01/1961;1200;21.4;20.6;93;990;23;1;10;
83826;11/01/1961;1800;29.9;23.8;58;987.6;23;1;1;
83826;12/01/1961;0000;25.8;24.3;88;986.6;0;0;0;
83826;12/01/1961;1200;25.9;23.8;83;989.5;9;2;0;
83826;12/01/1961;1800;33.9;25.8;50;987.2;36;1;3;
83826;13/01/1961;0000;25.6;23.9;86;987.8;5;1;0;
83826;13/01/1961;1200;24.9;22.8;83;988.2;14;1;2;
83826;13/01/1961;1800;34.9;25.6;45;986;36;1;6;
83826;14/01/1961;0000;27.4;24.7;79;985;5;1;0;
83826;14/01/1961;1200;19.8;18.8;91;987.2;32;1;10;
83826;14/01/1961;1800;32.9;26;56;986.2;36;2;10;
83826;15/01/1961;0000;26.1;24.9;90;984.4;0;0;0;
83826;15/01/1961;1200;26.2;24.3;85;986.7;32;1;2;
83826;15/01/1961;1800;33.9;26.3;53;986.8;32;1;5;
83826;16/01/1961;0000;29;25.7;76;987.2;0;0;0;
83826;16/01/1961;1200;26.9;24.9;84;987.9;32;1;3;
83826;16/01/1961;1800;34.9;26.3;48;985.4;36;2;4;
83826;17/01/1961;0000;27.6;25.9;87;985.9;36;2;0;
83826;17/01/1961;1200;26.5;23.7;78;989.9;32;1;3;
83826;17/01/1961;1800;34.8;26.6;51;988.6;36;3;10;
83826;18/01/1961;0000;26.9;25.6;90;989.9;18;2;10;
83826;18/01/1961;1200;24.4;23.3;91;992.3;5;1;7;
83826;18/01/1961;1800;31.9;26.4;63;991.6;36;1;6;
83826;19/01/1961;0000;26.9;25.1;86;989.9;36;2;10;
83826;19/01/1961;1200;25.3;23.6;87;993.4;36;2;10;
83826;19/01/1961;1800;33;26.4;58;991.5;5;1;10;
83826;20/01/1961;0000;25.6;24.3;89;990.8;5;1;0;
83826;20/01/1961;1200;25.4;23.7;87;991.2;32;2;2;
83826;20/01/1961;1800;33.9;25.8;50;988.2;32;2;5;
83826;21/01/1961;0000;28.4;26.7;87;989.2;5;1;0;
83826;21/01/1961;1200;25.6;24.6;92;990.8;14;1;2;
83826;21/01/1961;1800;36;27.4;50;988;23;2;6;
83826;22/01/1961;0000;25.1;24.2;93;991;36;1;10;
83826;22/01/1961;1200;25.6;24.2;89;990.4;14;2;0;
83826;22/01/1961;1800;34.3;26.8;54;989;14;1;0;
83826;23/01/1961;0000;29.9;25.2;67;987.9;0;0;5;
83826;23/01/1961;1200;27.2;23.9;75;988.6;9;1;3;
83826;23/01/1961;1800;34.9;26.4;49;987.4;32;1;4;
83826;24/01/1961;0000;25.2;24.6;95;987.6;0;0;0;
83826;24/01/1961;1200;26.3;24.3;84;989.6;32;1;0;
83826;24/01/1961;1800;34.5;26;49;988.7;18;1;6;
83826;25/01/1961;0000;26.2;25;90;988.8;14;1;0;
83826;25/01/1961;1200;22.5;20.7;85;988.3;23;1;4;
83826;25/01/1961;1800;35;25.7;45;988.8;18;2;3;
83826;26/01/1961;0000;26.6;22.7;70;990.6;18;1;0;
83826;26/01/1961;1200;24.6;20;64;991.6;18;2;3;
83826;26/01/1961;1800;30.9;23.7;52;991.8;23;1;6;
83826;27/01/1961;0000;21.8;20.2;86;993.6;5;1;7;
83826;27/01/1961;1200;21;18.4;77;995.2;9;2;10;
83826;27/01/1961;1800;24.3;22.1;82;994.8;14;3;10;
83826;28/01/1961;0000;19.4;18.4;90;994.4;14;2;10;
