<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83828</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TOLEDO - PR (OMM: 83828)
Latitude  (graus) : -24.4
Longitude (graus) : -53.73
Altitude  (metros): 574.20
Esta��o Desativada
Inicio de opera��o: 01/01/1975
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83828;01/08/1975;1200;18.2;13.8;62;953.2;9;3.6;0;
83828;01/08/1975;1800;27;20.1;54;949.9;5;5.7;0;
83828;02/08/1975;0000;18.2;16.7;86;949.6;5;1.5;;
83828;02/08/1975;1200;18.3;16.4;83;950.6;5;4.6;0;
83828;02/08/1975;1800;28.2;20;48;946.2;5;3.6;0;
83828;03/08/1975;1200;19.2;18.3;92;949.8;5;3.1;2;
83828;03/08/1975;1800;28.2;22.6;63;946.7;5;3.6;5;
83828;04/08/1975;0000;23.4;18;60;948.8;0;0;;
83828;04/08/1975;1200;22;18.8;74;950.6;0;0;3;
83828;04/08/1975;1800;28;23;66;946.8;32;2.1;2;
83828;05/08/1975;0000;20.4;18.3;82;947.4;5;3.1;;
83828;05/08/1975;1200;21.8;19;77;948.2;5;2.6;4;
83828;05/08/1975;1800;26.8;23;73;945.6;27;2.1;8;
83828;06/08/1975;0000;22.6;20.8;85;946.8;0;0;;
83828;06/08/1975;1200;17.3;17;97;946.7;14;3.1;10;
83828;06/08/1975;1800;21;19.8;90;946.3;9;3.1;8;
83828;07/08/1975;0000;18.4;17.2;89;948.6;9;3.1;;
83828;07/08/1975;1200;16.5;16.1;96;951.1;5;3.1;7;
83828;07/08/1975;1800;18;17.6;96;949.2;5;3.6;3;
83828;08/08/1975;0000;18;17.4;94;951.6;0;0;;
83828;08/08/1975;1200;17.2;17;98;948.4;14;4.1;10;
83828;08/08/1975;1800;19;18.2;93;951.6;9;4.1;10;
83828;09/08/1975;0000;17.9;17.2;93;953.2;0;0;;
83828;09/08/1975;1200;15.9;15.8;99;954.2;14;1;10;
83828;09/08/1975;1800;20.4;18.2;81;950.4;5;3.6;10;
83828;10/08/1975;0000;14.1;14.1;100;952.8;27;2.6;;
83828;10/08/1975;1200;13.2;13;98;951.5;27;5;10;
83828;10/08/1975;1800;9.6;9.4;98;951.6;27;2.6;10;
83828;11/08/1975;0000;13.2;13;98;954.2;0;0;;
83828;11/08/1975;1200;7.9;7.1;90;956;5;1;2;
83828;11/08/1975;1800;15.5;13.2;77;954;0;0;0;
83828;12/08/1975;0000;11.2;10;85;954.3;0;0;;
83828;12/08/1975;1200;16.9;13.2;67;954.6;9;3.6;3;
83828;12/08/1975;1800;25.3;21.3;71;952.4;5;5.1;0;
83828;13/08/1975;0000;20.2;12.4;40;953.2;9;2.6;;
83828;13/08/1975;1200;20.4;17;72;956.2;9;3.1;0;
83828;13/08/1975;1800;28;23.5;69;955.5;0;0;0;
83828;14/08/1975;0000;20.4;18;78;956.3;18;3.1;;
83828;14/08/1975;1200;20;11.9;38;957.5;9;5.1;0;
83828;14/08/1975;1800;25.8;20.8;65;955.5;9;6.2;0;
83828;15/08/1975;0000;19.7;16.6;75;956.2;9;5.1;;
83828;15/08/1975;1200;17;14.4;76;958.2;9;5.7;0;
83828;15/08/1975;1800;24.4;18.7;59;955.9;5;4.1;0;
83828;16/08/1975;0000;20.1;17;75;957;0;0;;
83828;16/08/1975;1200;19;17.4;86;958.6;5;1.5;0;
83828;16/08/1975;1800;25.8;21.8;72;956.8;32;2.6;2;
83828;17/08/1975;0000;17.2;16.2;90;957.4;23;3.1;;
83828;17/08/1975;1200;14.2;14;98;959.5;27;3.1;8;
83828;17/08/1975;1800;20.9;19;84;955.8;9;3.6;1;
83828;18/08/1975;0000;16.2;15.7;95;956;9;2.6;;
83828;18/08/1975;1200;17;14.9;80;955.1;9;3.6;0;
83828;18/08/1975;1800;22.6;19.3;73;952.6;9;3.1;0;
83828;19/08/1975;0000;18;16;82;951.8;5;2.1;;
83828;19/08/1975;1200;18.5;15.8;76;953.5;9;3.6;2;
83828;19/08/1975;1800;25.4;20.8;67;951.1;5;3.1;1;
83828;20/08/1975;0000;19.8;16.8;75;951;9;3.6;;
83828;20/08/1975;1200;20;16.7;73;953.4;5;3.6;2;
83828;20/08/1975;1800;27.4;21.7;61;949.9;5;5.1;0;
83828;21/08/1975;0000;22.4;18.4;69;951.5;0;0;;
83828;21/08/1975;1200;20;16.4;67;951.6;5;3.1;0;
83828;21/08/1975;1800;28;21.4;57;950;9;4.6;1;
83828;22/08/1975;0000;21;17.2;70;950.6;9;2.6;;
83828;22/08/1975;1200;20.7;16.2;65;950;9;5.1;10;
83828;22/08/1975;1800;28.6;26;82;946;5;5.7;0;
83828;23/08/1975;0000;23.4;21.3;82;946.4;5;4.6;;
83828;23/08/1975;1200;17.6;16.9;93;951;0;0;5;
83828;23/08/1975;1800;23.9;21.4;79;948.7;27;3.6;1;
