<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83836</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : IRATI - PR (OMM: 83836)
Latitude  (graus) : -25.46
Longitude (graus) : -50.63
Altitude  (metros): 836.95
Esta��o Operante
Inicio de opera��o: 24/09/1966
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83836;24/09/1966;1200;7.8;6.4;82;;14;1;3;
83836;24/09/1966;1800;21.6;14.1;41;;0;0;1;
83836;25/09/1966;0000;13.4;9.8;62;;14;2;0;
83836;25/09/1966;1200;11.9;9.4;71;;14;3;0;
83836;25/09/1966;1800;25.5;15.8;34;;32;3;0;
83836;26/09/1966;0000;19.4;17.2;81;;0;0;0;
83836;26/09/1966;1200;17.2;14;69;;9;1;0;
83836;26/09/1966;1800;27.1;17.1;35;;27;5;3;
83836;27/09/1966;0000;15.2;13;77;;;;0;
83836;27/09/1966;1200;11.4;11.1;96;;9;3;10;
83836;27/09/1966;1800;14.2;12.2;79;;14;5;10;
83836;28/09/1966;0000;11.1;10.2;90;;14;6;0;
83836;28/09/1966;1200;13;11.9;89;;14;7;10;
83836;28/09/1966;1800;14.1;12;78;;9;7;10;
83836;29/09/1966;0000;12;11;89;;14;3;0;
83836;29/09/1966;1200;12.3;12;96;;14;3;10;
83836;29/09/1966;1800;18.8;15.6;71;;9;3;10;
83836;30/09/1966;0000;15;14;90;;9;5;0;
83836;30/09/1966;1200;17.8;15.6;79;;5;3;3;
83836;30/09/1966;1800;26.8;18.4;43;;36;6;1;
83836;01/10/1966;0000;20;15.6;63;;5;1;0;
83836;01/10/1966;1200;20.4;16.8;70;;5;3;2;
83836;01/10/1966;1800;28.8;18.8;37;;32;3;4;
83836;02/10/1966;0000;18.6;15.8;74;;0;0;0;
83836;02/10/1966;1200;22;17.2;62;;9;1;3;
83836;02/10/1966;1800;27.4;19.8;49;;32;7;9;
83836;03/10/1966;0000;20.4;18.4;83;;18;1;4;
83836;03/10/1966;1200;16.8;16;92;;18;7;10;
83836;03/10/1966;1800;17;16.6;96;;5;3;10;
83836;04/10/1966;0000;16.4;16.2;98;;32;3;10;
83836;04/10/1966;1200;16.2;15.2;89;;9;12;10;
83836;04/10/1966;1800;15.6;13.6;80;;9;7;10;
83836;05/10/1966;0000;13.4;12;85;;9;5;10;
83836;05/10/1966;1200;11.2;10.8;96;;9;5;10;
83836;05/10/1966;1800;14;13;90;;9;5;10;
83836;06/10/1966;0000;13;12.4;94;;14;5;10;
83836;06/10/1966;1200;13.2;12.8;96;;9;3;10;
83836;06/10/1966;1800;13.8;13.6;97;;14;1;10;
83836;07/10/1966;0000;13;12.8;98;;9;3;10;
83836;07/10/1966;1200;13.2;13;98;;9;3;10;
83836;07/10/1966;1800;14.2;12.8;86;;9;1.2;10;
83836;08/10/1966;0000;14;13.6;95;;9;1;0;
83836;08/10/1966;1200;14.2;14;98;;0;0;10;
83836;08/10/1966;1800;19;17.6;86;;0;0;10;
83836;09/10/1966;0000;16.8;16.2;94;;0;0;0;
83836;09/10/1966;1200;16;15.2;91;;14;1;10;
83836;09/10/1966;1800;23.4;18.4;62;;0;0;5;
83836;10/10/1966;0000;20.4;15.8;61;;0;0;0;
83836;10/10/1966;1200;13.2;12.6;94;;9;1;10;
83836;10/10/1966;1800;20.3;17.4;75;;0;0;3;
83836;11/10/1966;0000;18.4;14.8;68;;0;0;0;
83836;11/10/1966;1200;14.6;14;94;;9;3;4;
83836;11/10/1966;1800;22.8;19.4;72;;32;7;5;
83836;12/10/1966;0000;21.6;18.2;74;;0;0;0;
83836;12/10/1966;1200;16.8;16.4;96;;5;3;10;
83836;12/10/1966;1800;21.2;18.8;79;;5;5;10;
83836;13/10/1966;0000;19;17.4;85;;27;2;0;
