<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83839</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMPO LARGO - PR (OMM: 83839)
Latitude  (graus) : -25.46
Longitude (graus) : -49.43
Altitude  (metros): 922.33
Esta��o Desativada
Inicio de opera��o: 01/01/1971
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83839;01/11/1971;1200;16.3;15.5;;912;36;4;8;
83839;01/11/1971;1800;17.8;16;83;909.6;0;0;8;
83839;02/11/1971;0000;15.2;14.6;94;909.1;0;0;9;
83839;02/11/1971;1200;16.5;15.2;86;906;36;2;7;
83839;02/11/1971;1800;22.1;17.1;60;902.4;32;4;5;
83839;03/11/1971;0000;16.2;15;87;903.6;0;0;7;
83839;03/11/1971;1200;18.9;15.4;69;902.8;27;4;7;
83839;03/11/1971;1800;22.8;17;55;899.9;36;4;7;
83839;04/11/1971;0000;14.2;12.2;79;902.4;32;2;7;
83839;04/11/1971;1200;17;13.7;68;905.8;27;6;;
83839;04/11/1971;1800;23.3;14.1;34;905.5;27;5;;
83839;05/11/1971;0000;12.8;11;80;908.6;18;1;;
83839;05/11/1971;1200;19.6;14.1;53;910.7;27;4;;
83839;05/11/1971;1800;26.4;16.4;33;908.6;32;3;;
83839;06/11/1971;0000;16.2;15.2;89;910.8;0;0;;
83839;06/11/1971;1200;17.2;14;69;915.2;23;3;9;
83839;06/11/1971;1800;26.1;15.4;29;913.6;18;5;2;
83839;07/11/1971;0000;14;12.2;81;914.8;0;0;;
83839;07/11/1971;1200;14.3;12.6;82;918.3;14;5;9;
83839;07/11/1971;1800;26.4;16.4;33;908.6;32;3;;
83839;08/11/1971;0000;16.2;15.2;89;910.8;0;0;;
83839;08/11/1971;1200;15.4;12.2;68;917.8;14;2;8;
83839;08/11/1971;1800;24.2;16;40;913.5;0;0;2;
83839;09/11/1971;0000;15;13.9;89;912.8;0;0;;
83839;09/11/1971;1200;19.5;16.5;73;912.6;32;1;2;
83839;09/11/1971;1800;25.2;19;55;908.7;0;0;8;
83839;10/11/1971;0000;18.8;16;75;907.9;0;0;7;
83839;10/11/1971;1200;18.1;15.6;77;910;0;0;4;
83839;10/11/1971;1800;25.6;17.7;44;906.8;14;1;6;
83839;11/11/1971;0000;15.2;14.2;90;909;9;4;4;
83839;11/11/1971;1200;17.8;14.8;72;910.2;5;4;2;
83839;11/11/1971;1800;29.6;17.5;27;906.3;32;7;2;
83839;12/11/1971;0000;21.8;17;61;906.7;0;0;3;
83839;12/11/1971;1200;22.9;17.6;59;908.4;23;3;7;
83839;12/11/1971;1800;27.7;17.6;34;906.7;23;3;8;
83839;13/11/1971;0000;17.6;16.2;86;909.4;9;5;5;
83839;13/11/1971;1200;16;13.9;79;910.2;5;4;9;
83839;13/11/1971;1800;19.5;15.8;68;903.1;36;1;3;
83839;14/11/1971;0000;14.1;12.8;87;910.8;5;3;2;
83839;14/11/1971;1200;16.2;13.6;74;912.4;0;0;6;
83839;14/11/1971;1800;24.7;15.5;35;911.2;23;1;4;
83839;15/11/1971;0000;15.7;14.2;85;910.8;0;0;9;
83839;15/11/1971;1200;20.4;14.5;51;912.2;5;2;;
83839;15/11/1971;1800;27.2;15.3;24;909.6;0;0;2;
83839;16/11/1971;0000;15.3;12;67;912;0;0;;
83839;16/11/1971;1200;21.1;12.5;33;912.2;9;3;2;
83839;16/11/1971;1800;27.1;14.8;23;903.5;9;7;2;
83839;17/11/1971;0000;15.5;14;85;910.8;9;3;;
83839;17/11/1971;1200;18.5;15.2;70;911.2;36;2;;
83839;17/11/1971;1800;29.8;18.9;33;907.4;32;4;4;
83839;18/11/1971;0000;19;17.5;86;908.3;0;0;;
83839;18/11/1971;1200;21;19;83;910.4;32;1;;
83839;18/11/1971;1800;26.5;20.1;55;906.8;14;1;8;
83839;19/11/1971;0000;16.6;15.3;87;911.1;9;3;7;
83839;19/11/1971;1200;14.6;12.3;76;914.4;14;4;9;
83839;19/11/1971;1800;17;14.6;77;913.9;14;5;9;
83839;20/11/1971;0000;12.5;10;72;914.7;9;5;6;
83839;20/11/1971;1200;12.5;10.6;78;915.9;9;8;9;
83839;20/11/1971;1800;15;11.8;68;915.1;9;5;8;
83839;21/11/1971;0000;11.2;9.8;84;916.2;9;3;5;
83839;21/11/1971;1200;13.2;11.7;84;917.1;9;4;8;
83839;21/11/1971;1800;14.5;12.3;77;916.7;9;7;8;
83839;22/11/1971;0000;11.8;11.1;92;916.8;9;3;7;
83839;22/11/1971;1200;15;12.4;74;915.8;9;5;6;
83839;22/11/1971;1800;17.8;14.2;68;914.3;5;7;6;
83839;23/11/1971;0000;13.2;12.2;89;915;9;3;5;
83839;23/11/1971;1200;15.9;12.9;70;914.3;9;7;8;
83839;23/11/1971;1800;17.3;14.4;72;911.5;5;3;9;
83839;24/11/1971;0000;14.6;13.4;88;910.7;9;5;;
83839;24/11/1971;1200;16.3;14.3;80;909.8;5;1;9;
83839;24/11/1971;1800;24.4;17.2;47;906;0;0;6;
83839;25/11/1971;0000;17.6;16.1;86;908.3;0;0;;
83839;25/11/1971;1800;19.5;16.4;72;907.2;32;3;8;
83839;26/11/1971;0000;15.6;15;93;909.4;5;3;;
83839;26/11/1971;1200;15.9;15.4;95;913.1;0;0;9;
83839;26/11/1971;1800;12.6;11.9;93;913.6;5;5;8;
83839;27/11/1971;0000;12.5;12.1;95;915;14;3;9;
83839;27/11/1971;1200;15.6;13.8;82;916.6;5;2;8;
83839;27/11/1971;1800;18.9;16.6;79;915.1;9;3;8;
83839;28/11/1971;0000;14.5;13.9;94;916.7;9;4;6;
83839;28/11/1971;1200;17.7;15.3;78;916.3;5;4;8;
83839;28/11/1971;1800;22.5;17.7;62;912.3;5;6;3;
83839;29/11/1971;0000;16.5;15.4;89;913.8;9;5;;
83839;29/11/1971;1200;18.2;15.3;73;914.2;5;1;5;
83839;29/11/1971;1800;23.9;17.6;53;910.7;0;0;3;
83839;30/11/1971;0000;17.2;16;88;911.5;9;3;6;
83839;30/11/1971;1200;16.9;16.4;95;911.4;0;0;9;
83839;30/11/1971;1800;22.4;19.9;79;907.9;36;1;8;
83839;01/12/1971;0000;18.6;18;94;909.5;0;0;9;
83839;01/12/1971;1200;19.9;18.3;86;908.6;27;3;8;
83839;01/12/1971;1800;25.8;19.3;54;905.1;32;3;6;
83839;02/12/1971;0000;16.6;15.9;93;907.1;0;0;3;
83839;02/12/1971;1200;21.4;18.5;76;906;36;2;2;
83839;02/12/1971;1800;28;18.4;37;903.1;32;4;7;
83839;03/12/1971;0000;20.4;17.3;73;904.4;0;0;8;
83839;03/12/1971;1200;20.2;18.8;87;902.8;32;9;8;
83839;03/12/1971;1800;22.7;18.3;64;901.6;32;9;5;
83839;04/12/1971;0000;18.3;15.6;75;904.6;32;1;0;
83839;04/12/1971;1200;19.6;17.6;82;906.7;23;2;7;
83839;04/12/1971;1800;26.6;18.9;47;906.8;32;4;6;
83839;05/12/1971;0000;18.4;17.2;88;910.4;9;3;2;
83839;05/12/1971;1200;12.3;8.1;55;915.6;23;1;8;
83839;05/12/1971;1800;18.7;13.4;53;914;14;3;3;
83839;06/12/1971;0000;11.3;9.4;78;915.2;14;5;;
83839;06/12/1971;1200;14.3;11.1;67;915;9;5;6;
83839;06/12/1971;1800;20.9;14.9;51;912.8;9;3;2;
