<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83840</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CURITIBA - AEROPORTO - PR (OMM: 83840)
Latitude  (graus) : -25.53
Longitude (graus) : -49.17
Altitude  (metros): 930.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83840;01/01/2015;0000;20.6;;77;911.5;30;4.62996;3.75;
83840;01/01/2015;0600;19.2;;87;909.9;3;2.5722;2.5;
83840;01/01/2015;1200;26;;64;911.3;34;7.20216;6.25;
83840;01/01/2015;1800;24.2;;74;909.6;29;6.17328;8.75;
83840;02/01/2015;0000;22.7;;81;909.5;36;2.5722;7.5;
83840;02/01/2015;0600;22.1;;72;909;30;5.1444;3.75;
83840;02/01/2015;1200;24.6;;61;911.7;28;4.62996;7.5;
83840;02/01/2015;1800;29.6;;41;910.5;31;7.7166;8.75;
83840;03/01/2015;0000;19.9;;92;913.2;9;3.60108;8.75;
83840;03/01/2015;0600;17.9;;93;912.9;10;4.62996;10;
83840;03/01/2015;1200;19.6;;85;915.2;9;3.60108;10;
83840;03/01/2015;1800;20.2;;84;914.6;12;3.08664;10;
83840;04/01/2015;0000;17.7;;90;914.8;7;2.05776;8.75;
83840;04/01/2015;0600;17.9;;92;914;9;1.54332;10;
83840;04/01/2015;1200;19.7;;92;916.5;36;1.54332;10;
83840;04/01/2015;1800;25.8;;56;913.7;1;3.08664;8.75;
83840;05/01/2015;0000;19.8;;93;915.2;13;2.05776;8.75;
83840;05/01/2015;0600;19.1;;94;914.5;11;2.05776;10;
83840;05/01/2015;1200;20.7;;87;916.4;9;3.60108;10;
83840;05/01/2015;1800;24.3;;71;915.4;12;5.1444;6.25;
83840;06/01/2015;0000;19.8;;92;915.6;10;3.08664;10;
83840;06/01/2015;0600;19.6;;93;915.5;4;2.05776;8.75;
83840;06/01/2015;1200;23.6;;71;916.3;1;2.5722;3.75;
