<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83842</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CURITIBA - PR (OMM: 83842)
Latitude  (graus) : -25.43
Longitude (graus) : -49.26
Altitude  (metros): 923.50
Esta��o Operante
Inicio de opera��o: 01/01/1911
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83842;01/01/1961;0000;18.6;;94;903.8;0;0;10;
83842;01/01/1961;1200;19;18.4;94;903;32;1.5;10;
83842;01/01/1961;1800;20.2;19.4;92;901;0;0;10;
83842;02/01/1961;0000;18.2;17.8;96;901.6;0;0;10;
83842;02/01/1961;1200;19.4;18.6;92;901.8;0;0;10;
83842;02/01/1961;1800;25.6;20.8;64;899.9;23;2.6;8;
83842;03/01/1961;0000;20.4;19.6;92;901.4;5;2.3;3;
83842;03/01/1961;1200;23;20.2;78;902.7;0;0;4;
83842;03/01/1961;1800;28;22.2;59;900.6;9;2.9;7;
83842;04/01/1961;0000;19.6;18.6;91;902.6;9;2.6;10;
83842;04/01/1961;1200;17.6;16.6;90;902.8;0;0;10;
83842;04/01/1961;1800;27.2;20.9;55;901.2;27;1.8;8;
83842;05/01/1961;0000;19.2;18.6;94;902.3;14;3.9;10;
83842;05/01/1961;1200;20.2;18.8;87;904.8;9;1.3;10;
83842;05/01/1961;1800;27.2;20.3;53;902;36;2;8;
83842;06/01/1961;0000;18.8;17.9;91;902.7;9;4.2;10;
83842;06/01/1961;1200;20.6;18.6;83;901.5;32;7.6;10;
83842;06/01/1961;1800;21.9;20.1;85;898.2;32;3.2;10;
83842;07/01/1961;0000;20;18;82;900.4;23;1.6;8;
83842;07/01/1961;1200;18.1;15.8;78;905.9;14;4.3;10;
83842;07/01/1961;1800;20.6;17.6;74;905.2;9;3.2;10;
83842;08/01/1961;0000;16.4;15.4;90;905.6;9;3.9;10;
83842;08/01/1961;1200;18.4;16;78;907.4;9;2.8;10;
83842;08/01/1961;1800;23.6;19.2;66;905.6;9;3.4;10;
