<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83843</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTO AMARO - SP (OMM: 83843)
Latitude  (graus) : -23.38
Longitude (graus) : -46.63
Altitude  (metros): 746.00
Esta��o Desativada
Inicio de opera��o: 01/01/1956
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83843;01/01/1961;1200;22;21;91;;0;0;10;
83843;01/01/1961;1800;24.6;21.5;75;;32;3;9;
83843;02/01/1961;0000;21;20.4;94;;0;0;10;
83843;02/01/1961;1200;22.3;21.2;91;;32;3;10;
83843;02/01/1961;1800;20.3;19.7;92;;0;0;10;
83843;03/01/1961;0000;20.1;19.2;92;;0;0;9;
83843;03/01/1961;1200;22.4;20.4;83;;0;0;9;
83843;03/01/1961;1800;25.6;22.8;78;;14;3;6;
83843;04/01/1961;0000;21;20;91;;0;0;5;
83843;04/01/1961;1200;21;20;91;;14;1;10;
83843;04/01/1961;1800;24.6;22.3;81;;14;2;10;
83843;05/01/1961;0000;21;20.1;92;;0;0;10;
83843;05/01/1961;1200;21.2;20.2;91;;0;0;10;
83843;05/01/1961;1800;25;22;76;;14;3;7;
83843;06/01/1961;0000;20.7;19.8;92;;14;1;10;
83843;06/01/1961;1200;24;21.5;79;;32;6;9;
83843;06/01/1961;1800;27;23;70;;32;3;10;
83843;07/01/1961;0000;23;21.6;88;;32;3;10;
83843;07/01/1961;1200;20.8;19.7;90;;23;3;10;
83843;07/01/1961;1800;21.7;19.5;80;;23;3;10;
83843;08/01/1961;0000;19.3;19;97;;14;1;10;
83843;08/01/1961;1200;20;19.5;95;;14;3;10;
83843;08/01/1961;1800;20.7;19.7;91;;14;6;10;
83843;09/01/1961;0000;19.2;18.8;96;;14;1;10;
83843;09/01/1961;1200;22.1;20.6;87;;14;1;10;
83843;09/01/1961;1800;23.5;21.5;83;;14;3;8;
83843;10/01/1961;0000;21.1;20.4;93;;14;1;10;
83843;10/01/1961;1200;23;21.5;87;;14;1;7;
83843;10/01/1961;1800;26;23.9;83;;14;2;10;
83843;11/01/1961;0000;22.4;21.2;90;;0;0;10;
83843;11/01/1961;1200;23.4;21.1;81;;14;1;8;
83843;11/01/1961;1800;25.5;21.6;70;;14;3;4;
83843;12/01/1961;0000;20.6;19.5;90;;14;5;2;
83843;12/01/1961;1200;23.7;20.8;75;;14;1;6;
83843;12/01/1961;1800;24.9;21.9;76;;14;7;4;
83843;13/01/1961;0000;21.3;20.8;95;;0;0;5;
83843;13/01/1961;1200;23;20.6;80;;9;1;3;
83843;13/01/1961;1800;28.6;23.8;66;;14;1;3;
83843;14/01/1961;0000;22.2;20.7;87;;14;3;10;
83843;14/01/1961;1200;23.6;21;78;;32;6;5;
83843;14/01/1961;1800;26.3;23.1;75;;23;3;8;
83843;15/01/1961;0000;22.5;21;87;;0;0;0;
83843;15/01/1961;1200;26;22;66;;32;1;7;
83843;15/01/1961;1800;28;23;65;;32;1;5;
83843;16/01/1961;0000;22.2;21.6;94;;0;0;0;
83843;16/01/1961;1200;23.5;21;79;;23;1;8;
83843;16/01/1961;1800;30.4;23.5;55;;32;5;6;
83843;17/01/1961;0000;23.6;22.2;86;;0;0;8;
83843;17/01/1961;1200;25.6;21.6;70;;32;1;7;
83843;17/01/1961;1800;30.5;23.6;55;;32;5;4;
83843;18/01/1961;0000;23.8;21.5;81;;0;0;8;
83843;18/01/1961;1200;26.5;22.4;68;;27;1;5;
83843;18/01/1961;1800;30.3;25.6;68;;14;3;8;
83843;19/01/1961;0000;20.2;19.8;96;;0;0;10;
83843;19/01/1961;1200;24.5;21.7;77;;0;0;7;
83843;19/01/1961;1800;25.1;23.2;85;;0;0;9;
83843;20/01/1961;0000;20;19.2;93;;5;1;10;
83843;20/01/1961;1200;23.6;21.6;83;;5;1;8;
83843;20/01/1961;1800;29.2;24.5;68;;0;0;6;
83843;21/01/1961;0000;22.2;21.4;92;;0;0;8;
83843;21/01/1961;1200;23.6;21.6;83;;0;0;8;
83843;21/01/1961;1800;29.3;24.9;68;;14;1;8;
83843;22/01/1961;0000;22.4;21.4;91;;0;0;9;
83843;22/01/1961;1200;24;22.1;84;;0;0;7;
83843;22/01/1961;1800;24.5;22.5;83;;14;1;9;
83843;23/01/1961;0000;22.5;21;87;;0;0;10;
83843;23/01/1961;1200;23.5;21;79;;14;1;8;
83843;23/01/1961;1800;24.3;21.9;80;;0;0;6;
83843;24/01/1961;0000;20.4;20;96;;14;1;10;
83843;24/01/1961;1200;21;20.1;92;;14;3;10;
83843;24/01/1961;1800;26.3;22.5;72;;9;4;4;
83843;25/01/1961;0000;21;20;91;;0;0;2;
83843;25/01/1961;1200;23.4;21;83;;14;1;9;
83843;25/01/1961;1800;24.4;21.6;77;;14;3;8;
83843;26/01/1961;0000;20.5;19.7;92;;14;3;10;
83843;26/01/1961;1200;22;19.5;78;;14;6;10;
83843;26/01/1961;1800;22.3;18.6;70;;14;3;10;
83843;27/01/1961;0000;18.5;18;95;;14;1;10;
83843;27/01/1961;1200;17.5;17;95;;0;0;10;
