<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83845</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CANANEIA - SP (OMM: 83845)
Latitude  (graus) : -25.01
Longitude (graus) : -47.93
Altitude  (metros): 5.10
Esta��o Desativada
Inicio de opera��o: 01/01/1906
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83845;01/01/1961;1200;27.6;25.6;85;;5;2;9;
83845;01/01/1961;1800;28;26;85;;14;2;10;
83845;02/01/1961;0000;24;23.5;96;;14;2;10;
83845;02/01/1961;1200;24.2;23;90;;23;2;10;
83845;02/01/1961;1800;27.4;23.2;69;;23;2;9;
83845;03/01/1961;0000;23.2;22.6;95;;0;0;2;
83845;03/01/1961;1200;27.6;24.2;75;;14;2;8;
83845;03/01/1961;1800;27;24.2;79;;14;3;1;
83845;04/01/1961;0000;24.6;23.2;89;;14;2;9;
83845;04/01/1961;1200;25.7;23;78;;0;0;9;
83845;04/01/1961;1800;27.8;24.4;74;;14;3;1;
83845;05/01/1961;0000;24.6;23.5;91;;14;3;5;
83845;05/01/1961;1200;24.2;23.2;92;;0;0;9;
83845;05/01/1961;1800;26.2;23.2;77;;14;2;9;
83845;06/01/1961;0000;24.2;23;90;;14;2;1;
83845;06/01/1961;1200;26.9;24.4;81;;36;2;9;
83845;06/01/1961;1800;28.2;25.8;82;;9;2;9;
83845;07/01/1961;0000;25.8;25.2;96;;0;0;1;
83845;07/01/1961;1200;24;22.3;85;;23;2;10;
83845;07/01/1961;1800;24.8;22;77;;18;3;9;
83845;08/01/1961;0000;22;21.8;98;;0;0;1;
83845;08/01/1961;1200;24.4;21.2;74;;23;2;10;
83845;08/01/1961;1800;24.2;20.8;72;;18;2;10;
83845;09/01/1961;0000;22.4;21;88;;0;0;2;
83845;09/01/1961;1200;23.2;22.4;93;;14;2;10;
83845;09/01/1961;1800;27;24;77;;14;3;9;
83845;10/01/1961;0000;24.6;23.6;92;;14;3;10;
83845;10/01/1961;1200;26.6;24.5;84;;0;0;9;
83845;10/01/1961;1800;27.6;25.4;83;;14;3;9;
83845;11/01/1961;0000;25.6;24.4;90;;9;2;10;
83845;11/01/1961;1200;26.6;24.2;81;;14;2;9;
83845;11/01/1961;1800;27.6;24.2;75;;14;3;2;
83845;12/01/1961;0000;24.4;23.2;90;;18;3;7;
83845;12/01/1961;1200;25.8;23.6;83;;0;0;8;
83845;12/01/1961;1800;27.6;24.2;75;;14;2;9;
83845;13/01/1961;0000;25.8;23.8;84;;0;0;9;
83845;13/01/1961;1200;26.8;24.2;80;;9;3;9;
83845;13/01/1961;1800;27.6;24.2;75;;14;2;8;
83845;14/01/1961;0000;25;24;92;;9;2;10;
83845;14/01/1961;1200;28;25;77;;14;1;9;
83845;14/01/1961;1800;28.2;25.4;79;;14;3;1;
83845;15/01/1961;0000;26;24.2;86;;9;2;10;
83845;15/01/1961;1200;28.2;25.4;79;;14;2;8;
83845;15/01/1961;1800;28.4;25.5;78;;14;3;1;
83845;16/01/1961;0000;26.2;25;90;;9;2;5;
83845;16/01/1961;1200;28.9;26;79;;14;1;4;
83845;16/01/1961;1800;30.1;26.6;75;;9;0.4;1;
83845;17/01/1961;0000;26.2;25.4;93;;14;1;0;
83845;17/01/1961;1200;30.6;25.7;66;;14;2;1;
83845;17/01/1961;1800;35.6;26.8;49;;14;2;2;
83845;18/01/1961;0000;27.6;26.8;93;;14;1;2;
83845;18/01/1961;1200;29.6;25.4;69;;14;2;9;
83845;18/01/1961;1800;28;25.4;80;;23;2;10;
83845;19/01/1961;0000;23.9;23;92;;32;2;10;
83845;19/01/1961;1200;27.4;25.2;83;;23;2;10;
83845;19/01/1961;1800;28.2;25.8;82;;14;2;10;
83845;20/01/1961;0000;25;24.8;98;;0;0;10;
83845;20/01/1961;1200;27.7;26;87;;23;2;1;
83845;20/01/1961;1800;28.9;25.6;76;;14;3;1;
83845;21/01/1961;0000;26;25.2;94;;0;0;1;
83845;21/01/1961;1200;29.4;26.2;77;;14;2;2;
83845;21/01/1961;1800;29.4;26.2;77;;14;3;1;
83845;22/01/1961;0000;26.6;25.6;92;;14;2;2;
83845;22/01/1961;1200;29;25.4;73;;23;2;8;
83845;22/01/1961;1800;29;25;71;;14;2;9;
83845;23/01/1961;0000;27;24.6;82;;14;3;10;
83845;23/01/1961;1200;22.6;22.4;98;;23;2;10;
83845;23/01/1961;1800;25.2;22.6;80;;23;2;10;
83845;24/01/1961;0000;22.9;21.9;91;;23;2;9;
83845;24/01/1961;1200;26.6;23;72;;23;2;1;
83845;24/01/1961;1800;27.8;22.8;63;;14;3;1;
83845;25/01/1961;0000;25.6;22.9;78;;14;2;4;
83845;25/01/1961;1200;26.6;23.6;77;;23;2;9;
83845;25/01/1961;1800;28.2;23.8;68;;14;3;9;
83845;26/01/1961;0000;26.2;23;75;;14;4;6;
83845;26/01/1961;1200;22.7;22.4;98;;23;2;10;
83845;26/01/1961;1800;21.4;20.6;93;;18;4;10;
83845;27/01/1961;0000;24;21;75;;18;6;10;
83845;27/01/1961;1200;23.4;20.6;77;;23;3;10;
83845;27/01/1961;1800;25;19.8;60;;18;3;9;
83845;28/01/1961;0000;23.6;19.4;66;;14;4;5;
83845;28/01/1961;1200;20;20;100;;23;2;10;
83845;28/01/1961;1800;20.2;20.2;100;;23;3;10;
83845;29/01/1961;0000;18.4;18.4;100;;23;3;10;
83845;29/01/1961;1200;23.2;21.8;87;;23;2;10;
83845;29/01/1961;1800;25;22.8;82;;23;3;10;
83845;30/01/1961;0000;20.8;20.8;100;;23;2;10;
83845;30/01/1961;1200;23.9;22.2;86;;0;0;1;
83845;30/01/1961;1800;26.8;24.3;80;;14;3;3;
83845;31/01/1961;0000;21.8;21.2;95;;23;2;8;
83845;31/01/1961;1200;26.6;24.2;82;;0;0;2;
83845;31/01/1961;1800;26;24.8;90;;14;2;10;
83845;01/02/1961;0000;24.6;24.2;97;;14;2;5;
83845;01/02/1961;1200;27.2;24.6;81;;23;1;2;
83845;01/02/1961;1800;29;25.8;76;;9;3;1;
83845;02/02/1961;0000;26.6;25.4;90;;9;2;5;
83845;02/02/1961;1200;28.6;25.6;78;;14;2;1;
83845;02/02/1961;1800;30.4;26.4;72;;14;2;3;
83845;03/02/1961;0000;25.8;24.9;92;;9;1;9;
83845;03/02/1961;1200;26.9;23.9;77;;23;2;3;
83845;03/02/1961;1800;26.8;24.2;80;;14;2;9;
83845;04/02/1961;0000;25.2;24.4;93;;14;2;10;
83845;04/02/1961;1200;26.2;24.6;88;;23;2;10;
83845;04/02/1961;1800;27.4;23.2;69;;14;2;9;
83845;05/02/1961;0000;23.9;23.6;98;;23;2;5;
83845;05/02/1961;1200;26.2;24.8;89;;23;2;10;
83845;05/02/1961;1800;26.6;24.4;83;;18;2;10;
83845;06/02/1961;0000;24.8;24.2;96;;0;0;8;
83845;06/02/1961;1200;27.2;24.8;82;;14;2;2;
83845;06/02/1961;1800;27.6;25.4;83;;14;2;10;
83845;07/02/1961;0000;22.4;22;96;;0;0;10;
83845;07/02/1961;1200;27.6;24.6;78;;0;0;1;
83845;07/02/1961;1800;30.4;27;76;;9;2;1;
83845;08/02/1961;0000;24;23.6;97;;0;0;10;
83845;08/02/1961;1200;27.6;25.6;85;;23;1;6;
83845;08/02/1961;1800;27.4;24.6;79;;18;2;10;
83845;09/02/1961;0000;25.8;24.9;92;;23;2;10;
83845;09/02/1961;1200;23.2;23;98;;23;2;10;
83845;09/02/1961;1800;24;23.6;97;;23;2;10;
83845;10/02/1961;0000;23;22.6;97;;23;1;10;
83845;10/02/1961;1200;25.4;23.8;87;;0;0;3;
83845;10/02/1961;1800;26.4;24.2;83;;23;2;9;
83845;11/02/1961;0000;23.2;23;98;;0;0;10;
83845;11/02/1961;1200;25.2;24.4;93;;5;2;10;
83845;11/02/1961;1800;31.9;27.2;68;;14;2;2;
83845;12/02/1961;0000;27;26.6;97;;14;2;10;
83845;12/02/1961;1200;22.8;22.6;99;;23;2;10;
83845;12/02/1961;1800;28.2;23;63;;14;2;1;
83845;13/02/1961;0000;24.8;23;85;;0;0;3;
83845;13/02/1961;1200;27.6;23;66;;0;0;2;
83845;13/02/1961;1800;28.4;22.8;60;;14;2;1;
83845;14/02/1961;0000;22.2;21.4;92;;23;2;0;
83845;14/02/1961;1200;26.6;24;80;;23;2;2;
83845;14/02/1961;1800;27.6;23.2;67;;18;4;8;
83845;15/02/1961;0000;25;22;76;;18;4;10;
83845;15/02/1961;1200;23.2;22.4;93;;14;4;10;
83845;15/02/1961;1800;22.8;21.6;90;;14;5;10;
83845;16/02/1961;0000;21.6;20.8;93;;0;0;10;
83845;16/02/1961;1200;22.2;21.8;96;;14;4;10;
83845;16/02/1961;1800;24.2;22.9;89;;9;3;10;
83845;17/02/1961;0000;21;20.6;96;;14;3;7;
83845;17/02/1961;1200;22.8;22.6;99;;14;4;10;
83845;17/02/1961;1800;24.2;22.6;87;;14;3;10;
83845;18/02/1961;0000;22.6;22.6;100;;14;2;10;
83845;18/02/1961;1200;24.2;23.6;95;;9;1;10;
83845;18/02/1961;1800;23.6;23.6;100;;14;2;10;
83845;19/02/1961;0000;22.6;22.4;98;;0;0;10;
83845;19/02/1961;1200;26.2;24.2;85;;0;0;2;
83845;19/02/1961;1800;28.1;25.2;78;;14;2;7;
83845;20/02/1961;0000;23.6;22.8;93;;0;0;5;
83845;20/02/1961;1200;26.6;23.6;77;;5;2;1;
83845;20/02/1961;1800;28.4;24.6;73;;9;4;1;
83845;21/02/1961;0000;25;23.8;90;;14;1;1;
83845;21/02/1961;1200;27;25;84;;9;2;7;
83845;21/02/1961;1800;29;25.4;73;;14;2;2;
83845;22/02/1961;0000;26;25.2;94;;5;2;5;
83845;22/02/1961;1200;28;23.6;68;;5;2;10;
83845;22/02/1961;1800;29.2;26.2;78;;9;2;9;
83845;23/02/1961;0000;24.8;24.2;96;;14;2;10;
83845;23/02/1961;1200;25.8;24.2;88;;36;2;10;
83845;23/02/1961;1800;29;25.2;72;;0;0;10;
83845;24/02/1961;0000;25;23.2;86;;5;1;6;
83845;24/02/1961;1200;28.2;24.8;75;;36;2;9;
83845;24/02/1961;1800;31.8;26.2;63;;36;2;6;
83845;25/02/1961;0000;25.6;24.6;92;;0;0;8;
83845;25/02/1961;1200;30;24.9;64;;36;2;1;
83845;25/02/1961;1800;33.8;26.8;56;;36;2;1;
83845;26/02/1961;0000;28.2;25.2;78;;0;0;1;
83845;26/02/1961;1200;30;25.6;69;;36;2;9;
83845;26/02/1961;1800;34.2;26.6;53;;36;2;8;
83845;27/02/1961;0000;27;24.9;83;;23;2;5;
83845;27/02/1961;1200;26.8;25.8;92;;23;1;10;
83845;27/02/1961;1800;26.2;25.4;93;;0;0;9;
83845;28/02/1961;0000;24.2;24;98;;23;1;10;
83845;28/02/1961;1200;21.8;21.8;100;;23;2;10;
83845;28/02/1961;1800;21.2;20.6;94;;23;2;10;
83845;01/03/1961;0000;20.6;20;95;;23;2;10;
83845;01/03/1961;1200;21.4;21.2;98;;23;2;10;
83845;01/03/1961;1800;23;21.8;89;;18;1;10;
83845;02/03/1961;0000;21;20.6;96;;23;1;10;
83845;02/03/1961;1200;22.2;21.8;96;;23;2;9;
83845;02/03/1961;1800;25.8;21.2;64;;14;3;9;
83845;03/03/1961;0000;23.2;20.2;75;;9;2;9;
83845;03/03/1961;1200;24.8;21.5;73;;23;1;1;
83845;03/03/1961;1800;26.8;22.5;67;;14;2;1;
83845;04/03/1961;0000;22.2;21.3;91;;23;1;3;
83845;04/03/1961;1200;24.8;21.7;75;;0;0;1;
83845;04/03/1961;1800;27.2;23.8;74;;14;2;1;
83845;05/03/1961;0000;22.2;21.2;91;;23;1;1;
83845;05/03/1961;1200;23.6;22.4;90;;23;1;9;
83845;05/03/1961;1800;26.2;22.2;70;;23;2;8;
83845;06/03/1961;0000;23;21.8;89;;23;2;8;
83845;06/03/1961;1200;21.8;21.8;100;;23;2;10;
83845;06/03/1961;1800;23.2;22.4;93;;9;3;10;
83845;07/03/1961;0000;22.3;21.6;94;;14;2;10;
83845;07/03/1961;1200;22.6;22;95;;23;2;10;
83845;07/03/1961;1800;25.2;23.2;84;;9;2;10;
83845;08/03/1961;0000;22;21.2;93;;14;2;10;
83845;08/03/1961;1200;25.6;23.8;85;;23;2;5;
83845;09/03/1961;1200;26.2;24;83;;23;2;1;
83845;09/03/1961;1800;27.8;25;78;;14;2;1;
83845;10/03/1961;0000;25.2;24.4;93;;23;1;9;
83845;10/03/1961;1200;27.6;25;80;;14;1;2;
83845;10/03/1961;1800;28.8;25.6;76;;14;2;1;
83845;11/03/1961;0000;25.4;23.9;88;;9;2;5;
83845;11/03/1961;1200;28;25;77;;5;2;3;
83845;11/03/1961;1800;27.8;25.2;80;;14;3;9;
83845;12/03/1961;0000;25.9;24.2;87;;36;1;10;
83845;12/03/1961;1200;27;25;84;;5;1;2;
83845;12/03/1961;1800;30;27;78;;18;2;9;
83845;13/03/1961;0000;26.3;23.6;79;;14;1;8;
83845;13/03/1961;1200;26.8;23.4;73;;36;2;9;
83845;13/03/1961;1800;32.6;27.8;68;;36;2;8;
83845;14/03/1961;0000;27.1;24.3;78;;5;1;7;
83845;14/03/1961;1200;28.2;23.8;68;;5;1;3;
83845;14/03/1961;1800;25.8;23.2;80;;18;3;10;
83845;15/03/1961;0000;23;22.2;93;;14;1;9;
83845;15/03/1961;1200;24.8;23.6;91;;23;1;9;
83845;15/03/1961;1800;26.2;24.4;86;;14;2;9;
83845;16/03/1961;0000;25;24.2;94;;5;1;2;
83845;16/03/1961;1200;28.2;25.4;79;;32;2;1;
83845;16/03/1961;1800;34.4;27.8;59;;36;2;3;
83845;17/03/1961;0000;28.6;25;73;;0;0;9;
83845;17/03/1961;1200;28.6;25.2;75;;36;2;9;
83845;17/03/1961;1800;23.6;22.4;90;;14;1;10;
83845;18/03/1961;0000;23.2;22.9;97;;23;2;10;
83845;18/03/1961;1200;20.6;20.2;97;;23;2;10;
83845;18/03/1961;1800;21;20.6;96;;23;2;10;
83845;19/03/1961;0000;20.2;20;98;;23;2;10;
83845;19/03/1961;1200;19.8;19.2;95;;23;2;10;
83845;19/03/1961;1800;20.4;20.4;100;;23;2;10;
83845;20/03/1961;0000;20;19.8;98;;23;1;10;
83845;20/03/1961;1200;21.8;21.2;95;;23;2;10;
83845;20/03/1961;1800;24.9;23;85;;18;1;10;
83845;21/03/1961;0000;23.4;23.2;98;;0;0;9;
83845;21/03/1961;1200;25.4;24;89;;23;2;9;
83845;21/03/1961;1800;25.2;24.9;97;;14;2;10;
83845;22/03/1961;0000;24.8;21.9;76;;14;1;10;
83845;22/03/1961;1200;25.2;23.6;87;;23;2;10;
83845;22/03/1961;1800;26.2;24;83;;14;2;8;
83845;23/03/1961;0000;23;22.6;97;;0;0;1;
83845;23/03/1961;1200;26.2;24.2;85;;0;0;6;
83845;23/03/1961;1800;26.5;24.6;85;;18;2;9;
83845;24/03/1961;0000;23.6;23;95;;14;1;1;
83845;24/03/1961;1200;28;25.2;79;;14;2;3;
83845;24/03/1961;1800;27.8;25;78;;14;2;1;
83845;25/03/1961;0000;23.8;23.2;95;;14;1;1;
83845;25/03/1961;1200;27;24.8;83;;9;1;1;
83845;25/03/1961;1800;28.8;25.4;74;;9;3;1;
83845;26/03/1961;0000;25.2;24.6;95;;0;0;2;
83845;26/03/1961;1200;27.4;24.6;79;;23;3;2;
83845;26/03/1961;1800;25.8;22.6;75;;18;4;10;
83845;27/03/1961;0000;23.6;20.8;76;;18;4;10;
83845;27/03/1961;1200;20;18.9;90;;23;2;10;
83845;27/03/1961;1800;19.8;19.2;95;;23;2;10;
83845;28/03/1961;0000;19;18;90;;23;1;10;
83845;28/03/1961;1200;24.1;17.4;47;;14;3;8;
83845;28/03/1961;1800;22.6;18.2;64;;18;3;9;
83845;29/03/1961;0000;18.6;17.8;92;;23;2;10;
83845;29/03/1961;1200;20.2;19.8;96;;23;2;9;
83845;29/03/1961;1800;24.6;20;64;;14;2;5;
83845;30/03/1961;0000;21.8;18.4;71;;23;1;10;
83845;30/03/1961;1200;21.2;19.8;87;;23;2;7;
83845;30/03/1961;1800;24.2;20.4;69;;14;2;9;
83845;31/03/1961;0000;19.1;18.8;97;;23;1;8;
83845;31/03/1961;1200;22.9;20.6;81;;23;1;3;
83845;31/03/1961;1800;24.6;20.6;68;;9;3;1;
83845;01/04/1961;0000;20.6;20;95;;14;2;9;
83845;01/04/1961;1200;22.8;20.4;80;;23;1;1;
83845;01/04/1961;1800;26.6;23.3;74;;9;2;2;
83845;02/04/1961;0000;22;21.8;98;;9;2;2;
83845;02/04/1961;1200;25.5;22.9;79;;0;0;9;
83845;02/04/1961;1800;26;23;76;;14;2;9;
83845;03/04/1961;0000;23.4;22.1;89;;9;2;9;
83845;03/04/1961;1200;25.4;23.2;83;;5;2;3;
