<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83855</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FACUL DE HIGIENE  SP  - SP (OMM: 83855)
Latitude  (graus) : -22.56
Longitude (graus) : -46.63
Altitude  (metros): 816.22
Esta��o Fechada
Inicio de opera��o: 01/01/1940
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83855;01/01/1961;1200;21.2;20.2;91;;32;2;10;
83855;01/01/1961;1800;25;21.6;74;;27;4;9;
83855;02/01/1961;0000;20;19.7;97;;36;4;10;
83855;02/01/1961;1200;21.4;20.3;90;;14;4;9;
83855;02/01/1961;1800;22.2;21;89;;0;0;4;
83855;03/01/1961;0000;19.9;19.6;97;;0;0;10;
83855;03/01/1961;1200;21;19.6;87;;0;0;9;
83855;03/01/1961;1800;27.7;21.5;56;;0;0;6;
83855;04/01/1961;0000;20.4;19;87;;0;0;2;
83855;04/01/1961;1200;20.5;19.4;89;;0;0;8;
83855;04/01/1961;1800;24.3;22;82;;0;0;7;
83855;05/01/1961;0000;20.8;19.7;90;;0;0;10;
83855;05/01/1961;1200;20.2;19.2;91;;0;0;10;
83855;05/01/1961;1800;24.1;21.5;79;;27;2;4;
83855;06/01/1961;0000;20.6;19.4;89;;9;4;9;
83855;06/01/1961;1200;24;21.4;79;;32;6;8;
83855;06/01/1961;1800;25.7;23;79;;0;0;6;
83855;07/01/1961;0000;22.1;20.7;88;;27;2;5;
83855;07/01/1961;1200;20.2;19;89;;0;0;8;
83855;07/01/1961;1800;21;19.2;85;;9;2;9;
83855;08/01/1961;0000;19;18.4;94;;14;2;10;
83855;08/01/1961;1200;20.3;19.2;90;;0;0;9;
83855;08/01/1961;1800;21.1;19.4;85;;18;6;10;
83855;09/01/1961;0000;18.8;18.4;96;;18;4;10;
83855;09/01/1961;1200;21.5;20;87;;14;3;9;
83855;09/01/1961;1800;23.6;21;79;;18;4;10;
83855;10/01/1961;0000;20.6;20;95;;18;2;10;
83855;10/01/1961;1200;23.3;21.2;84;;0;0;2;
83855;10/01/1961;1800;27.2;23.1;71;;0;0;4;
83855;11/01/1961;0000;21.6;20.6;91;;0;0;9;
83855;11/01/1961;1200;22.1;20;82;;0;0;5;
83855;11/01/1961;1800;25.6;21;65;;14;3;6;
83855;12/01/1961;0000;20.2;18.7;87;;14;6;7;
83855;12/01/1961;1200;21.7;19;77;;27;2;3;
83855;12/01/1961;1800;25.8;22;71;;23;4;4;
83855;13/01/1961;0000;21.1;20;90;;18;5;8;
83855;13/01/1961;1200;20.2;18.4;84;;5;4;9;
83855;13/01/1961;1800;27.8;21.5;56;;18;2;7;
83855;14/01/1961;0000;21.6;18.6;75;;0;0;3;
83855;14/01/1961;1200;22.8;20.1;78;;23;3;3;
83855;14/01/1961;1800;27.6;23.7;72;;23;2;8;
83855;15/01/1961;0000;20.8;20;93;;27;2;2;
83855;15/01/1961;1200;23.4;20.6;78;;32;2;2;
83855;15/01/1961;1800;28.6;22;56;;27;2;6;
83855;16/01/1961;0000;22.8;21;86;;0;0;3;
