<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83857</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TREMEMBE - SP (OMM: 83857)
Latitude  (graus) : -22.96
Longitude (graus) : -45.55
Altitude  (metros): 546.20
Esta��o Desativada
Inicio de opera��o: 01/01/1946
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83857;01/01/1961;1200;23.8;22.2;87;945;0;0;9;
83857;01/01/1961;1800;29;23.8;64;943;23;3;8;
83857;02/01/1961;0000;22.6;21.8;93;945.4;0;0;10;
83857;02/01/1961;1200;23.2;22.1;90;945;36;3;10;
83857;02/01/1961;1800;25.4;23.6;86;942.7;5;1;10;
83857;03/01/1961;0000;22.2;21.6;94;943.5;0;0;10;
83857;03/01/1961;1200;25.2;22.4;78;944.8;32;1;7;
83857;03/01/1961;1800;31.2;23.4;50;942.7;32;3;5;
83857;04/01/1961;0000;23.6;21.4;81;945.4;23;3;6;
83857;04/01/1961;1200;24;21.6;80;945.6;5;3;6;
83857;04/01/1961;1800;26.2;22.6;74;942.3;32;3;8;
83857;05/01/1961;0000;21.6;20.8;93;946;5;3;10;
83857;05/01/1961;1200;24;21.4;78;947;5;1;6;
83857;05/01/1961;1800;31;24.3;57;943.8;32;1;5;
83857;06/01/1961;0000;22.4;21.4;91;945.9;5;3;10;
83857;06/01/1961;1200;25.8;22.6;75;945.1;5;3;5;
83857;06/01/1961;1800;28.4;24.2;70;943.2;0;0;8;
83857;07/01/1961;0000;25;23;84;944.2;0;0;10;
83857;07/01/1961;1200;24.2;22.4;85;947.5;5;1;8;
83857;07/01/1961;1800;23.6;21.2;80;946.6;23;3;8;
83857;08/01/1961;0000;22.4;20;79;949.1;23;3;10;
83857;08/01/1961;1200;23;20.8;81;949.2;32;1;8;
83857;08/01/1961;1800;27;22.4;66;947.5;32;1;7;
83857;09/01/1961;0000;22.8;21.6;90;949.5;23;1;10;
83857;09/01/1961;1200;25.4;22.6;78;948.8;9;1;8;
