<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83858</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : XANXERE - SC (OMM: 83858)
Latitude  (graus) : -26.85
Longitude (graus) : -52.4
Altitude  (metros): 841.21
Esta��o Desativada
Inicio de opera��o: 01/02/1929
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83858;01/01/1961;1200;20;19;91;;18;5;10;
83858;01/01/1961;1800;26.6;24;81;;14;5;10;
83858;02/01/1961;0000;19;18.8;98;;0;0;10;
83858;02/01/1961;1200;22;20.4;87;;36;3;10;
83858;02/01/1961;1800;27.8;25;79;;36;3;10;
83858;03/01/1961;0000;20.8;18.6;82;;0;0;10;
83858;03/01/1961;1200;25.2;22.8;82;;36;5;0;
83858;03/01/1961;1800;29.8;26;74;;0;0;10;
83858;04/01/1961;0000;20;19.8;98;;36;5;10;
83858;04/01/1961;1200;22.4;20.8;87;;36;3;0;
83858;04/01/1961;1800;26;24.8;90;;0;0;10;
83858;05/01/1961;0000;19.8;18;84;;0;0;8;
83858;05/01/1961;1200;24.4;21.8;79;;0;0;0;
83858;05/01/1961;1800;30;25.6;70;;36;5;10;
83858;06/01/1961;0000;21.6;20.4;89;;36;3;10;
83858;06/01/1961;1200;18.8;18.8;100;;18;3;10;
83858;06/01/1961;1800;23.8;20;70;;36;3;10;
83858;07/01/1961;0000;14.8;14.8;100;;18;3;10;
83858;07/01/1961;1200;20;18.6;87;;36;5;8;
83858;07/01/1961;1800;26;23.8;83;;36;3;8;
83858;08/01/1961;0000;19.8;18;84;;0;0;6;
83858;08/01/1961;1200;21;20.2;93;;18;5.3;10;
83858;08/01/1961;1800;29.8;26.4;76;;36;3;10;
83858;09/01/1961;0000;20.8;19;85;;36;3;6;
83858;09/01/1961;1200;23.8;20.6;75;;0;0;0;
83858;09/01/1961;1800;29.6;25.8;73;;18;3;8;
83858;10/01/1961;0000;21;19;83;;5;5;6;
83858;10/01/1961;1200;23.8;22;86;;36;3;10;
83858;10/01/1961;1800;24;22.8;89;;18;3;10;
83858;11/01/1961;0000;16.8;16.6;98;;18;3;10;
83858;11/01/1961;1200;22;20;83;;0;0;0;
83858;11/01/1961;1800;28.4;24.4;72;;0;0;6;
83858;12/01/1961;0000;20;19;91;;18;5;8;
83858;12/01/1961;1200;25;22.8;83;;36;5;0;
83858;12/01/1961;1800;29.4;25.8;75;;36;5;8;
83858;13/01/1961;0000;22;20;83;;0;0;6;
83858;13/01/1961;1200;23;19.8;74;;5;5;0;
83858;13/01/1961;1800;30.4;26.8;76;;36;5;8;
83858;14/01/1961;0000;22;19.6;80;;18;3;0;
83858;14/01/1961;1200;22;20;83;;36;3;10;
83858;14/01/1961;1800;29.8;25;67;;5;5;8;
83858;15/01/1961;0000;21;19;83;;0;0;6;
83858;15/01/1961;1200;24.8;22.8;84;;36;3;0;
83858;15/01/1961;1800;30.2;25.8;70;;36;5;10;
83858;16/01/1961;0000;20;19.8;98;;0;0;10;
83858;16/01/1961;1200;25.6;23;80;;36;3;10;
83858;16/01/1961;1800;28.4;25;76;;36;3;10;
83858;17/01/1961;0000;22;20.8;89;;36;3;10;
83858;17/01/1961;1200;25.8;23;79;;18;3;10;
83858;17/01/1961;1800;29.8;25;67;;5;7;10;
83858;18/01/1961;0000;24;22.8;89;;0;0;10;
83858;18/01/1961;1200;21.6;20;87;;0;0;10;
83858;18/01/1961;1800;27.8;25.2;81;;18;7;10;
83858;19/01/1961;0000;19;18.8;98;;18;5;10;
83858;19/01/1961;1200;23.2;21.8;87;;18;3;10;
83858;19/01/1961;1800;28.6;25;74;;36;3;8;
83858;20/01/1961;0000;20;19.8;98;;5;5;8;
83858;20/01/1961;1200;24.2;22.8;88;;0;0;0;
83858;20/01/1961;1800;30.4;26;71;;36;3;10;
83858;21/01/1961;0000;21.8;20;85;;36;5;8;
83858;21/01/1961;1200;27;24;78;;36;5;0;
83858;21/01/1961;1800;31.4;26.8;70;;18;5;10;
83858;22/01/1961;0000;22.8;20;77;;18;3;10;
83858;22/01/1961;1200;23;21;83;;18;5;10;
83858;22/01/1961;1800;28.4;25;76;;0;0;10;
83858;23/01/1961;0000;21.8;20;85;;36;3;0;
83858;23/01/1961;1200;23.8;20;70;;18;3;0;
83858;23/01/1961;1800;30.2;26.6;76;;14;5;8;
83858;24/01/1961;0000;22;20;83;;18;3;0;
83858;24/01/1961;1200;22.8;21.8;91;;0;0;0;
83858;24/01/1961;1800;29.8;25.8;72;;18;5;6;
83858;25/01/1961;0000;21;20;91;;14;3;0;
83858;25/01/1961;1200;23.6;21.8;85;;18;5;8;
83858;25/01/1961;1800;28;24;71;;14;7;10;
83858;26/01/1961;0000;19.8;18.6;89;;18;3;10;
83858;26/01/1961;1200;16.8;16;92;;18;3;10;
83858;26/01/1961;1800;21.8;19.8;83;;18;5;10;
83858;27/01/1961;0000;15.4;15.2;98;;36;7;10;
83858;27/01/1961;1200;16.8;15.8;90;;18;5;10;
83858;27/01/1961;1800;22.8;19.8;75;;18;3;8;
83858;28/01/1961;0000;15;14;90;;0;0;0;
83858;28/01/1961;1200;18.8;15.6;71;;36;5;10;
83858;28/01/1961;1800;21.8;20;85;;36;3;10;
83858;29/01/1961;0000;15.2;13;77;;0;0;10;
83858;29/01/1961;1200;18.2;16.8;86;;36;5;10;
83858;29/01/1961;1800;23.8;21.4;81;;5;5;10;
83858;30/01/1961;0000;17.8;17.4;96;;5;3;6;
83858;30/01/1961;1200;18.2;16.8;86;;18;3;10;
83858;30/01/1961;1800;28.4;26;82;;18;5;8;
83858;31/01/1961;0000;18;15.8;79;;0;0;0;
83858;31/01/1961;1200;22.2;19.8;80;;36;5;0;
83858;31/01/1961;1800;30.2;26.8;77;;36;3;10;
83858;01/02/1961;0000;21.2;20;89;;36;5;0;
83858;01/02/1961;1200;22.2;20;82;;36;3;0;
83858;01/02/1961;1800;30.8;26.8;73;;18;3;8;
83858;02/02/1961;0000;21;19.8;89;;0;0;0;
83858;02/02/1961;1200;22.8;20;77;;36;3;10;
83858;02/02/1961;1800;27.4;25;81;;5;5;10;
83858;03/02/1961;0000;20;18.8;89;;18;3;10;
83858;03/02/1961;1200;21.6;20;87;;18;3;10;
83858;03/02/1961;1800;27;24.8;83;;14;5;10;
83858;04/02/1961;0000;18.8;17.8;90;;18;5;10;
83858;04/02/1961;1200;22.4;20;80;;0;0;0;
83858;04/02/1961;1800;26;22.8;76;;18;5;10;
83858;05/02/1961;0000;18.8;16.8;82;;18;5;10;
83858;05/02/1961;1200;20;17;74;;18;5;0;
83858;05/02/1961;1800;24.8;21.6;73;;18;5;10;
83858;06/02/1961;0000;18;17;90;;36;3;10;
83858;06/02/1961;1200;20;19;91;;36;5;10;
83858;06/02/1961;1800;26.6;21.6;64;;36;3;10;
83858;07/02/1961;0000;19.6;18.8;93;;0;0;10;
