<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83860</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PALMAS - PR (OMM: 83860)
Latitude  (graus) : -26.48
Longitude (graus) : -51.98
Altitude  (metros): 1090.52
Esta��o Desativada
Inicio de opera��o: 01/01/1922
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83860;01/01/1961;0000;17.2;;81;;27;2;10;
83860;01/01/1961;1200;16.2;15.4;92;894.6;0;0;10;
83860;01/01/1961;1800;25.9;21;64;894.2;0;0;8;
83860;02/01/1961;0000;16.4;15.2;87;891.6;0;0;10;
83860;02/01/1961;1200;15.4;14.2;88;893.2;0;0;10;
83860;02/01/1961;1800;25.2;21.2;70;889;5;2;7;
83860;03/01/1961;0000;17.8;16;83;887.5;0;0;6;
83860;03/01/1961;1200;18.6;17.2;87;889.8;0;0;4;
83860;03/01/1961;1800;29.2;24;64;888.7;0;0;8;
83860;04/01/1961;0000;19.4;17.2;81;886.6;0;0;10;
83860;04/01/1961;1200;17.8;16.6;88;889.9;0;0;8;
83860;04/01/1961;1800;26.8;21.8;63;889.9;32;2;7;
83860;05/01/1961;0000;18.9;17;83;887.9;32;2;8;
83860;05/01/1961;1200;18.2;16.8;86;891.4;0;0;7;
83860;05/01/1961;1800;28.4;22.2;57;891.8;0;0;6;
83860;06/01/1961;0000;20.4;18.2;81;891.9;0;0;8;
83860;06/01/1961;1200;17.2;16.2;90;893.1;0;0;10;
83860;06/01/1961;1800;23.6;21.2;81;893.8;32;4;10;
83860;07/01/1961;0000;15.8;14.6;87;894.4;32;2;10;
83860;07/01/1961;1200;17.4;16;86;897.9;0;0;7;
83860;07/01/1961;1800;26.8;21.2;59;897.1;0;0;6;
83860;08/01/1961;0000;18.2;16.4;83;895.6;0;0;6;
83860;08/01/1961;1200;15.8;14.2;84;897.6;5;2;8;
83860;08/01/1961;1800;28.6;22.4;57;896.2;0;0;7;
83860;09/01/1961;0000;19.9;18;83;894.4;0;0;6;
83860;09/01/1961;1200;17.8;16.2;85;896.4;5;2;7;
83860;09/01/1961;1800;29.8;23.4;57;891.6;0;0;6;
83860;10/01/1961;0000;20.6;18.2;79;891.8;0;0;7;
