<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83862</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO MIGUEL DO OESTE - SC (OMM: 83862)
Latitude  (graus) : -26.73
Longitude (graus) : -53.58
Altitude  (metros): 938.00
Esta��o Desativada
Inicio de opera��o: 01/01/1972
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83862;01/02/1973;1200;23.4;20.6;78;;32;3;0;
83862;01/02/1973;1800;26.4;20.6;60;;23;3;4;
83862;02/02/1973;0000;25;22;77;;23;3;2;
83862;02/02/1973;1200;23;20.6;81;;5;5;3;
83862;02/02/1973;1800;29.8;23.5;58;;32;3;7;
83862;03/02/1973;0000;26.5;22.2;68;;32;3;1;
83862;03/02/1973;1200;26.5;23.4;76;;36;3;7;
83862;03/02/1973;1800;30.5;24;57;;32;7;8;
83862;04/02/1973;0000;26.3;23.6;80;;32;3;10;
83862;04/02/1973;1200;24.3;23;89;;14;5;10;
83862;04/02/1973;1800;27.5;24;74;;23;5;9;
83862;05/02/1973;0000;21.2;20.6;94;;14;5;10;
83862;05/02/1973;1200;21.8;20.8;91;;14;3;8;
83862;05/02/1973;1800;28;24.7;76;;14;3;8;
83862;06/02/1973;0000;23.6;22;87;;14;3;3;
83862;06/02/1973;1200;23.2;21.3;84;;5;5;5;
83862;06/02/1973;1800;30.5;25.3;65;;14;1;7;
83862;07/02/1973;0000;26.6;22.5;70;;9;3;1;
83862;07/02/1973;1200;23.2;21;82;;5;7;2;
83862;07/02/1973;1800;29.5;24;62;;32;3;7;
83862;08/02/1973;0000;26;22.8;76;;32;5;2;
83862;08/02/1973;1200;26;23;77;;5;5;6;
83862;08/02/1973;1800;26.3;23.5;79;;32;7;10;
83862;09/02/1973;0000;25;22.5;81;;36;5;10;
83862;09/02/1973;1200;26;22.3;72;;32;12;8;
83862;09/02/1973;1800;30.5;24;57;;27;5;9;
83862;10/02/1973;0000;27.1;24.2;79;;32;5;7;
83862;10/02/1973;1200;27;22.6;68;;32;9;4;
83862;10/02/1973;1800;31.2;22.7;47;;32;9;8;
83862;11/02/1973;0000;28;25.2;80;;32;3;10;
83862;11/02/1973;1200;25.7;23.5;83;;32;9;8;
83862;11/02/1973;1800;21.7;21.6;99;;32;3;10;
83862;12/02/1973;0000;21.3;20.8;95;;14;1;10;
83862;12/02/1973;1200;19;19;100;;32;3;10;
83862;12/02/1973;1800;20.8;20.1;94;;36;1;10;
83862;13/02/1973;0000;19.6;19.3;97;;36;1;10;
83862;13/02/1973;1200;18.8;18;92;;36;3;10;
83862;13/02/1973;1800;21.4;20.3;90;;14;3;10;
83862;14/02/1973;0000;20;19.7;97;;9;3;10;
83862;14/02/1973;1200;18.5;18.5;100;;14;3;10;
83862;14/02/1973;1800;19;18.5;95;;18;5;10;
83862;15/02/1973;0000;18.5;17.6;91;;14;3;10;
83862;15/02/1973;1200;18.1;17.3;92;;14;5;10;
83862;15/02/1973;1800;21.7;20;86;;18;5;10;
83862;16/02/1973;0000;20;19.3;93;;9;5;10;
83862;16/02/1973;1200;18.5;18.3;98;;9;1;10;
83862;16/02/1973;1800;24.1;21.6;80;;14;1;8;
83862;17/02/1973;0000;23.5;21.1;81;;18;1;1;
83862;17/02/1973;1200;22.2;21.2;91;;5;1;10;
83862;17/02/1973;1800;28;23;65;;14;3;9;
83862;18/02/1973;0000;26.1;22.5;73;;18;1;5;
83862;18/02/1973;1200;24.5;22.5;84;;5;3;6;
83862;18/02/1973;1800;26.6;23.5;77;;18;3;10;
83862;19/02/1973;0000;25.2;23;83;;14;3;5;
83862;19/02/1973;1200;23.4;21.5;85;;32;3;6;
83862;19/02/1973;1800;28.5;25.4;77;;32;5;10;
83862;20/02/1973;0000;24;22.1;85;;36;1;8;
83862;20/02/1973;1200;24;22;84;;5;3;6;
83862;20/02/1973;1800;29;23.5;62;;32;5;8;
83862;21/02/1973;0000;25.5;22.6;78;;36;3;4;
83862;21/02/1973;1200;24.6;22.7;86;;36;5;10;
83862;21/02/1973;1800;25.8;23;79;;9;3;7;
83862;22/02/1973;0000;23.5;21.8;86;;9;1;10;
83862;22/02/1973;1200;25.8;23.6;84;;36;5;6;
83862;22/02/1973;1800;31;24.1;56;;32;3;4;
83862;23/02/1973;0000;28.1;23.7;68;;32;1;5;
83862;23/02/1973;1200;25.1;23;84;;5;3;1;
83862;23/02/1973;1800;32.2;24.4;51;;32;3;4;
83862;24/02/1973;0000;21.4;20.6;93;;9;3;10;
83862;24/02/1973;1200;24.4;21;73;;36;1;1;
83862;24/02/1973;1800;30.3;24.1;59;;32;5;5;
83862;25/02/1973;0000;27.2;23.5;73;;27;1;4;
83862;25/02/1973;1200;22.5;22.5;100;;23;3;10;
83862;25/02/1973;1800;26.4;21.5;64;;27;3;8;
83862;26/02/1973;0000;21.2;20.8;96;;18;1;10;
83862;26/02/1973;1200;20.4;20.4;100;;5;1;10;
83862;26/02/1973;1800;27;23.3;73;;36;1;8;
83862;27/02/1973;0000;24.5;24;96;;23;1;4;
83862;27/02/1973;1200;22.6;22;95;;5;3;6;
83862;27/02/1973;1800;28.8;24;66;;32;3;8;
83862;28/02/1973;0000;22.4;21.4;91;;5;1;4;
83862;28/02/1973;1200;25;23.6;89;;5;3;0;
83862;28/02/1973;1800;30.4;24.9;63;;18;3;8;
83862;01/03/1973;0000;22.8;21;86;;36;1;10;
83862;01/03/1973;1200;23;21.2;86;;5;5;10;
83862;01/03/1973;1800;26.8;24;79;;36;1;10;
83862;02/03/1973;0000;20.5;20.5;100;;5;5;10;
83862;02/03/1973;1200;23.4;23;96;;36;3;10;
83862;02/03/1973;1800;27.4;24.4;78;;9;7;10;
83862;03/03/1973;0000;21.5;20.6;92;;18;1;10;
83862;03/03/1973;1200;23.2;22.5;94;;5;3;10;
83862;03/03/1973;1800;29.1;24.6;69;;27;1;10;
83862;04/03/1973;0000;24.3;22.8;88;;27;1;10;
83862;04/03/1973;1200;22.9;22.9;100;;5;1;10;
83862;04/03/1973;1800;29;23;59;;23;3;10;
83862;05/03/1973;0000;21.8;21.6;98;;14;3;10;
83862;05/03/1973;1200;19.1;18;89;;9;3;7;
83862;05/03/1973;1800;26.2;20.5;60;;14;3;3;
83862;06/03/1973;0000;20.4;17.6;76;;14;3;0;
83862;06/03/1973;1200;20.5;19;87;;5;3;1;
83862;06/03/1973;1800;27.7;22.2;62;;32;3;8;
83862;07/03/1973;0000;23.9;22;85;;9;1;6;
83862;07/03/1973;1200;23.4;22.5;93;;36;1;10;
83862;07/03/1973;1800;27;23.6;75;;27;3;10;
83862;08/03/1973;0000;24;24;100;;18;7;10;
83862;08/03/1973;1200;20;20;100;;5;3;10;
83862;08/03/1973;1800;20;20;100;;27;9;10;
83862;09/03/1973;0000;17;17;100;;18;1;10;
83862;09/03/1973;1200;14.6;14.6;100;;18;3;10;
83862;09/03/1973;1800;19;18;90;;14;5;10;
83862;10/03/1973;0000;17.7;16;84;;14;5;6;
83862;10/03/1973;1200;15;15;100;;14;3;10;
83862;10/03/1973;1800;22.4;18;64;;18;3;7;
83862;11/03/1973;0000;18.5;16;77;;18;3;3;
83862;11/03/1973;1200;16.5;16.5;100;;9;3;10;
83862;11/03/1973;1800;22.5;18.6;68;;14;3;6;
83862;12/03/1973;0000;19.5;16;70;;14;1;8;
83862;12/03/1973;1200;18.6;16.6;82;;5;1;10;
83862;12/03/1973;1800;24.6;18.6;56;;9;1;8;
83862;13/03/1973;0000;21.6;16.6;60;;9;1;2;
83862;13/03/1973;1200;18.9;17;82;;5;3;3;
83862;13/03/1973;1800;26;20.5;61;;36;3;6;
83862;14/03/1973;0000;21.5;18;70;;14;1;0;
83862;14/03/1973;1200;19.4;17;79;;5;5;10;
83862;14/03/1973;1800;26.4;20;55;;32;3;7;
83862;15/03/1973;0000;22.4;18.6;69;;14;1;9;
83862;15/03/1973;1200;20.6;17.8;75;;5;1;10;
83862;15/03/1973;1800;26;19.5;54;;36;1;8;
83862;16/03/1973;0000;23;17.5;57;;14;1;4;
83862;16/03/1973;1200;21.8;17.8;66;;5;3;2;
83862;16/03/1973;1800;27;21;57;;36;1;7;
83862;17/03/1973;0000;23.8;19;62;;5;1;6;
83862;17/03/1973;1200;21;18;74;;5;5;8;
83862;17/03/1973;1800;27.2;23.5;73;;5;3;10;
83862;18/03/1973;0000;24.6;21.5;76;;14;1;10;
83862;18/03/1973;1200;22.6;19.6;76;;36;9;10;
83862;18/03/1973;1800;21.8;20.6;90;;23;1;10;
83862;19/03/1973;0000;20;20;100;;5;3;10;
83862;19/03/1973;1200;21.4;21;96;;23;1;10;
83862;19/03/1973;1800;21.5;20.5;91;;32;5;10;
83862;20/03/1973;0000;20.9;20.9;100;;32;3;10;
83862;20/03/1973;1200;20;20;100;;18;1;10;
83862;20/03/1973;1800;24.8;19.6;61;;23;1;5;
83862;21/03/1973;0000;21.3;19.6;86;;23;1;0;
