<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83865</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : IRINEOPOLIS - SC (OMM: 83865)
Latitude  (graus) : -26.25
Longitude (graus) : -50.8
Altitude  (metros): 777.49
Esta��o Desativada
Inicio de opera��o: 01/01/1922
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83865;01/01/1961;1200;20.3;19.9;96;920.8;5;1;10;
83865;01/01/1961;1800;23;21.4;87;920;5;1;10;
83865;02/01/1961;0000;19.6;19;95;920.5;14;1;10;
83865;02/01/1961;1200;20.4;19.5;91;920.8;0;0;10;
83865;02/01/1961;1800;26.6;22.5;70;920.7;0;0;10;
83865;03/01/1961;0000;21.9;20.8;90;920.8;0;0;2;
83865;03/01/1961;1200;21.3;20.5;93;922.8;0;0;10;
83865;03/01/1961;1800;29.9;21.5;46;918.7;5;1;5;
83865;04/01/1961;0000;22.9;20.9;84;920.3;23;1;10;
83865;04/01/1961;1200;19.1;18.1;90;923.1;36;1;10;
83865;04/01/1961;1800;28.9;22.9;59;921.1;23;1;6;
83865;05/01/1961;0000;23;20.6;81;919.9;0;0;4;
83865;05/01/1961;1200;20.8;19.4;87;923.2;5;1;10;
83865;05/01/1961;1800;27.6;22;60;920.4;5;1;6;
83865;06/01/1961;0000;22;20.2;85;920.2;5;3;10;
83865;06/01/1961;1200;19.6;18.7;92;919.5;5;1;10;
83865;06/01/1961;1800;27.5;22.6;65;918.3;23;1;10;
83865;07/01/1961;0000;19.8;17.9;83;919.4;18;1;2;
83865;07/01/1961;1200;18.6;17.9;93;925.5;14;1;10;
83865;07/01/1961;1800;25.9;21.9;70;922.8;36;1;6;
83865;08/01/1961;0000;20.2;18.4;84;924.8;5;1;1;
83865;08/01/1961;1200;18.4;16.2;80;927;5;1;9;
83865;08/01/1961;1800;26.6;21;59;925.2;5;1;6;
83865;09/01/1961;0000;21.5;18.9;78;924;5;1;0;
83865;09/01/1961;1200;19.2;17.6;85;926.4;5;1;10;
83865;09/01/1961;1800;25.9;21.7;69;925.1;5;1;10;
83865;10/01/1961;0000;21;20;91;922.7;5;1;0;
83865;10/01/1961;1200;21.4;20;87;924.7;5;1;10;
83865;10/01/1961;1800;22;19.1;76;923.4;18;3;10;
83865;11/01/1961;0000;19.5;17.6;83;923.6;36;1;3;
83865;11/01/1961;1200;20.5;19.1;87;926.3;0;0;10;
83865;11/01/1961;1800;28.1;22.5;61;924.7;5;1;6;
83865;12/01/1961;0000;21.4;19.5;84;925.8;5;3;1;
83865;12/01/1961;1200;20.6;19.6;91;927.6;5;1;10;
83865;12/01/1961;1800;28.9;21.6;52;926.2;5;1;5;
83865;13/01/1961;0000;22.4;19.7;78;927.2;5;1;2;
83865;13/01/1961;1200;22.6;20.1;80;928.2;14;1;9;
83865;13/01/1961;1800;28.6;21.4;52;924;5;1;5;
83865;14/01/1961;0000;22.3;19.5;77;924.3;5;1;1;
83865;14/01/1961;1200;21.6;19.9;86;927.6;5;1;10;
83865;14/01/1961;1800;29.9;22.7;52;924.8;5;1;5;
83865;15/01/1961;0000;23.3;21;82;922.8;0;0;1;
83865;15/01/1961;1200;23.4;21.4;84;926.4;5;1;10;
83865;15/01/1961;1800;32.5;25;53;922.6;36;1;6;
83865;16/01/1961;0000;23.2;21.3;84;924.4;14;1;10;
83865;16/01/1961;1200;22.6;21;87;925.8;0;0;10;
83865;16/01/1961;1800;31.6;24;52;923.1;23;1;6;
83865;17/01/1961;0000;20.1;19.1;91;925.2;23;1;10;
83865;17/01/1961;1200;21.1;20.1;91;927.2;0;0;10;
83865;17/01/1961;1800;21.9;20.9;91;925.9;23;3;10;
83865;18/01/1961;0000;20;19.8;98;928.4;23;1;10;
83865;18/01/1961;1200;21.3;20.6;94;930.7;5;1;10;
83865;18/01/1961;1800;28;23.8;70;928.6;9;1;6;
83865;19/01/1961;0000;21.1;20.6;95;930.4;23;1;10;
83865;19/01/1961;1200;22.4;21.4;91;930.2;0;0;10;
83865;19/01/1961;1800;30;24.5;63;928.4;36;1;6;
83865;20/01/1961;0000;21.3;21;97;927.4;0;0;9;
83865;20/01/1961;1200;22.3;21.5;93;927.4;0;0;10;
83865;20/01/1961;1800;29.8;24.1;62;924.4;23;1;8;
83865;21/01/1961;0000;24;22.3;86;925.5;0;0;1;
83865;21/01/1961;1200;22.6;22;95;927.5;23;1;10;
83865;21/01/1961;1800;29.5;24;62;924.7;5;1;10;
83865;22/01/1961;0000;23.9;21.9;84;925.4;23;1;10;
83865;22/01/1961;1200;23.1;21.2;85;927.1;5;1;10;
83865;22/01/1961;1800;28.5;23.7;66;925;5;1;5;
83865;23/01/1961;0000;22;21.1;92;927.4;36;1;10;
83865;23/01/1961;1200;19.9;18.1;84;929.5;5;1;10;
83865;23/01/1961;1800;23.8;20.4;73;927.5;5;1;10;
83865;24/01/1961;0000;19;18;90;927.4;0;0;0;
83865;24/01/1961;1200;18.5;17.6;91;927.8;0;0;10;
83865;24/01/1961;1800;29;23.6;63;924.6;36;1;1;
83865;25/01/1961;0000;23.1;21.4;86;926.3;0;0;1;
83865;25/01/1961;1200;21.9;19.6;81;928.3;0;0;6;
83865;25/01/1961;1800;29.4;23.1;58;929.5;5;1;5;
83865;26/01/1961;0000;20.2;19;89;926.7;5;1;9;
