<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83870</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TIMBO - SC (OMM: 83870)
Latitude  (graus) : -26.81
Longitude (graus) : -49.26
Altitude  (metros): 70.00
Esta��o Desativada
Inicio de opera��o: 01/01/1954
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83870;01/01/1961;1200;22;21.5;95;;0;0;10;
83870;01/01/1961;1800;23.3;22;89;;0;0;10;
83870;02/01/1961;0000;22.3;21.6;94;;0;0;10;
83870;02/01/1961;1200;25.5;23.3;82;;0;0;10;
83870;02/01/1961;1800;31;25;60;;0;0;2;
83870;03/01/1961;0000;24.8;23.5;90;;0;0;10;
83870;03/01/1961;1200;26.5;23.7;78;;0;0;7;
83870;03/01/1961;1800;32;25.3;57;;9;1;5;
83870;04/01/1961;0000;22.5;20.2;80;;0;0;10;
83870;04/01/1961;1200;22;21;91;;0;0;10;
83870;04/01/1961;1800;28.7;24.2;68;;0;0;10;
83870;05/01/1961;0000;24;22;83;;0;0;10;
83870;05/01/1961;1200;22.5;21.5;91;;0;0;10;
83870;05/01/1961;1800;26.8;22.7;69;;0;0;10;
83870;06/01/1961;0000;24;22.5;87;;0;0;10;
83870;06/01/1961;1200;23.7;22.5;90;;0;0;10;
83870;06/01/1961;1800;27.5;24.3;75;;0;0;8;
83870;07/01/1961;0000;23.3;22;89;;0;0;10;
83870;07/01/1961;1200;24;21.3;77;;0;0;10;
83870;07/01/1961;1800;28.5;22.5;57;;0;0;6;
83870;08/01/1961;0000;22.5;19;70;;0;0;10;
83870;08/01/1961;1200;21.5;18.8;76;;0;0;10;
83870;08/01/1961;1800;28.6;22.3;56;;0;0;5;
83870;09/01/1961;0000;23;20.2;77;;0;0;10;
83870;09/01/1961;1200;24.5;21.5;75;;0;0;10;
83870;09/01/1961;1800;27.3;23.3;70;;0;0;10;
83870;10/01/1961;0000;23.5;22;87;;0;0;10;
83870;10/01/1961;1200;25.2;23;82;;0;0;7;
83870;10/01/1961;1800;32.8;26.4;59;;0;0;7;
83870;11/01/1961;0000;24.7;22.8;84;;0;0;10;
83870;11/01/1961;1200;27;24;77;;0;0;3;
83870;11/01/1961;1800;26.5;23;73;;9;1;10;
83870;12/01/1961;0000;24.5;22.7;85;;0;0;10;
83870;12/01/1961;1200;23.3;21.6;86;;0;0;10;
83870;12/01/1961;1800;29.4;23.5;59;;0;0;7;
83870;13/01/1961;0000;23.5;22;87;;0;0;10;
83870;13/01/1961;1200;25;23.6;89;;0;0;10;
83870;13/01/1961;1800;29.7;23.8;59;;0;0;5;
83870;14/01/1961;0000;24.7;22.5;82;;0;0;10;
83870;14/01/1961;1200;27;24;77;;0;0;5;
83870;14/01/1961;1800;30.7;24.5;58;;0;0;3;
83870;15/01/1961;0000;25.8;23.8;84;;0;0;10;
83870;15/01/1961;1200;28.5;25;74;;0;0;8;
83870;15/01/1961;1800;32.7;25.2;52;;0;0;3;
83870;16/01/1961;0000;26.4;24.4;84;;14;1;10;
83870;16/01/1961;1200;28.5;25.5;77;;14;1;7;
83870;16/01/1961;1800;32;25.5;58;;0;0;5;
83870;17/01/1961;0000;24.8;23.5;90;;0;0;10;
83870;17/01/1961;1200;27.7;24.5;76;;0;0;3;
83870;17/01/1961;1800;34.5;25.8;48;;18;3;5;
83870;18/01/1961;0000;25.8;24.2;88;;0;0;10;
83870;18/01/1961;1200;26.2;24.4;86;;0;0;10;
83870;18/01/1961;1800;30;25.5;68;;9;1;10;
83870;19/01/1961;0000;25.7;24.3;88;;0;0;10;
83870;19/01/1961;1200;26.7;24;79;;0;0;7;
83870;19/01/1961;1800;28.7;25.8;78;;27;1;10;
83870;20/01/1961;0000;25.5;24.6;93;;0;0;10;
83870;20/01/1961;1200;26;24;84;;0;0;7;
83870;20/01/1961;1800;32.7;25.2;52;;0;0;3;
83870;21/01/1961;0000;26;24.2;86;;0;0;10;
83870;21/01/1961;1200;26.2;24.5;87;;0;0;10;
83870;21/01/1961;1800;34.5;25.8;48;;0;0;7;
83870;22/01/1961;0000;27.3;24.7;80;;0;0;10;
83870;22/01/1961;1200;26.3;25;90;;0;0;10;
83870;22/01/1961;1800;29;23;58;;0;0;5;
83870;23/01/1961;0000;24.3;22;81;;14;1;10;
83870;23/01/1961;1200;23;19.8;73;;0;0;10;
83870;23/01/1961;1800;27.9;22.7;63;;0;0;3;
83870;24/01/1961;0000;23.3;20.8;79;;0;0;10;
83870;24/01/1961;1200;22.4;20.5;84;;0;0;0;
83870;24/01/1961;1800;32.8;25.3;53;;0;0;0;
83870;25/01/1961;0000;25.3;22.3;76;;0;0;7;
83870;25/01/1961;1200;24.5;21.8;77;;0;0;2;
83870;25/01/1961;1800;31.7;26.3;64;;0;0;3;
83870;26/01/1961;0000;25.4;21.6;70;;9;1;10;
83870;26/01/1961;1200;21.8;18.3;70;;14;1;10;
83870;26/01/1961;1800;24.7;20;63;;0;0;10;
83870;27/01/1961;0000;20.4;19.4;90;;0;0;10;
83870;27/01/1961;1200;19.6;18.2;87;;0;0;10;
83870;27/01/1961;1800;24.5;19.5;61;;18;1;8;
83870;28/01/1961;0000;20;18.3;84;;0;0;10;
83870;28/01/1961;1200;22.2;20;81;;0;0;7;
83870;28/01/1961;1800;24.3;20;66;;0;0;3;
83870;29/01/1961;0000;20.2;19.5;93;;0;0;10;
83870;29/01/1961;1200;20;19.5;95;;0;0;10;
83870;29/01/1961;1800;23.2;20.7;79;;0;0;10;
83870;30/01/1961;0000;20.2;19.3;91;;0;0;10;
83870;30/01/1961;1200;21.7;19.8;83;;0;0;7;
83870;30/01/1961;1800;30;24.8;64;;0;0;7;
83870;31/01/1961;0000;23;21;83;;0;0;10;
83870;31/01/1961;1200;23.4;21.3;82;;0;0;2;
83870;31/01/1961;1800;32.7;26.2;58;;0;0;2;
83870;01/02/1961;0000;25.7;21.7;69;;0;0;10;
83870;01/02/1961;1200;26.5;23.5;76;;0;0;2;
83870;01/02/1961;1800;32.8;26.3;58;;0;0;2;
83870;02/02/1961;0000;27.3;24.8;81;;0;0;10;
83870;02/02/1961;1200;26.5;24.7;86;;0;0;5;
83870;02/02/1961;1800;30;23.7;57;;27;3;10;
83870;03/02/1961;0000;22.3;21.7;95;;0;0;10;
83870;03/02/1961;1200;24;22.7;89;;0;0;10;
83870;03/02/1961;1800;28.7;24.2;68;;0;0;5;
83870;04/02/1961;0000;25;23.2;86;;0;0;10;
83870;04/02/1961;1200;24.4;22.7;86;;0;0;10;
83870;04/02/1961;1800;27;23;70;;0;0;10;
83870;05/02/1961;0000;23.2;22.3;92;;0;0;10;
83870;05/02/1961;1200;23;22.4;95;;0;0;10;
83870;05/02/1961;1800;29.7;25.2;68;;0;0;10;
83870;06/02/1961;0000;24.7;23.3;88;;0;0;10;
83870;06/02/1961;1200;24.5;23.3;90;;0;0;10;
83870;06/02/1961;1800;27;24.3;79;;0;0;10;
83870;07/02/1961;0000;24;23.1;92;;0;0;10;
83870;07/02/1961;1200;24.5;23;87;;0;0;5;
83870;07/02/1961;1800;33.8;26.3;54;;0;0;2;
83870;08/02/1961;0000;24;22.3;85;;18;1;10;
83870;08/02/1961;1200;26;23.5;80;;0;0;2;
83870;08/02/1961;1800;31.2;25.5;62;;9;1;5;
83870;09/02/1961;0000;24;22.7;89;;0;0;10;
83870;09/02/1961;1200;23.8;22.6;90;;0;0;10;
83870;09/02/1961;1800;28.5;24.3;69;;0;0;10;
83870;10/02/1961;0000;23;21.8;89;;0;0;10;
83870;10/02/1961;1200;23.8;22.5;89;;0;0;5;
83870;10/02/1961;1800;29;23.7;62;;0;0;5;
83870;11/02/1961;0000;25.2;22.5;79;;0;0;10;
83870;11/02/1961;1200;24.2;23;90;;0;0;10;
83870;11/02/1961;1800;31.5;26.5;66;;0;0;8;
83870;12/02/1961;0000;24;22.7;89;;9;5;10;
83870;12/02/1961;1200;25;23.3;86;;0;0;8;
83870;12/02/1961;1800;30;23.7;57;;0;0;2;
83870;13/02/1961;0000;25.4;22.7;79;;0;0;10;
83870;13/02/1961;1200;18.5;16.5;80;;0;0;0;
83870;13/02/1961;1800;32.7;24.9;51;;0;0;2;
83870;14/02/1961;0000;25.6;20.8;63;;0;0;10;
83870;14/02/1961;1200;23.5;21.3;81;;0;0;8;
83870;14/02/1961;1800;25.7;21.4;66;;9;1;10;
83870;15/02/1961;0000;22;18.7;72;;9;1;10;
83870;15/02/1961;1200;20;19;91;;0;0;10;
83870;15/02/1961;1800;26;21.6;66;;0;0;7;
83870;16/02/1961;0000;20.5;19.5;90;;0;0;10;
83870;16/02/1961;1200;20.4;20;96;;0;0;10;
83870;16/02/1961;1800;23;21.7;89;;0;0;10;
83870;17/02/1961;0000;21.2;20.6;94;;0;0;10;
83870;17/02/1961;1200;21.1;20.5;94;;0;0;10;
83870;17/02/1961;1800;22.8;21.3;87;;0;0;10;
83870;18/02/1961;0000;21.8;21.5;97;;0;0;10;
83870;18/02/1961;1200;23;22.5;96;;0;0;10;
83870;18/02/1961;1800;28.3;24.7;73;;14;1;5;
83870;19/02/1961;0000;23;21.7;89;;0;0;10;
83870;19/02/1961;1200;25.7;23.5;82;;0;0;3;
83870;19/02/1961;1800;30.7;25;61;;0;0;2;
83870;20/02/1961;0000;26.3;23.7;80;;14;1;10;
83870;20/02/1961;1200;22.5;22;95;;0;0;10;
83870;20/02/1961;1800;30;25;65;;14;1;10;
83870;21/02/1961;0000;24.7;22.8;84;;0;0;10;
