<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83871</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BLUMENAU - SC (OMM: 83871)
Latitude  (graus) : -26.91
Longitude (graus) : -49.05
Altitude  (metros): 13.79
Esta��o Desativada
Inicio de opera��o: 01/01/1923
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83871;01/01/1961;1200;22.1;21.9;98;1005.8;0;0;10;
83871;01/01/1961;1800;24.2;22.2;84;1005;14;1.2;10;
83871;02/01/1961;0000;23.1;22.2;92;1004.7;0;0;10;
83871;02/01/1961;1200;22.1;21.6;95;1004.6;0;0;8;
83871;02/01/1961;1800;32.6;25.4;54;1002;0;0;5;
83871;03/01/1961;0000;25.7;24.1;87;1003.8;0;0;10;
83871;03/01/1961;1200;25.7;23.9;85;1004.8;5;1;0;
83871;03/01/1961;1800;32.9;26.7;60;1003.2;5;1.3;0;
83871;04/01/1961;0000;24.7;22.3;80;1007.1;9;1.1;10;
83871;04/01/1961;1200;21.9;20.5;88;1005.9;18;1.1;10;
83871;04/01/1961;1800;30;24.5;62;1004.7;5;1.5;8;
83871;05/01/1961;0000;24.3;21.9;80;1006.6;5;1.4;0;
83871;05/01/1961;1200;24.1;22.7;88;1008.6;0;0;7;
83871;05/01/1961;1800;27.5;24;73;1006.8;9;1.1;8;
83871;06/01/1961;0000;24.1;22.6;87;1006.4;9;1;10;
83871;06/01/1961;1200;23.6;22.7;93;1004;0;0;10;
83871;06/01/1961;1800;27;24.7;83;999.9;0;0;7;
83871;07/01/1961;0000;24.6;22.5;83;1001.9;0;0;0;
83871;07/01/1961;1200;23.1;20.7;80;1009.5;0;0;7;
83871;07/01/1961;1800;29.5;22.6;53;1008.7;5;1;5;
83871;08/01/1961;0000;22.9;20.8;82;1011.1;9;1.1;10;
83871;08/01/1961;1200;21.7;19.4;79;1012.8;0;0;10;
83871;08/01/1961;1800;27.7;22;59;1010.6;14;1;5;
